question_id	n_rows_total	n_unique_exact	n_unique_directionless	n_unique_directionless_inv	dup_rows_exact	dup_rows_directionless	dup_rows_directionless_inv
Q1	2	2	2	2	0	0	0
Q10	1	1	1	1	0	0	0
Q100	3	3	2	2	0	1	1
Q101	10	8	6	6	2	4	4
Q102	7	5	3	3	2	4	4
Q103	9	8	6	6	1	3	3
Q104	8	7	5	5	1	3	3
Q105	9	7	5	5	2	4	4
Q106	9	9	7	7	0	2	2
Q107	9	7	6	6	2	3	3
Q108	5	5	4	4	0	1	1
Q109	8	7	5	5	1	3	3
Q11	6	5	5	5	1	1	1
Q110	3	3	3	3	0	0	0
Q111	2	1	1	1	1	1	1
Q112	9	7	6	6	2	3	3
Q113	9	8	6	6	1	3	3
Q114	8	7	5	5	1	3	3
Q115	6	5	4	4	1	2	2
Q116	9	8	7	7	1	2	2
Q117	5	5	4	4	0	1	1
Q118	5	3	2	2	2	3	3
Q119	9	7	5	5	2	4	4
Q12	1	1	1	1	0	0	0
Q120	9	9	6	6	0	3	3
Q121	9	9	5	5	0	4	4
Q122	6	5	5	5	1	1	1
Q123	5	5	4	4	0	1	1
Q124	1	1	1	1	0	0	0
Q125	6	5	4	4	1	2	2
Q126	6	5	4	4	1	2	2
Q127	7	7	6	6	0	1	1
Q128	6	6	3	3	0	3	3
Q129	8	8	7	7	0	1	1
Q13	1	1	1	1	0	0	0
Q130	9	8	6	6	1	3	3
Q131	6	5	4	4	1	2	2
Q132	9	7	6	6	2	3	3
Q133	5	5	4	4	0	1	1
Q134	7	7	6	6	0	1	1
Q135	10	9	8	8	1	2	2
Q136	2	2	1	1	0	1	1
Q137	9	5	5	5	4	4	4
Q138	4	2	2	2	2	2	2
Q139	5	3	3	3	2	2	2
Q14	6	6	6	6	0	0	0
Q140	6	2	2	2	4	4	4
Q141	9	4	4	4	5	5	5
Q142	5	2	2	2	3	3	3
Q143	2	1	1	1	1	1	1
Q144	3	2	2	2	1	1	1
Q145	9	5	5	5	4	4	4
Q146	4	2	2	2	2	2	2
Q147	8	6	6	6	2	2	2
Q148	8	7	7	7	1	1	1
Q149	6	2	1	1	4	5	5
Q15	3	2	2	2	1	1	1
Q150	9	5	5	5	4	4	4
Q151	1	1	1	1	0	0	0
Q152	2	2	2	2	0	0	0
Q153	10	10	8	8	0	2	2
Q154	5	5	3	3	0	2	2
Q155	4	4	3	3	0	1	1
Q156	9	5	4	4	4	5	5
Q157	5	4	2	2	1	3	3
Q158	5	4	3	3	1	2	2
Q159	5	5	4	4	0	1	1
Q16	1	1	1	1	0	0	0
Q160	7	7	6	6	0	1	1
Q161	8	7	5	5	1	3	3
Q162	10	10	8	8	0	2	2
Q163	9	7	5	5	2	4	4
Q17	1	1	1	1	0	0	0
Q18	1	1	1	1	0	0	0
Q19	1	1	1	1	0	0	0
Q2	5	5	5	5	0	0	0
Q20	1	1	1	1	0	0	0
Q21	4	2	2	2	2	2	2
Q22	1	1	1	1	0	0	0
Q23	1	1	1	1	0	0	0
Q24	8	8	8	8	0	0	0
Q25	8	4	4	4	4	4	4
Q26	4	4	4	4	0	0	0
Q27	2	2	2	2	0	0	0
Q28	1	1	1	1	0	0	0
Q29	1	1	1	1	0	0	0
Q3	1	1	1	1	0	0	0
Q30	2	2	2	2	0	0	0
Q31	3	2	2	2	1	1	1
Q32	1	1	1	1	0	0	0
Q33	5	5	5	5	0	0	0
Q34	3	3	3	3	0	0	0
Q35	2	2	2	2	0	0	0
Q36	3	2	2	2	1	1	1
Q37	2	2	2	2	0	0	0
Q38	4	1	1	1	3	3	3
Q39	1	1	1	1	0	0	0
Q4	4	3	3	3	1	1	1
Q40	3	2	2	2	1	1	1
Q41	1	1	1	1	0	0	0
Q42	2	1	1	1	1	1	1
Q43	1	1	1	1	0	0	0
Q44	1	1	1	1	0	0	0
Q45	2	2	2	2	0	0	0
Q46	1	1	1	1	0	0	0
Q47	1	1	1	1	0	0	0
Q48	3	2	2	2	1	1	1
Q49	7	7	7	7	0	0	0
Q5	7	7	7	7	0	0	0
Q50	1	1	1	1	0	0	0
Q51	2	1	1	1	1	1	1
Q52	2	2	2	2	0	0	0
Q53	2	2	2	2	0	0	0
Q54	2	1	1	1	1	1	1
Q55	7	5	5	5	2	2	2
Q56	9	9	9	9	0	0	0
Q57	3	2	2	2	1	1	1
Q58	2	2	2	2	0	0	0
Q59	1	1	1	1	0	0	0
Q6	1	1	1	1	0	0	0
Q60	9	8	8	8	1	1	1
Q61	1	1	1	1	0	0	0
Q62	3	1	1	1	2	2	2
Q63	2	1	1	1	1	1	1
Q64	1	1	1	1	0	0	0
Q65	4	4	4	4	0	0	0
Q66	1	1	1	1	0	0	0
Q67	2	1	1	1	1	1	1
Q68	5	2	2	2	3	3	3
Q69	4	2	2	2	2	2	2
Q7	1	1	1	1	0	0	0
Q70	1	1	1	1	0	0	0
Q71	3	2	2	2	1	1	1
Q72	1	1	1	1	0	0	0
Q73	10	10	10	10	0	0	0
Q74	5	4	4	4	1	1	1
Q75	3	3	3	3	0	0	0
Q76	5	2	2	2	3	3	3
Q77	6	5	5	5	1	1	1
Q78	4	2	2	2	2	2	2
Q79	6	3	3	3	3	3	3
Q8	8	5	5	5	3	3	3
Q80	4	2	2	2	2	2	2
Q81	5	2	2	2	3	3	3
Q82	6	3	3	3	3	3	3
