question_id,query_n0,query_n1,subject,subject_name,predicate,object,object_name,knowledge_level,agent_type,edge_id
Q10,NCBIGene:2308,NCBIGene:3479,NCBIGene:2308,FOXO1,biolink:affects,NCBIGene:3479,IGF1,not_provided,text_mining_agent,e_1
Q10,NCBIGene:2308,NCBIGene:3479,NCBIGene:3479,IGF1,biolink:affects,NCBIGene:2308,FOXO1,not_provided,text_mining_agent,e_2
Q10,NCBIGene:2308,NCBIGene:3479,NCBIGene:3479,IGF1,biolink:affects,NCBIGene:2308,FOXO1,not_provided,text_mining_agent,e_3
Q10,NCBIGene:2308,NCBIGene:3479,NCBIGene:2308,FOXO1,biolink:interacts_with,NCBIGene:3479,IGF1,logical_entailment,automated_agent,e_4_e_6
Q10,NCBIGene:2308,NCBIGene:3479,UniProtKB:P05019-4,insulin-like growth factor I isoform 4 (human),biolink:interacts_with,NCBIGene:3479,IGF1,logical_entailment,automated_agent,e_5_e_6
Q1,MONDO:0018310,MONDO:0005559,MONDO:0018310,Langerhans cell histiocytosis,biolink:has_phenotype,MONDO:0005559,neurodegenerative disease,logical_entailment,automated_agent,uuid:2a0cf142-198e-11f0-be82-6045bdb3d4c0_e_2
Q2,MONDO:0018310,NCBIGene:673,NCBIGene:673,BRAF,biolink:has_phenotype,MONDO:0018310,Langerhans cell histiocytosis,logical_entailment,automated_agent,uuid:1d88a349-198e-11f0-be82-6045bdb3d4c0_e_4
Q2,MONDO:0018310,NCBIGene:673,NCBIGene:673,BRAF,biolink:genetically_associated_with,MONDO:0018310,Langerhans cell histiocytosis,not_provided,not_provided,e_2
Q2,MONDO:0018310,NCBIGene:673,NCBIGene:673,BRAF,biolink:genetically_associated_with,MONDO:0018310,Langerhans cell histiocytosis,knowledge_assertion,manual_agent,e_3
Q3,NCBIGene:7157,MONDO:0004992,NCBIGene:7157,TP53,biolink:contributes_to,MONDO:0004992,cancer,logical_entailment,automated_agent,uuid:0eae13ed-198e-11f0-be82-6045bdb3d4c0_e_410
Q3,NCBIGene:7157,MONDO:0004992,NCBIGene:7157,TP53,biolink:contributes_to,MONDO:0004992,cancer,logical_entailment,automated_agent,uuid:0eae1497-198e-11f0-be82-6045bdb3d4c0_e_411
Q3,NCBIGene:7157,MONDO:0004992,NCBIGene:7157,TP53,biolink:contributes_to,MONDO:0004992,cancer,logical_entailment,automated_agent,uuid:0ec4375b-198e-11f0-be82-6045bdb3d4c0_e_412
Q3,NCBIGene:7157,MONDO:0004992,NCBIGene:7157,TP53,biolink:contributes_to,MONDO:0004992,cancer,logical_entailment,automated_agent,uuid:0ec4400b-198e-11f0-be82-6045bdb3d4c0_e_413
Q3,NCBIGene:7157,MONDO:0004992,MONDO:0021063,colon cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,e_5_e_414
Q3,NCBIGene:7157,MONDO:0004992,MONDO:0002586,thymus cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,e_6_e_415
Q3,NCBIGene:7157,MONDO:0004992,MONDO:0001406,peripheral nervous system neoplasm,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,e_7_e_416
Q3,NCBIGene:7157,MONDO:0004992,MONDO:0003059,bile duct cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,e_8_e_417
Q3,NCBIGene:7157,MONDO:0004992,MONDO:0002367,kidney cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,e_9_e_418
Q3,NCBIGene:7157,MONDO:0004992,MONDO:0008903,lung cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,e_10_e_419
Q3,NCBIGene:7157,MONDO:0004992,MONDO:0002691,liver cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,e_11_e_420
Q3,NCBIGene:7157,MONDO:0004992,MONDO:0100342,malignant glioma,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,e_12_e_421
Q3,NCBIGene:7157,MONDO:0004992,MONDO:0005411,gallbladder cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,e_13_e_422
Q3,NCBIGene:7157,MONDO:0004992,MONDO:0002334,hematopoietic and lymphoid system neoplasm,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,e_14_e_423
Q3,NCBIGene:7157,MONDO:0004992,MONDO:0007254,breast cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,e_15_e_424
Q3,NCBIGene:7157,MONDO:0004992,MONDO:0004669,salivary gland cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,e_16_e_425
Q3,NCBIGene:7157,MONDO:0004992,MONDO:0006519,rectal cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,e_17_e_426
Q3,NCBIGene:7157,MONDO:0004992,MONDO:0009831,malignant pancreatic neoplasm,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,e_18_e_427
Q3,NCBIGene:7157,MONDO:0004992,MONDO:0005105,melanoma,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,e_19_e_428
Q3,NCBIGene:7157,MONDO:0004992,MONDO:0002236,ocular cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,e_20_e_429
Q3,NCBIGene:7157,MONDO:0004992,MONDO:0002108,thyroid cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,e_21_e_430
Q3,NCBIGene:7157,MONDO:0004992,MONDO:0002974,cervical cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,e_22_e_431
Q3,NCBIGene:7157,MONDO:0004992,MONDO:0002817,Adrenal Cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,e_23_e_432
Q3,NCBIGene:7157,MONDO:0004992,MONDO:0005627,head and neck cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,e_24_e_433
Q3,NCBIGene:7157,MONDO:0004992,MONDO:0016642,meningioma,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,e_25_e_434
Q3,NCBIGene:7157,MONDO:0004992,MONDO:0002898,skin cancer,biolink:related_to,MONDO:0004992,cancer,logical_entailment,automated_agent,e_26_e_435
