question_id	n_runs	mean_edges	median_edges	min_edges	max_edges	zero_edge_rate
Q1	100	1.06	1.0	0	2	0.04
Q10	100	0.0	0.0	0	0	1.0
Q100	100	1.02	1.0	0	2	0.01
Q101	100	0.0	0.0	0	0	1.0
Q102	100	1.24	1.0	1	4	0.0
Q103	100	0.03	0.0	0	1	0.97
Q104	100	1.16	1.0	1	2	0.0
Q105	100	1.16	1.0	1	2	0.0
Q106	100	1.02	1.0	0	2	0.02
Q107	100	1.19	1.0	1	2	0.0
Q108	100	1.05	1.0	0	2	0.04
Q109	100	1.07	1.0	1	2	0.0
Q11	100	0.0	0.0	0	0	1.0
Q110	100	1.14	1.0	0	2	0.02
Q111	100	1.14	1.0	0	2	0.05
Q112	100	1.26	1.0	1	3	0.0
Q113	100	1.22	1.0	1	5	0.0
Q114	100	1.17	1.0	1	2	0.0
Q115	100	1.25	1.0	1	2	0.0
Q116	100	1.27	1.0	1	2	0.0
Q117	100	1.1	1.0	1	2	0.0
Q118	100	1.16	1.0	1	2	0.0
Q119	100	1.11	1.0	0	2	0.07
Q12	100	0.05	0.0	0	1	0.95
Q120	100	1.03	1.0	0	2	0.03
Q121	100	0.07	0.0	0	1	0.93
Q122	100	0.31	0.0	0	1	0.69
Q123	100	0.74	1.0	0	2	0.28
Q124	100	1.17	1.0	1	2	0.0
Q125	100	1.28	1.0	0	4	0.01
Q126	100	1.25	1.0	1	3	0.0
Q127	100	1.25	1.0	1	3	0.0
Q128	100	1.34	1.0	0	3	0.02
Q129	100	1.3	1.0	0	3	0.01
Q13	100	0.0	0.0	0	0	1.0
Q130	100	1.25	1.0	1	2	0.0
Q131	100	1.26	1.0	0	3	0.1
Q132	100	1.14	1.0	1	2	0.0
Q133	100	1.09	1.0	1	2	0.0
Q134	100	1.2	1.0	1	3	0.0
Q135	100	0.93	1.0	0	2	0.09
Q136	100	0.82	1.0	0	2	0.29
Q137	100	1.26	1.0	1	2	0.0
Q138	100	1.05	1.0	0	2	0.04
Q139	100	1.22	1.0	1	2	0.0
Q14	100	0.0	0.0	0	0	1.0
Q140	100	1.2	1.0	1	2	0.0
Q141	100	1.12	1.0	1	2	0.0
Q142	100	0.21	0.0	0	1	0.79
Q143	100	1.19	1.0	1	2	0.0
Q144	100	1.06	1.0	0	2	0.06
Q145	100	1.11	1.0	1	2	0.0
Q146	100	1.16	1.0	1	2	0.0
Q147	100	0.04	0.0	0	3	0.98
Q148	100	0.07	0.0	0	2	0.94
Q149	100	0.0	0.0	0	0	1.0
Q15	100	1.23	1.0	1	2	0.0
Q150	100	0.01	0.0	0	1	0.99
Q151	100	0.0	0.0	0	0	1.0
Q152	100	0.03	0.0	0	1	0.97
Q153	100	0.0	0.0	0	0	1.0
Q154	100	1.07	1.0	0	2	0.02
Q155	100	1.46	1.0	1	3	0.0
Q156	100	0.91	1.0	0	2	0.11
Q157	100	1.19	1.0	1	3	0.0
Q158	100	1.18	1.0	1	2	0.0
Q159	100	1.01	1.0	0	3	0.07
Q16	100	0.35	0.0	0	2	0.67
Q160	100	0.93	1.0	0	2	0.11
Q161	100	0.9	1.0	0	3	0.18
Q162	100	1.12	1.0	0	2	0.03
Q163	100	1.34	1.0	1	3	0.0
Q17	100	0.1	0.0	0	1	0.9
Q18	100	0.0	0.0	0	0	1.0
Q19	100	0.01	0.0	0	1	0.99
Q2	100	1.18	1.0	0	2	0.05
Q20	100	0.05	0.0	0	2	0.97
Q21	100	1.16	1.0	1	2	0.0
Q22	100	1.18	1.0	1	2	0.0
Q23	100	0.0	0.0	0	0	1.0
Q24	100	0.17	0.0	0	1	0.83
Q25	100	1.23	1.0	1	2	0.0
Q26	100	0.08	0.0	0	1	0.92
Q27	100	0.0	0.0	0	0	1.0
Q28	100	0.15	0.0	0	2	0.88
Q29	100	1.16	1.0	1	2	0.0
Q3	100	0.1	0.0	0	1	0.9
Q30	100	1.11	1.0	0	2	0.08
Q31	100	0.0	0.0	0	0	1.0
Q32	100	1.19	1.0	1	2	0.0
Q33	100	1.16	1.0	1	2	0.0
Q34	100	0.0	0.0	0	0	1.0
Q35	100	0.0	0.0	0	0	1.0
Q36	100	1.14	1.0	1	2	0.0
Q37	100	0.0	0.0	0	0	1.0
Q38	100	0.08	0.0	0	1	0.92
Q39	100	0.0	0.0	0	0	1.0
Q4	100	0.0	0.0	0	0	1.0
Q40	100	1.14	1.0	0	2	0.01
Q41	100	0.01	0.0	0	1	0.99
Q42	100	0.11	0.0	0	2	0.9
Q43	100	0.09	0.0	0	2	0.94
Q44	100	1.15	1.0	0	2	0.01
Q45	100	0.01	0.0	0	1	0.99
Q46	100	0.13	0.0	0	1	0.87
Q47	100	0.01	0.0	0	1	0.99
Q48	100	1.06	1.0	0	2	0.15
Q49	100	0.01	0.0	0	1	0.99
Q5	100	0.01	0.0	0	1	0.99
Q50	100	1.24	1.0	1	2	0.0
Q51	100	0.0	0.0	0	0	1.0
Q52	100	1.1	1.0	0	2	0.01
Q53	100	0.01	0.0	0	1	0.99
Q54	100	0.15	0.0	0	1	0.85
Q55	100	1.1	1.0	0	2	0.05
Q56	100	0.0	0.0	0	0	1.0
Q57	100	0.51	0.0	0	3	0.61
Q58	100	0.0	0.0	0	0	1.0
Q59	100	0.12	0.0	0	2	0.91
Q6	100	0.0	0.0	0	0	1.0
Q60	100	0.0	0.0	0	0	1.0
Q61	100	0.46	0.0	0	3	0.63
Q62	100	0.01	0.0	0	1	0.99
Q63	100	0.14	0.0	0	2	0.87
Q64	100	0.21	0.0	0	2	0.84
Q65	100	0.01	0.0	0	1	0.99
Q66	100	0.13	0.0	0	2	0.88
Q67	100	0.42	0.0	0	2	0.64
Q68	100	0.17	0.0	0	2	0.86
Q69	100	0.08	0.0	0	2	0.93
Q7	100	0.18	0.0	0	2	0.83
Q70	100	0.25	0.0	0	2	0.79
Q71	100	1.26	1.0	1	2	0.0
Q72	100	1.18	1.0	1	2	0.0
Q73	100	0.0	0.0	0	0	1.0
Q74	100	0.1	0.0	0	2	0.91
Q75	100	1.1	1.0	0	2	0.02
Q76	100	1.24	1.0	1	2	0.0
Q77	100	1.24	1.0	1	2	0.0
Q78	100	1.13	1.0	0	2	0.02
Q79	100	1.15	1.0	0	2	0.11
Q8	100	1.06	1.0	0	2	0.1
Q80	100	1.1	1.0	0	2	0.13
Q81	100	1.2	1.0	0	2	0.02
Q82	100	1.08	1.0	1	2	0.0
Q83	100	1.08	1.0	0	2	0.04
Q84	100	1.18	1.0	0	2	0.06
Q85	100	1.11	1.0	1	2	0.0
Q86	100	0.06	0.0	0	1	0.94
Q87	100	1.1	1.0	1	2	0.0
Q88	100	1.1	1.0	0	2	0.03
Q89	100	1.0	1.0	0	2	0.15
Q9	100	0.96	1.0	0	2	0.2
Q90	100	1.22	1.0	1	2	0.0
Q91	100	0.0	0.0	0	0	1.0
Q92	100	0.65	1.0	0	2	0.49
Q93	100	1.21	1.0	0	3	0.01
Q94	100	0.96	1.0	0	2	0.1
Q95	100	0.4	0.0	0	2	0.61
Q96	100	1.08	1.0	0	2	0.01
Q97	100	0.21	0.0	0	2	0.8
Q98	100	0.11	0.0	0	2	0.92
Q99	100	0.0	0.0	0	0	1.0
