question_id	n_runs	mean_gpt_edges	mean_matched_edges	kg_edges	mean_precision	mean_recall	mean_f1	match_rate	gpt_edge_rate
Q1	25	0.2	0.0	2.0	0.0	0.0	0.0	0.0	0.2
Q10	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q100	25	0.76	0.44	3.0	0.44	0.14666666666666667	0.22	0.44	0.76
Q101	25	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
Q102	25	0.36	0.08	5.0	0.08	0.016	0.02666666666666667	0.08	0.36
Q103	25	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
Q104	25	0.96	0.08	7.0	0.08	0.011428571428571429	0.02	0.08	0.96
Q105	25	0.64	0.0	7.0	0.0	0.0	0.0	0.0	0.64
Q106	25	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
Q107	25	0.52	0.44	7.0	0.44	0.06285714285714286	0.11	0.44	0.52
Q108	25	0.24	0.0	5.0	0.0	0.0	0.0	0.0	0.24
Q109	25	0.08	0.0	7.0	0.0	0.0	0.0	0.0	0.08
Q11	25	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
Q110	25	0.6	0.0	3.0	0.0	0.0	0.0	0.0	0.6
Q111	25	0.68	0.0	1.0	0.0	0.0	0.0	0.0	0.68
Q112	25	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
Q113	25	0.16	0.08	8.0	0.08	0.01	0.017777777777777778	0.08	0.16
Q114	25	0.48	0.12	7.0	0.12	0.01714285714285714	0.03	0.12	0.48
Q115	25	0.08	0.08	5.0	0.08	0.016	0.02666666666666667	0.08	0.08
Q116	25	0.36	0.08	8.0	0.08	0.01	0.017777777777777778	0.08	0.36
Q117	25	0.04	0.04	5.0	0.04	0.008	0.013333333333333334	0.04	0.04
Q118	25	0.44	0.0	3.0	0.0	0.0	0.0	0.0	0.44
Q119	25	0.36	0.24	7.0	0.24	0.03428571428571428	0.06	0.24	0.36
Q12	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q120	25	0.24	0.24	9.0	0.24	0.026666666666666665	0.048	0.24	0.24
Q121	25	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
Q122	25	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
Q123	25	0.08	0.08	5.0	0.08	0.016	0.02666666666666667	0.08	0.08
Q124	25	0.32	0.0	1.0	0.0	0.0	0.0	0.0	0.32
Q125	25	0.04	0.04	5.0	0.04	0.008	0.013333333333333334	0.04	0.04
Q126	25	0.04	0.0	5.0	0.0	0.0	0.0	0.0	0.04
Q127	25	0.08	0.04	7.0	0.04	0.005714285714285714	0.01	0.04	0.08
Q128	25	0.44	0.44	6.0	0.44	0.07333333333333333	0.12571428571428572	0.44	0.44
Q129	25	0.32	0.04	8.0	0.02	0.005	0.008	0.04	0.28
Q13	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q130	25	0.08	0.0	8.0	0.0	0.0	0.0	0.0	0.08
Q131	25	0.04	0.0	5.0	0.0	0.0	0.0	0.0	0.04
Q132	25	0.64	0.56	7.0	0.56	0.08	0.14	0.56	0.64
Q133	25	0.04	0.04	5.0	0.04	0.008	0.013333333333333334	0.04	0.04
Q134	25	0.76	0.48	7.0	0.48	0.06857142857142856	0.12	0.48	0.76
Q135	25	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
Q136	25	0.04	0.0	2.0	0.0	0.0	0.0	0.0	0.04
Q137	25	0.2	0.0	5.0	0.0	0.0	0.0	0.0	0.2
Q138	25	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q139	25	0.28	0.0	3.0	0.0	0.0	0.0	0.0	0.28
Q14	25	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
Q140	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q141	25	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Q142	25	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q143	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q144	25	0.4	0.0	2.0	0.0	0.0	0.0	0.0	0.36
Q145	25	0.64	0.0	5.0	0.0	0.0	0.0	0.0	0.64
Q146	25	0.44	0.0	2.0	0.0	0.0	0.0	0.0	0.44
Q147	25	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
Q148	25	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
Q149	25	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q15	25	0.84	0.0	2.0	0.0	0.0	0.0	0.0	0.84
Q150	25	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
Q151	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q152	25	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q153	25	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0
Q154	25	0.24	0.2	5.0	0.2	0.04	0.06666666666666668	0.2	0.24
Q155	25	0.28	0.0	4.0	0.0	0.0	0.0	0.0	0.28
Q156	25	0.48	0.0	5.0	0.0	0.0	0.0	0.0	0.48
Q157	25	0.28	0.04	4.0	0.04	0.01	0.016	0.04	0.28
Q158	25	0.32	0.0	4.0	0.0	0.0	0.0	0.0	0.32
Q159	25	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
Q16	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q160	25	0.04	0.04	7.0	0.04	0.005714285714285714	0.01	0.04	0.04
Q161	25	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
Q162	25	0.2	0.12	10.0	0.12	0.012000000000000002	0.021818181818181816	0.12	0.2
Q163	25	0.28	0.16	7.0	0.16	0.022857142857142857	0.04	0.16	0.28
Q17	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q18	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q19	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q2	25	0.16	0.0	5.0	0.0	0.0	0.0	0.0	0.16
Q20	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q21	25	0.44	0.0	2.0	0.0	0.0	0.0	0.0	0.44
Q22	25	0.84	0.0	1.0	0.0	0.0	0.0	0.0	0.84
Q23	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q24	25	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
Q25	25	1.08	0.0	4.0	0.0	0.0	0.0	0.0	1.0
