prompt_version	question_id	run_id	predicate	subject	object	edge_key
v2	Q1	1	biolink:gene_associated_with_condition	MONDO:0005180	NCBIGene:348	biolink:gene_associated_with_condition|MONDO:0005180|NCBIGene:348
v2	Q2	1	biolink:gene_associated_with_condition	MONDO:0005300	NCBIGene:3569	biolink:gene_associated_with_condition|MONDO:0005300|NCBIGene:3569
v2	Q3	1	biolink:directly_physically_interacts_with	NCBIGene:7124	CHEBI:6801	biolink:directly_physically_interacts_with|NCBIGene:7124|CHEBI:6801
v2	Q7	1	biolink:target_for	NCBIGene:7422	CHEBI:15365	biolink:target_for|NCBIGene:7422|CHEBI:15365
v2	Q8	1	biolink:gene_associated_with_condition	MONDO:0007254	NCBIGene:3569	biolink:gene_associated_with_condition|MONDO:0007254|NCBIGene:3569
v2	Q9	1	biolink:gene_associated_with_condition	MONDO:0005300	NCBIGene:7422	biolink:gene_associated_with_condition|MONDO:0005300|NCBIGene:7422
v2	Q10	1	biolink:treats	MONDO:0008383	CHEBI:27899	biolink:treats|MONDO:0008383|CHEBI:27899
v2	Q12	1	biolink:related_to	NCBIGene:3569	CHEBI:5855	biolink:related_to|NCBIGene:3569|CHEBI:5855
v2	Q15	1	biolink:gene_associated_with_condition	MONDO:0005010	NCBIGene:3569	biolink:gene_associated_with_condition|MONDO:0005010|NCBIGene:3569
v2	Q16	1	biolink:interacts_with	NCBIGene:673	CHEBI:6801	biolink:interacts_with|NCBIGene:673|CHEBI:6801
v2	Q17	1	biolink:interacts_with	NCBIGene:1636	CHEBI:6801	biolink:interacts_with|NCBIGene:1636|CHEBI:6801
v2	Q20	1	biolink:directly_physically_interacts_with	NCBIGene:7422	CHEBI:6801	biolink:directly_physically_interacts_with|NCBIGene:7422|CHEBI:6801
v2	Q21	1	biolink:gene_associated_with_condition	MONDO:0008383	NCBIGene:7422	biolink:gene_associated_with_condition|MONDO:0008383|NCBIGene:7422
v2	Q22	1	biolink:gene_associated_with_condition	MONDO:0001134	NCBIGene:1636	biolink:gene_associated_with_condition|MONDO:0001134|NCBIGene:1636
v2	Q23	1	biolink:interacts_with	NCBIGene:7124	CHEBI:41774	biolink:interacts_with|NCBIGene:7124|CHEBI:41774
v2	Q25	1	biolink:gene_associated_with_condition	MONDO:0005233	NCBIGene:7157	biolink:gene_associated_with_condition|MONDO:0005233|NCBIGene:7157
v2	Q28	1	biolink:interacts_with	NCBIGene:348	CHEBI:6801	biolink:interacts_with|NCBIGene:348|CHEBI:6801
v2	Q29	1	biolink:gene_associated_with_condition	MONDO:0005180	NCBIGene:1956	biolink:gene_associated_with_condition|MONDO:0005180|NCBIGene:1956
v2	Q30	1	biolink:gene_associated_with_condition	MONDO:0004979	NCBIGene:3569	biolink:gene_associated_with_condition|MONDO:0004979|NCBIGene:3569
v2	Q31	1	biolink:interacts_with	NCBIGene:7422	CHEBI:41879	biolink:interacts_with|NCBIGene:7422|CHEBI:41879
v2	Q32	1	biolink:gene_associated_with_condition	MONDO:0008383	NCBIGene:7157	biolink:gene_associated_with_condition|MONDO:0008383|NCBIGene:7157
v2	Q33	1	biolink:gene_associated_with_condition	MONDO:0005300	NCBIGene:7124	biolink:gene_associated_with_condition|MONDO:0005300|NCBIGene:7124
v2	Q36	1	biolink:gene_associated_with_condition	MONDO:0005148	NCBIGene:673	biolink:gene_associated_with_condition|MONDO:0005148|NCBIGene:673
v2	Q38	1	biolink:directly_physically_interacts_with	NCBIGene:7157	CHEBI:41879	biolink:directly_physically_interacts_with|NCBIGene:7157|CHEBI:41879
v2	Q40	1	biolink:gene_associated_with_condition	MONDO:0004979	NCBIGene:7422	biolink:gene_associated_with_condition|MONDO:0004979|NCBIGene:7422
