prompt_version	question_id	n_runs	mean_edges	median_edges	min_edges	max_edges	zero_edge_rate
v4	Q1	25	1.0	1.0	1	1	0.0
v4	Q10	25	0.0	0.0	0	0	1.0
v4	Q100	25	0.28	0.0	0	1	0.72
v4	Q101	25	0.0	0.0	0	0	1.0
v4	Q102	25	0.76	1.0	0	1	0.24
v4	Q103	25	0.0	0.0	0	0	1.0
v4	Q104	25	0.52	1.0	0	1	0.48
v4	Q105	25	1.0	1.0	1	1	0.0
v4	Q106	25	0.52	1.0	0	1	0.48
v4	Q107	25	0.8	1.0	0	1	0.2
v4	Q108	25	0.08	0.0	0	1	0.92
v4	Q109	25	0.2	0.0	0	1	0.8
v4	Q11	25	0.0	0.0	0	0	1.0
v4	Q110	25	0.2	0.0	0	1	0.8
v4	Q111	25	1.0	1.0	1	1	0.0
v4	Q112	25	0.92	1.0	0	1	0.08
v4	Q113	25	0.8	1.0	0	1	0.2
v4	Q114	25	1.0	1.0	1	1	0.0
v4	Q115	25	0.52	1.0	0	1	0.48
v4	Q116	25	1.0	1.0	1	1	0.0
v4	Q117	25	0.56	1.0	0	1	0.44
v4	Q118	25	0.28	0.0	0	1	0.72
v4	Q119	25	0.0	0.0	0	0	1.0
v4	Q12	25	0.0	0.0	0	0	1.0
v4	Q120	25	0.68	1.0	0	1	0.32
v4	Q121	25	0.0	0.0	0	0	1.0
v4	Q122	25	0.0	0.0	0	0	1.0
v4	Q123	25	1.0	1.0	1	1	0.0
v4	Q124	25	0.28	0.0	0	1	0.72
v4	Q125	25	0.72	1.0	0	1	0.28
v4	Q126	25	0.88	1.0	0	1	0.12
v4	Q127	25	0.96	1.0	0	1	0.04
v4	Q128	25	0.6	1.0	0	1	0.4
v4	Q129	25	0.64	1.0	0	1	0.36
v4	Q13	25	0.0	0.0	0	0	1.0
v4	Q130	25	0.28	0.0	0	1	0.72
v4	Q131	25	0.76	1.0	0	1	0.24
v4	Q132	25	0.88	1.0	0	1	0.12
v4	Q133	25	0.88	1.0	0	1	0.12
v4	Q134	25	0.96	1.0	0	1	0.04
v4	Q135	25	0.6	1.0	0	1	0.4
v4	Q136	25	0.64	1.0	0	1	0.36
v4	Q137	25	1.0	1.0	1	1	0.0
v4	Q138	25	0.96	1.0	0	1	0.04
v4	Q139	25	0.96	1.0	0	1	0.04
v4	Q14	25	0.0	0.0	0	0	1.0
v4	Q140	25	1.0	1.0	1	1	0.0
v4	Q141	25	0.92	1.0	0	1	0.08
v4	Q142	25	0.04	0.0	0	1	0.96
v4	Q143	25	1.0	1.0	1	1	0.0
v4	Q144	25	1.0	1.0	1	1	0.0
v4	Q145	25	1.0	1.0	1	1	0.0
v4	Q146	25	1.0	1.0	1	1	0.0
v4	Q147	25	0.0	0.0	0	0	1.0
v4	Q148	25	0.0	0.0	0	0	1.0
v4	Q149	25	0.0	0.0	0	0	1.0
v4	Q15	25	1.0	1.0	1	1	0.0
v4	Q150	25	0.0	0.0	0	0	1.0
v4	Q151	25	0.0	0.0	0	0	1.0
v4	Q152	25	0.0	0.0	0	0	1.0
v4	Q153	25	0.0	0.0	0	0	1.0
v4	Q154	25	1.0	1.0	1	1	0.0
v4	Q155	25	0.0	0.0	0	0	1.0
v4	Q156	25	1.0	1.0	1	1	0.0
v4	Q157	25	1.0	1.0	1	1	0.0
v4	Q158	25	1.0	1.0	1	1	0.0
v4	Q159	25	0.6	1.0	0	1	0.4
v4	Q16	25	0.0	0.0	0	0	1.0
v4	Q160	25	0.88	1.0	0	1	0.12
v4	Q161	25	0.08	0.0	0	1	0.92
v4	Q162	25	0.44	0.0	0	1	0.56
v4	Q163	25	0.28	0.0	0	1	0.72
v4	Q17	25	0.0	0.0	0	0	1.0
v4	Q18	25	0.0	0.0	0	0	1.0
v4	Q19	25	0.0	0.0	0	0	1.0
v4	Q2	25	0.68	1.0	0	1	0.32
v4	Q20	25	0.0	0.0	0	0	1.0
v4	Q21	25	1.0	1.0	1	1	0.0
v4	Q22	25	0.44	0.0	0	1	0.56
v4	Q23	25	0.0	0.0	0	0	1.0
v4	Q24	25	0.0	0.0	0	0	1.0
v4	Q25	25	1.0	1.0	1	1	0.0
v4	Q26	25	0.0	0.0	0	0	1.0
v4	Q27	25	0.0	0.0	0	0	1.0
v4	Q28	25	0.0	0.0	0	0	1.0
v4	Q29	25	1.0	1.0	1	1	0.0
v4	Q3	25	0.0	0.0	0	0	1.0
v4	Q30	25	1.0	1.0	1	1	0.0
v4	Q31	25	0.0	0.0	0	0	1.0
v4	Q32	25	1.0	1.0	1	1	0.0
v4	Q33	25	0.64	1.0	0	1	0.36
v4	Q34	25	0.0	0.0	0	0	1.0
v4	Q35	25	0.0	0.0	0	0	1.0
v4	Q36	25	1.0	1.0	1	1	0.0
v4	Q37	25	0.0	0.0	0	0	1.0
v4	Q38	25	0.0	0.0	0	0	1.0
v4	Q39	25	0.0	0.0	0	0	1.0
v4	Q4	25	0.0	0.0	0	0	1.0
v4	Q40	25	1.0	1.0	1	1	0.0
v4	Q41	25	0.0	0.0	0	0	1.0
v4	Q42	25	0.0	0.0	0	0	1.0
v4	Q43	25	0.0	0.0	0	0	1.0
v4	Q44	25	0.92	1.0	0	1	0.08
v4	Q45	25	0.0	0.0	0	0	1.0
v4	Q46	25	0.0	0.0	0	0	1.0
v4	Q47	25	0.0	0.0	0	0	1.0
v4	Q48	25	0.16	0.0	0	1	0.84
v4	Q49	25	0.0	0.0	0	0	1.0
v4	Q5	25	0.0	0.0	0	0	1.0
v4	Q50	25	1.0	1.0	1	1	0.0
v4	Q51	25	0.0	0.0	0	0	1.0
v4	Q52	25	0.92	1.0	0	1	0.08
v4	Q53	25	0.0	0.0	0	0	1.0
v4	Q54	25	0.04	0.0	0	1	0.96
v4	Q55	25	0.96	1.0	0	1	0.04
v4	Q56	25	0.0	0.0	0	0	1.0
v4	Q57	25	0.08	0.0	0	1	0.92
v4	Q58	25	0.0	0.0	0	0	1.0
v4	Q59	25	0.0	0.0	0	0	1.0
v4	Q6	25	0.0	0.0	0	0	1.0
v4	Q60	25	0.0	0.0	0	0	1.0
v4	Q61	25	0.0	0.0	0	0	1.0
v4	Q62	25	0.0	0.0	0	0	1.0
v4	Q63	25	0.0	0.0	0	0	1.0
v4	Q64	25	0.2	0.0	0	1	0.8
v4	Q65	25	0.0	0.0	0	0	1.0
v4	Q66	25	0.04	0.0	0	1	0.96
v4	Q67	25	0.04	0.0	0	1	0.96
v4	Q68	25	0.0	0.0	0	0	1.0
v4	Q69	25	0.0	0.0	0	0	1.0
v4	Q7	25	0.0	0.0	0	0	1.0
v4	Q70	25	0.0	0.0	0	0	1.0
v4	Q71	25	1.0	1.0	1	1	0.0
v4	Q72	25	1.0	1.0	1	1	0.0
v4	Q73	25	0.0	0.0	0	0	1.0
v4	Q74	25	0.0	0.0	0	0	1.0
v4	Q75	25	0.72	1.0	0	1	0.28
v4	Q76	25	1.0	1.0	1	1	0.0
v4	Q77	25	1.0	1.0	1	1	0.0
v4	Q78	25	1.0	1.0	1	1	0.0
v4	Q79	25	0.72	1.0	0	1	0.28
v4	Q8	25	0.92	1.0	0	1	0.08
v4	Q80	25	0.12	0.0	0	1	0.88
v4	Q81	25	0.76	1.0	0	1	0.24
v4	Q82	25	1.0	1.0	1	1	0.0
v4	Q83	25	0.8	1.0	0	1	0.2
v4	Q84	25	0.84	1.0	0	1	0.16
v4	Q85	25	1.0	1.0	1	1	0.0
