prompt_version,question_id,n_runs,n_robokop,mean_n_gpt,mean_intersection,mean_jaccard,mean_precision_like,mean_recall_like,mean_f1
v1,Q1,96,2,1.1041666666666667,0.0,0.0,0.0,0.0,0.0
v1,Q100,99,3,1.0303030303030303,0.9797979797979798,0.324074074074074,0.9646464646464646,0.32659932659932656,0.4868686868686869
v1,Q102,100,5,1.24,0.18,0.032345238095238094,0.13083333333333333,0.036000000000000004,0.054722222222222235
v1,Q103,3,8,1.0,0.0,0.0,0.0,0.0,0.0
v1,Q104,100,7,1.16,0.0,0.0,0.0,0.0,0.0
v1,Q105,100,7,1.16,0.06,0.008035714285714287,0.045,0.00857142857142857,0.014166666666666668
v1,Q106,98,9,1.0408163265306123,0.02040816326530612,0.0022675736961451248,0.02040816326530612,0.0022675736961451248,0.004081632653061224
v1,Q107,100,7,1.19,0.05,0.00625,0.025,0.007142857142857142,0.011111111111111112
v1,Q108,96,5,1.09375,0.0,0.0,0.0,0.0,0.0
v1,Q109,100,7,1.07,0.84,0.11875,0.805,0.12,0.20805555555555558
v1,Q110,98,3,1.163265306122449,0.0,0.0,0.0,0.0,0.0
v1,Q111,95,1,1.2,0.0,0.0,0.0,0.0,0.0
v1,Q112,100,7,1.26,0.04,0.005,0.02,0.005714285714285714,0.008888888888888889
v1,Q113,100,8,1.22,0.03,0.003333333333333333,0.015,0.00375,0.006000000000000001
v1,Q114,100,7,1.17,0.2,0.02625,0.135,0.028571428571428567,0.046388888888888896
v1,Q115,100,5,1.25,0.0,0.0,0.0,0.0,0.0
v1,Q116,100,8,1.27,0.0,0.0,0.0,0.0,0.0
v1,Q117,100,5,1.1,0.0,0.0,0.0,0.0,0.0
v1,Q118,100,3,1.16,0.02,0.005,0.01,0.006666666666666666,0.008
v1,Q119,93,7,1.1935483870967742,0.0,0.0,0.0,0.0,0.0
v1,Q12,5,1,1.0,0.0,0.0,0.0,0.0,0.0
v1,Q120,97,9,1.0618556701030928,1.0309278350515463,0.1145475372279496,0.9690721649484536,0.1145475372279496,0.20393626991565136
v1,Q121,7,9,1.0,0.42857142857142855,0.047619047619047616,0.42857142857142855,0.047619047619047616,0.08571428571428572
v1,Q122,31,5,1.0,0.0,0.0,0.0,0.0,0.0
v1,Q123,72,5,1.0277777777777777,0.9166666666666666,0.18240740740740743,0.9027777777777778,0.18333333333333335,0.3042328042328043
v1,Q124,100,1,1.17,0.0,0.0,0.0,0.0,0.0
v1,Q125,99,5,1.292929292929293,0.0,0.0,0.0,0.0,0.0
v1,Q126,100,5,1.25,0.71,0.13376190476190478,0.5883333333333334,0.14200000000000002,0.2248809523809524
v1,Q127,100,7,1.25,0.51,0.06875,0.36833333333333335,0.07285714285714286,0.11911111111111111
v1,Q128,98,6,1.3673469387755102,1.1122448979591837,0.18227648202137997,0.8112244897959183,0.18537414965986393,0.2957968901846453
v1,Q129,99,8,1.3131313131313131,0.030303030303030304,0.003367003367003367,0.015151515151515152,0.003787878787878788,0.0060606060606060615
v1,Q130,100,8,1.25,0.3,0.034444444444444444,0.19,0.0375,0.06177777777777778
v1,Q131,90,5,1.4,0.0,0.0,0.0,0.0,0.0
v1,Q132,100,7,1.14,0.18,0.024107142857142855,0.135,0.02571428571428571,0.0425
v1,Q133,100,5,1.09,0.08,0.014333333333333333,0.055,0.016,0.02428571428571429
v1,Q134,100,7,1.2,0.21,0.027321428571428573,0.13166666666666665,0.03,0.04788888888888889
v1,Q135,91,9,1.021978021978022,0.0,0.0,0.0,0.0,0.0
v1,Q136,71,2,1.1549295774647887,0.9154929577464789,0.431924882629108,0.8380281690140845,0.45774647887323944,0.5845070422535211
v1,Q137,100,5,1.26,0.0,0.0,0.0,0.0,0.0
v1,Q138,96,2,1.09375,0.0,0.0,0.0,0.0,0.0
v1,Q139,100,3,1.22,0.0,0.0,0.0,0.0,0.0
v1,Q140,100,2,1.2,0.0,0.0,0.0,0.0,0.0
v1,Q141,100,4,1.12,0.0,0.0,0.0,0.0,0.0
v1,Q142,21,2,1.0,0.0,0.0,0.0,0.0,0.0
v1,Q143,100,1,1.19,0.0,0.0,0.0,0.0,0.0
v1,Q144,94,2,1.127659574468085,0.0,0.0,0.0,0.0,0.0
v1,Q145,100,5,1.11,0.0,0.0,0.0,0.0,0.0
v1,Q146,100,2,1.16,0.0,0.0,0.0,0.0,0.0
v1,Q147,2,6,2.0,1.5,0.22619047619047616,0.8333333333333333,0.25,0.36507936507936506
v1,Q148,6,7,1.1666666666666667,0.3333333333333333,0.044642857142857144,0.25,0.047619047619047616,0.0787037037037037
v1,Q15,100,2,1.23,0.0,0.0,0.0,0.0,0.0
v1,Q150,1,5,1.0,1.0,0.2,1.0,0.2,0.33333333333333337
v1,Q152,3,2,1.0,0.0,0.0,0.0,0.0,0.0
v1,Q154,98,5,1.0918367346938775,0.16326530612244897,0.029591836734693875,0.11734693877551021,0.0326530612244898,0.0500485908649174
v1,Q155,100,4,1.46,0.3,0.06083333333333333,0.1716666666666667,0.075,0.10085714285714285
v1,Q156,89,5,1.0224719101123596,0.011235955056179775,0.0018726591760299624,0.0056179775280898875,0.0022471910112359553,0.003210272873194222
v1,Q157,100,4,1.19,0.84,0.20066666666666666,0.7483333333333333,0.21,0.32352380952380955
v1,Q158,100,4,1.18,0.05,0.011000000000000001,0.035,0.0125,0.018000000000000002
v1,Q159,93,5,1.086021505376344,0.8709677419354839,0.17142857142857143,0.8315412186379928,0.17419354838709677,0.28635432667690736
v1,Q16,33,1,1.0606060606060606,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304
v1,Q160,89,7,1.0449438202247192,0.0,0.0,0.0,0.0,0.0
v1,Q161,82,7,1.0975609756097562,0.7317073170731707,0.10283584978706929,0.6869918699186992,0.10452961672473868,0.18028455284552847
v1,Q162,97,10,1.1546391752577319,0.07216494845360824,0.006747891283973758,0.04639175257731959,0.007216494845360825,0.012339893783192753
v1,Q163,100,7,1.34,0.84,0.11404761904761905,0.68,0.12,0.20072222222222222
v1,Q17,10,1,1.0,0.0,0.0,0.0,0.0,0.0
v1,Q19,1,1,1.0,1.0,1.0,1.0,1.0,1.0
v1,Q2,95,5,1.2421052631578948,0.0,0.0,0.0,0.0,0.0
v1,Q20,3,1,1.6666666666666667,0.0,0.0,0.0,0.0,0.0
v1,Q21,100,2,1.16,0.0,0.0,0.0,0.0,0.0
v1,Q22,100,1,1.18,0.0,0.0,0.0,0.0,0.0
v1,Q24,17,8,1.0,0.47058823529411764,0.058823529411764705,0.47058823529411764,0.058823529411764705,0.1045751633986928
