predicate,count,fraction
biolink:affects,145,0.193333
biolink:genetically_associated_with,123,0.164000
biolink:interacts_with,116,0.154667
biolink:subclass_of,80,0.106667
biolink:treats_or_applied_or_studied_to_treat,57,0.076000
biolink:related_to,52,0.069333
biolink:physically_interacts_with,40,0.053333
biolink:regulates,25,0.033333
biolink:directly_physically_interacts_with,25,0.033333
biolink:genetically_interacts_with,18,0.024000
biolink:has_phenotype,15,0.020000
biolink:has_adverse_event,13,0.017333
biolink:contributes_to,13,0.017333
biolink:target_for,11,0.014667
biolink:affects_response_to,5,0.006667
biolink:causes,3,0.004000
biolink:decreases_response_to,2,0.002667
biolink:contraindicated_in,2,0.002667
biolink:treats,2,0.002667
biolink:ameliorates_condition,1,0.001333
biolink:has_part,1,0.001333
biolink:increases_response_to,1,0.001333
