question_id	n_runs	edge_count_mean	edge_count_var	edge_count_std	abstention_rate	predicate_set_stability	triple_set_stability
Q1	25	1.0	0.0	0.0	0.0	1.0	1.0
Q10	25	0.0	0.0	0.0	1.0	1.0	1.0
Q100	25	0.28	0.2016	0.44899888641287294	0.72	0.56	0.56
Q101	25	0.0	0.0	0.0	1.0	1.0	1.0
Q102	25	0.76	0.18239999999999998	0.4270831300812524	0.24	0.2733333333333333	0.2733333333333333
Q103	25	0.0	0.0	0.0	1.0	1.0	1.0
Q104	25	0.52	0.24960000000000002	0.4995998398718719	0.48	0.44	0.44
Q105	25	1.0	0.0	0.0	0.0	0.92	0.92
Q106	25	0.52	0.24960000000000002	0.4995998398718719	0.48	0.44	0.44
Q107	25	0.8	0.16	0.4	0.2	0.6033333333333334	0.6033333333333334
Q108	25	0.08	0.0736	0.2712931993250107	0.92	0.8466666666666667	0.8466666666666667
Q109	25	0.2	0.16000000000000003	0.4	0.8	0.6466666666666666	0.6466666666666666
Q11	25	0.0	0.0	0.0	1.0	1.0	1.0
Q110	25	0.2	0.16000000000000003	0.4	0.8	0.6666666666666666	0.6533333333333333
Q111	25	1.0	0.0	0.0	0.0	1.0	0.62
Q112	25	0.92	0.0736	0.2712931993250107	0.08	0.5466666666666666	0.5466666666666666
Q113	25	0.8	0.16	0.4	0.2	0.30333333333333334	0.30333333333333334
Q114	25	1.0	0.0	0.0	0.0	0.41333333333333333	0.41333333333333333
Q115	25	0.52	0.24960000000000002	0.4995998398718719	0.48	0.48	0.48
Q116	25	1.0	0.0	0.0	0.0	0.92	0.92
Q117	25	0.56	0.2464	0.4963869458396343	0.44	0.3233333333333333	0.3233333333333333
Q118	25	0.28	0.2016	0.44899888641287294	0.72	0.58	0.58
Q119	25	0.0	0.0	0.0	1.0	1.0	1.0
Q12	25	0.0	0.0	0.0	1.0	1.0	1.0
Q120	25	0.68	0.21760000000000002	0.46647615158762407	0.32	0.44666666666666666	0.44666666666666666
