question_id	query_edge_key	edge_id	subject	predicate	object	subject_label	object_label	provenance
Q1	e0	e_1	MONDO:0005180	biolink:related_to	NCBIGene:348	Parkinson disease	APOE	infores:hetionet(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q1	e0	e_2	NCBIGene:348	biolink:genetically_associated_with	MONDO:0005180	APOE	Parkinson disease	infores:diseases(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q2	e0	e_1	MONDO:0005300	biolink:related_to	NCBIGene:3569	chronic kidney disease	IL6	infores:hetionet(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q2	e0	e_2	NCBIGene:3569	biolink:genetically_associated_with	MONDO:0024327	IL6	Chronic uremia	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q2	e0	e_3	NCBIGene:3569	biolink:genetically_associated_with	MONDO:0005300	IL6	chronic kidney disease	infores:ctd(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q2	e0	e_4	MONDO:0024327	biolink:subclass_of	MONDO:0005300	Chronic uremia	chronic kidney disease	infores:ubergraph(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q2	e0	e_2_e_4	MONDO:0005300	biolink:genetically_associated_with	MONDO:0024327	chronic kidney disease	Chronic uremia	infores:automat-robokop(primary_knowledge_source)
Q3	e0	e_1	CHEBI:6801	biolink:affects	NCBIGene:7124	Metformin	TNF	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q4	e0	e_1	CHEBI:3756	biolink:treats_or_applied_or_studied_to_treat	MONDO:0005180	Clonazepam	Parkinson disease	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q4	e0	e_2	CHEBI:3756	biolink:treats_or_applied_or_studied_to_treat	MONDO:0005180	Clonazepam	Parkinson disease	infores:ctd(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q4	e0	e_3	CHEBI:3756	biolink:has_adverse_event	MONDO:0005180	Clonazepam	Parkinson disease	infores:faers(primary_knowledge_source);infores:drugcentral(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q4	e0	e_4	CHEBI:3756	biolink:ameliorates_condition	MONDO:0005180	Clonazepam	Parkinson disease	infores:hetionet(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q5	e0	e_1	CHEBI:3756	biolink:treats_or_applied_or_studied_to_treat	MONDO:0004375	Clonazepam	end stage renal failure	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q5	e0	e_2	CHEBI:3756	biolink:has_adverse_event	MONDO:0005300	Clonazepam	chronic kidney disease	infores:faers(primary_knowledge_source);infores:drugcentral(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q5	e0	e_3	CHEBI:3756	biolink:has_adverse_event	MONDO:0024327	Clonazepam	Chronic uremia	infores:faers(primary_knowledge_source);infores:drugcentral(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q5	e0	e_4	MONDO:0004375	biolink:subclass_of	MONDO:0005300	end stage renal failure	chronic kidney disease	infores:ubergraph(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q5	e0	e_5	MONDO:0024327	biolink:subclass_of	MONDO:0005300	Chronic uremia	chronic kidney disease	infores:ubergraph(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q5	e0	e_1_e_4	MONDO:0005300	biolink:treats_or_applied_or_studied_to_treat	MONDO:0004375	chronic kidney disease	end stage renal failure	infores:automat-robokop(primary_knowledge_source)
Q5	e0	e_3_e_5	MONDO:0005300	biolink:has_adverse_event	MONDO:0024327	chronic kidney disease	Chronic uremia	infores:automat-robokop(primary_knowledge_source)
Q6	e0	e_1	CHEBI:41774	biolink:treats_or_applied_or_studied_to_treat	MONDO:0008383	Tamoxifen	rheumatoid arthritis	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q7	e0	e_1	CHEBI:15365	biolink:affects	NCBIGene:7422	Aspirin	VEGFA	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q8	e0	e_1	MONDO:0007254	biolink:related_to	NCBIGene:3569	breast cancer	IL6	infores:hetionet(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q8	e0	e_2	NCBIGene:3569	biolink:genetically_associated_with	MONDO:0004989	IL6	breast carcinoma	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q8	e0	e_3	NCBIGene:3569	biolink:genetically_associated_with	MONDO:0004989	IL6	breast carcinoma	infores:ctd(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q8	e0	e_4	NCBIGene:3569	biolink:genetically_associated_with	MONDO:0007254	IL6	breast cancer	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q8	e0	e_5	NCBIGene:3569	biolink:genetically_associated_with	MONDO:0007254	IL6	breast cancer	infores:ctd(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q8	e0	e_6	MONDO:0004989	biolink:subclass_of	MONDO:0007254	breast carcinoma	breast cancer	infores:ubergraph(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q8	e0	e_2_e_6	MONDO:0007254	biolink:genetically_associated_with	MONDO:0004989	breast cancer	breast carcinoma	infores:automat-robokop(primary_knowledge_source)
Q8	e0	e_3_e_6	MONDO:0007254	biolink:genetically_associated_with	MONDO:0004989	breast cancer	breast carcinoma	infores:automat-robokop(primary_knowledge_source)
Q9	e0	e_1	MONDO:0005300	biolink:related_to	NCBIGene:7422	chronic kidney disease	VEGFA	infores:hetionet(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q9	e0	e_2	NCBIGene:7422	biolink:genetically_associated_with	MONDO:0005016	VEGFA	diabetic kidney disease	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q9	e0	e_3	NCBIGene:7422	biolink:genetically_associated_with	MONDO:0005016	VEGFA	diabetic kidney disease	infores:ctd(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q9	e0	e_4	MONDO:0005016	biolink:subclass_of	MONDO:0005300	diabetic kidney disease	chronic kidney disease	infores:ubergraph(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q9	e0	e_2_e_4	MONDO:0005300	biolink:genetically_associated_with	MONDO:0005016	chronic kidney disease	diabetic kidney disease	infores:automat-robokop(primary_knowledge_source)
