question_id	n_runs	mean_gpt_edges	mean_matched_edges	kg_edges	mean_precision	mean_recall	mean_f1	match_rate	gpt_edge_rate
Q136	25	0.64	0.56	2.0	0.56	0.28	0.3733333333333333	0.56	0.64
Q157	25	1.0	0.92	4.0	0.92	0.23	0.36800000000000005	0.92	1.0
Q126	25	0.88	0.84	5.0	0.84	0.168	0.28	0.84	0.88
Q131	25	0.76	0.76	5.0	0.76	0.15200000000000002	0.25333333333333335	0.76	0.76
Q116	25	1.0	0.96	8.0	0.96	0.12	0.21333333333333332	0.96	1.0
Q112	25	0.92	0.72	7.0	0.72	0.10285714285714284	0.18	0.72	0.92
Q115	25	0.52	0.52	5.0	0.52	0.10400000000000001	0.17333333333333337	0.52	0.52
Q123	25	1.0	0.52	5.0	0.52	0.10400000000000001	0.17333333333333337	0.52	1.0
Q125	25	0.72	0.52	5.0	0.52	0.10400000000000001	0.17333333333333337	0.52	0.72
Q128	25	0.6	0.6	6.0	0.6	0.1	0.17142857142857143	0.6	0.6
Q159	25	0.6	0.44	5.0	0.44	0.08800000000000001	0.14666666666666667	0.44	0.6
Q160	25	0.88	0.56	7.0	0.56	0.08	0.14	0.56	0.88
Q120	25	0.68	0.68	9.0	0.68	0.07555555555555556	0.136	0.68	0.68
Q87	25	0.36	0.36	5.0	0.36	0.07200000000000001	0.12000000000000002	0.36	0.36
Q100	25	0.28	0.24	3.0	0.24	0.08	0.12	0.24	0.28
