question_id	subject_text	subject_curie	subject_label	object_text	object_curie	object_label	notes
Q301	Parkinson disease	MONDO:0005180	Parkinson disease	SNCA	NCBIGene:6622	SNCA	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q302	Parkinson disease	MONDO:0005180	Parkinson disease	PRKN	NCBIGene:5071	PRKN	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q303	Alzheimer disease	MONDO:0004975	Alzheimer disease	PSEN1	NCBIGene:5663	PSEN1	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=7
Q304	Alzheimer disease	MONDO:0004975	Alzheimer disease	PSEN2	NCBIGene:5664	PSEN2	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q305	Multiple sclerosis	MONDO:0005301	multiple sclerosis	IL2RA	NCBIGene:3559	IL2RA	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q306	Rheumatoid arthritis	MONDO:0008383	rheumatoid arthritis	IL1B	NCBIGene:3553	IL1B	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q307	Asthma	MONDO:0004979	asthma	IL13	NCBIGene:3596	IL13	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q308	Hypertension	MONDO:0005059	hypertension	AGT	NCBIGene:183	AGT	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q309	Coronary artery disease	MONDO:0005010	coronary artery disease	APOB	NCBIGene:338	APOB	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q310	Hypercholesterolemia	MONDO:0004691	hypercholesterolemia	HMGCR	NCBIGene:3156	HMGCR	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q311	Type 2 diabetes mellitus	MONDO:0005148	Type 2 diabetes mellitus	SLC2A4	NCBIGene:6517	SLC2A4	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q312	Type 2 diabetes mellitus	MONDO:0005148	Type 2 diabetes mellitus	TCF7L2	NCBIGene:6934	TCF7L2	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q313	Obesity	MONDO:0005148	obesity	FTO	NCBIGene:79068	FTO	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q314	Breast cancer	MONDO:0007254	breast cancer	PIK3CA	NCBIGene:5290	PIK3CA	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=8
Q315	Colorectal cancer	MONDO:0005575	colorectal cancer	APC	NCBIGene:324	APC	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=7
Q316	Lung adenocarcinoma	MONDO:0005061	lung adenocarcinoma	ALK	NCBIGene:238	ALK	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q317	Melanoma	MONDO:0005105	melanoma	CDKN2A	NCBIGene:1029	CDKN2A	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q318	Glioblastoma	MONDO:0005142	glioblastoma	EGFR	NCBIGene:1956	EGFR	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=9
Q319	Leukemia	MONDO:0005092	leukemia	JAK2	NCBIGene:3717	JAK2	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q320	Epilepsy	MONDO:0005027	epilepsy	SCN2A	NCBIGene:6326	SCN2A	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q321	Schizophrenia	MONDO:0005090	schizophrenia	GRIN2A	NCBIGene:2903	GRIN2A	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q322	Major depressive disorder	MONDO:0002050	major depressive disorder	BDNF	NCBIGene:627	BDNF	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
