question_id	n_nonzero_runs	mean_gpt_edges	kg_edges	mean_precision	mean_recall	mean_f1	match_rate_nonzero
Q1	96	1.1041666666666667	2.0	0.0	0.0	0.0	0.0
Q100	99	1.0303030303030303	3.0	0.9646464646464646	0.32659932659932656	0.4868686868686869	0.9797979797979798
Q102	100	1.24	5.0	0.13083333333333333	0.036000000000000004	0.054722222222222235	0.18
Q103	3	1.0	8.0	0.0	0.0	0.0	0.0
Q104	100	1.16	7.0	0.0	0.0	0.0	0.0
Q105	100	1.16	7.0	0.045	0.00857142857142857	0.014166666666666668	0.06
Q106	98	1.0408163265306123	9.0	0.02040816326530612	0.0022675736961451248	0.004081632653061224	0.02040816326530612
Q107	100	1.19	7.0	0.025	0.007142857142857142	0.011111111111111112	0.05
Q108	96	1.09375	5.0	0.0	0.0	0.0	0.0
Q109	100	1.07	7.0	0.805	0.12	0.20805555555555558	0.84
Q110	98	1.163265306122449	3.0	0.0	0.0	0.0	0.0
Q111	95	1.2	1.0	0.0	0.0	0.0	0.0
Q112	100	1.26	7.0	0.02	0.005714285714285714	0.008888888888888889	0.04
Q113	100	1.22	8.0	0.015	0.00375	0.006000000000000001	0.03
Q114	100	1.17	7.0	0.135	0.028571428571428567	0.046388888888888896	0.2
Q115	100	1.25	5.0	0.0	0.0	0.0	0.0
Q116	100	1.27	8.0	0.0	0.0	0.0	0.0
Q117	100	1.1	5.0	0.0	0.0	0.0	0.0
Q118	100	1.16	3.0	0.01	0.006666666666666666	0.008	0.02
Q119	93	1.1935483870967742	7.0	0.0	0.0	0.0	0.0
Q12	5	1.0	1.0	0.0	0.0	0.0	0.0
Q120	97	1.0618556701030928	9.0	0.9690721649484536	0.1145475372279496	0.20393626991565136	0.9690721649484536
Q121	7	1.0	9.0	0.42857142857142855	0.047619047619047616	0.08571428571428572	0.42857142857142855
Q122	31	1.0	5.0	0.0	0.0	0.0	0.0
