question_id	subject_text	subject_curie	subject_label	object_text	object_curie	object_label	notes
Q1	Parkinson disease	MONDO:0005180	Parkinson disease	APOE	NCBIGene:348	APOE	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q2	Chronic kidney disease	MONDO:0005300	chronic kidney disease	IL6	NCBIGene:3569	IL6	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q3	TNF	NCBIGene:7124	TNF	metformin	CHEBI:6801	metformin	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=1
Q4	Parkinson disease	MONDO:0005180	Parkinson disease	clofibrate	CHEBI:3756	clofibrate	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=4
Q5	Breast carcinoma	MONDO:0007254	breast carcinoma	BRCA2	NCBIGene:675	BRCA2	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q6	Rheumatoid arthritis	MONDO:0008383	rheumatoid arthritis	ibuprofen	CHEBI:5855	ibuprofen	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=5
Q7	Chronic kidney disease	MONDO:0005300	chronic kidney disease	clofibrate	CHEBI:3756	clofibrate	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=1
Q8	Rheumatoid arthritis	MONDO:0008383	rheumatoid arthritis	tamoxifen	CHEBI:41774	tamoxifen	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=1
Q9	VEGFA	NCBIGene:7422	VEGFA	aspirin	CHEBI:15365	aspirin	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=1
Q10	Breast carcinoma	MONDO:0007254	breast carcinoma	IL6	NCBIGene:3569	IL6	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q11	Chronic kidney disease	MONDO:0005300	chronic kidney disease	VEGFA	NCBIGene:7422	VEGFA	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=1
Q12	Rheumatoid arthritis	MONDO:0008383	rheumatoid arthritis	cisplatin	CHEBI:27899	cisplatin	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=1
Q13	Chronic kidney disease	MONDO:0005300	chronic kidney disease	ibuprofen	CHEBI:5855	ibuprofen	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=3
Q14	IL6	NCBIGene:3569	IL6	ibuprofen	CHEBI:5855	ibuprofen	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=1
Q15	Type 2 diabetes mellitus	MONDO:0005148	Type 2 diabetes mellitus	tamoxifen	CHEBI:41774	tamoxifen	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=1
Q16	Asthma	MONDO:0004979	Asthma	warfarin	CHEBI:10033	warfarin	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=3
Q17	Coronary artery disease	MONDO:0005010	coronary artery disease	IL6	NCBIGene:3569	IL6	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q18	BRAF	NCBIGene:673	BRAF	metformin	CHEBI:6801	metformin	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=1
Q19	ACE	NCBIGene:1636	ACE	metformin	CHEBI:6801	metformin	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=1
Q20	Rheumatoid arthritis	MONDO:0008383	rheumatoid arthritis	aspirin	CHEBI:15365	aspirin	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=5
Q21	Alzheimer disease	MONDO:0004975	Alzheimer disease	tamoxifen	CHEBI:41774	tamoxifen	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=1
Q22	Breast carcinoma	MONDO:0007254	breast carcinoma	clofibrate	CHEBI:3756	clofibrate	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=1
Q23	VEGFA	NCBIGene:7422	VEGFA	metformin	CHEBI:6801	metformin	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=1
Q24	Rheumatoid arthritis	MONDO:0008383	rheumatoid arthritis	VEGFA	NCBIGene:7422	VEGFA	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q25	Coronary artery disease	MONDO:0005010	coronary artery disease	ACE	NCBIGene:1636	ACE	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q26	Asthma	MONDO:0004979	Asthma	TNF	NCBIGene:7124	TNF	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q27	Hypertension	MONDO:0001134	hypertension	ACE	NCBIGene:1636	ACE	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=1
Q28	Rheumatoid arthritis	MONDO:0008383	rheumatoid arthritis	IL6	NCBIGene:3569	IL6	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q29	TNF	NCBIGene:7124	TNF	tamoxifen	CHEBI:41774	tamoxifen	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=1
