question_id,mean_f1,median_f1,mean_jaccard,zero_f1_rate
Q1,0.035,0.0,0.02333331,0.93
Q10,0.0,0.0,0.0,1.0
Q100,0.64166698,0.666667,0.47999999000000004,0.03
Q101,0.0,0.0,0.0,1.0
Q102,0.07919047,0.0,0.05116664,0.82
Q103,0.008571420000000001,0.0,0.00500001,0.97
Q104,0.29571399,0.333333,0.17666672000000003,0.09
Q105,0.028095210000000002,0.0,0.01666668,0.91
Q106,0.18888888,0.25,0.10785704000000002,0.24
Q107,0.04857142,0.0,0.027857130000000004,0.81
Q108,0.32599997000000003,0.4,0.203,0.17
Q109,0.27666639,0.333333,0.16566669,0.16
Q11,0.0,0.0,0.0,1.0
Q110,0.0,0.0,0.0,1.0
Q111,0.12666673,0.0,0.095,0.81
Q112,0.23515856000000002,0.285714,0.13821444000000002,0.18
Q113,0.24896084000000002,0.285714,0.1460002,0.13
Q114,0.06047613,0.0,0.035666710000000004,0.8
Q115,0.35933325000000005,0.4,0.2225,0.06
Q116,0.22611104,0.25,0.13071418,0.12
Q117,0.3293333,0.4,0.205,0.16
Q118,0.01,0.0,0.00666666,0.98
Q119,0.26476164,0.333333,0.15800006000000003,0.18
Q12,0.0,0.0,0.0,1.0
Q120,0.28999974,0.285714,0.17166695,0.03
Q121,0.00999999,0.0,0.006000000000000001,0.97
Q122,0.0,0.0,0.0,1.0
Q123,0.26266666,0.4,0.16399999999999998,0.34
Q124,0.01333334,0.0,0.01,0.98
Q125,0.34173802000000003,0.4,0.21142858,0.1
Q126,0.26752373,0.333333,0.16516667000000002,0.29
Q127,0.13496024,0.0,0.07952385000000001,0.53
Q128,0.485,0.5,0.35283324,0.15
Q129,0.24955548,0.25,0.14436496000000001,0.03
Q13,0.0,0.0,0.0,1.0
Q130,0.07785712,0.0,0.04476190000000001,0.7
Q131,0.25714276,0.333333,0.15800002000000002,0.3
Q132,0.04821426000000001,0.0,0.027857160000000002,0.82
Q133,0.028666650000000002,0.0,0.0175,0.92
Q134,0.05408728,0.0,0.03142857,0.8
Q135,0.20155536000000002,0.222222,0.11361110999999999,0.1
Q136,0.61333337,1.0,0.595,0.35
Q137,0.06857136000000001,0.0,0.04000008,0.76
Q138,0.045,0.0,0.02999997,0.91
Q139,0.08900000000000001,0.0,0.055833329999999994,0.78
Q14,0.0,0.0,0.0,1.0
Q140,0.11333334,0.0,0.0766666,0.78
Q141,0.04399996,0.0,0.026500000000000003,0.87
Q142,0.0,0.0,0.0,1.0
Q143,0.11000005,0.0,0.085,0.84
Q144,0.055,0.0,0.03666663,0.89
Q145,0.031428540000000005,0.0,0.01833337,0.89
Q146,0.08166667,0.0,0.05499995,0.84
Q147,0.007301580000000001,0.0,0.0045238100000000005,0.98
Q148,0.00472222,0.0,0.00267857,0.98
Q149,0.0,0.0,0.0,1.0
Q15,0.1,0.0,0.0666666,0.8
Q150,0.00333333,0.0,0.002,0.99
Q151,0.0,0.0,0.0,1.0
Q152,0.0,0.0,0.0,1.0
Q153,0.0,0.0,0.0,1.0
Q154,0.07100000000000001,0.0,0.04583331,0.84
Q155,0.12166664,0.0,0.07683331,0.7
Q156,0.00333333,0.0,0.002,0.99
Q157,0.52900022,0.666667,0.38916660999999997,0.16
Q158,0.022000000000000002,0.0,0.01416666,0.95
Q159,0.31885712,0.4,0.19866667,0.19
Q16,0.01,0.0,0.01,0.99
Q160,0.2410712,0.285714,0.14095264,0.16
Q161,0.19630932999999998,0.333333,0.11742859000000001,0.4
Q162,0.05666664,0.0,0.03166665,0.73
Q163,0.26416640999999996,0.333333,0.15695247,0.16
Q17,0.0,0.0,0.0,1.0
Q18,0.0,0.0,0.0,1.0
Q19,0.01,0.0,0.01,0.99
Q2,0.04857138000000001,0.0,0.02833339,0.83
Q20,0.0,0.0,0.0,1.0
Q21,0.055,0.0,0.03666663,0.89
Q22,0.0,0.0,0.0,1.0
Q23,0.0,0.0,0.0,1.0
Q24,0.01777776,0.0,0.01,0.92
Q25,0.05333328,0.0,0.032,0.84
Q26,0.0,0.0,0.0,1.0
Q27,0.0,0.0,0.0,1.0
Q28,0.01,0.0,0.01,0.99
Q29,0.0,0.0,0.0,1.0
Q3,0.0,0.0,0.0,1.0
Q30,0.09666667000000001,0.0,0.06499994,0.81
Q31,0.0,0.0,0.0,1.0
Q32,0.0,0.0,0.0,1.0
Q33,0.034285680000000006,0.0,0.02000004,0.88
Q34,0.0,0.0,0.0,1.0
Q35,0.0,0.0,0.0,1.0
Q36,0.07,0.0,0.04666662,0.86
Q37,0.0,0.0,0.0,1.0
Q38,0.0,0.0,0.0,1.0
Q39,0.0,0.0,0.0,1.0
Q4,0.0,0.0,0.0,1.0
Q40,0.06,0.0,0.03999996,0.88
Q41,0.0,0.0,0.0,1.0
Q42,0.0,0.0,0.0,1.0
Q43,0.0,0.0,0.0,1.0
Q44,0.0,0.0,0.0,1.0
Q45,0.0,0.0,0.0,1.0
Q46,0.0,0.0,0.0,1.0
Q47,0.0,0.0,0.0,1.0
Q48,0.07500002,0.0,0.05333331,0.87
Q49,0.0,0.0,0.0,1.0
Q5,0.0,0.0,0.0,1.0
Q50,0.0,0.0,0.0,1.0
Q51,0.0,0.0,0.0,1.0
Q52,0.045,0.0,0.02999997,0.91
Q53,0.0,0.0,0.0,1.0
Q54,0.0,0.0,0.0,1.0
Q55,0.031428540000000005,0.0,0.01833337,0.89
Q56,0.0,0.0,0.0,1.0
Q57,0.011666669999999999,0.0,0.00833333,0.98
Q58,0.0,0.0,0.0,1.0
Q59,0.0,0.0,0.0,1.0
Q6,0.0,0.0,0.0,1.0
Q60,0.0,0.0,0.0,1.0
Q61,0.0,0.0,0.0,1.0
Q62,0.0,0.0,0.0,1.0
Q63,0.0,0.0,0.0,1.0
Q64,0.00666667,0.0,0.005,0.99
Q65,0.0,0.0,0.0,1.0
Q66,0.0,0.0,0.0,1.0
Q67,0.00666667,0.0,0.005,0.99
Q68,0.0,0.0,0.0,1.0
Q69,0.0,0.0,0.0,1.0
Q7,0.0,0.0,0.0,1.0
Q70,0.0,0.0,0.0,1.0
Q71,0.1,0.0,0.0666666,0.8
Q72,0.0,0.0,0.0,1.0
Q73,0.0,0.0,0.0,1.0
Q74,0.00333333,0.0,0.002,0.99
Q75,0.0,0.0,0.0,1.0
Q76,0.1,0.0,0.0666666,0.8
Q77,0.034285680000000006,0.0,0.02000004,0.88
Q78,0.07,0.0,0.04666662,0.86
Q79,0.084,0.0,0.0525,0.79
Q8,0.03714282,0.0,0.02166671,0.87
Q80,0.11833334000000001,0.0,0.07999993,0.77
Q81,0.085,0.0,0.05666660999999999,0.83
Q82,0.037000000000000005,0.0,0.02333333,0.91
Q83,0.049,0.0,0.030833330000000003,0.88
Q84,0.0,0.0,0.0,1.0
Q85,0.0,0.0,0.0,1.0
Q86,0.0,0.0,0.0,1.0
Q87,0.3213333,0.4,0.2,0.18
Q88,0.0,0.0,0.0,1.0
Q89,0.08,0.0,0.05083332,0.81
Q9,0.0,0.0,0.0,1.0
Q90,0.08800000000000001,0.0,0.055,0.78
Q91,0.0,0.0,0.0,1.0
Q92,0.13199996,0.0,0.0815,0.65
Q93,0.45633333,0.5,0.30366643,0.06
Q94,0.39000018,0.666667,0.28999998,0.4
Q95,0.07285707,0.0,0.043666670000000005,0.78
Q96,0.018000000000000002,0.0,0.00999999,0.91
Q97,0.01285713,0.0,0.0076666699999999996,0.96
Q98,0.01333334,0.0,0.01,0.98
Q99,0.0,0.0,0.0,1.0
