question_id	n_runs	mean_gpt_edges	mean_matched_edges	kg_edges	mean_precision	mean_recall	mean_f1	match_rate	gpt_edge_rate
Q1	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q10	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q100	25	0.28	0.24	3.0	0.24	0.08	0.12	0.24	0.28
Q101	25	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
Q102	25	0.76	0.08	5.0	0.08	0.016	0.02666666666666667	0.08	0.76
Q103	25	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
Q104	25	0.52	0.48	7.0	0.48	0.06857142857142856	0.12	0.48	0.52
Q105	25	1.0	0.04	7.0	0.04	0.005714285714285714	0.01	0.04	1.0
Q106	25	0.52	0.48	9.0	0.48	0.05333333333333333	0.096	0.48	0.52
Q107	25	0.8	0.04	7.0	0.04	0.005714285714285714	0.01	0.04	0.8
Q108	25	0.08	0.08	5.0	0.08	0.016	0.02666666666666667	0.08	0.08
Q109	25	0.2	0.08	7.0	0.08	0.011428571428571429	0.02	0.08	0.2
Q11	25	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
Q110	25	0.2	0.0	3.0	0.0	0.0	0.0	0.0	0.2
Q111	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q112	25	0.92	0.72	7.0	0.72	0.10285714285714284	0.18	0.72	0.92
Q113	25	0.8	0.4	8.0	0.4	0.05	0.08888888888888889	0.4	0.8
Q114	25	1.0	0.4	7.0	0.4	0.057142857142857134	0.1	0.4	1.0
Q115	25	0.52	0.52	5.0	0.52	0.10400000000000001	0.17333333333333337	0.52	0.52
Q116	25	1.0	0.96	8.0	0.96	0.12	0.21333333333333332	0.96	1.0
Q117	25	0.56	0.28	5.0	0.28	0.05600000000000001	0.09333333333333334	0.28	0.56
Q118	25	0.28	0.0	3.0	0.0	0.0	0.0	0.0	0.28
Q119	25	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
Q12	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q120	25	0.68	0.68	9.0	0.68	0.07555555555555556	0.136	0.68	0.68
Q121	25	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
Q122	25	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
Q123	25	1.0	0.52	5.0	0.52	0.10400000000000001	0.17333333333333337	0.52	1.0
Q124	25	0.28	0.0	1.0	0.0	0.0	0.0	0.0	0.28
Q125	25	0.72	0.52	5.0	0.52	0.10400000000000001	0.17333333333333337	0.52	0.72
Q126	25	0.88	0.84	5.0	0.84	0.168	0.28	0.84	0.88
Q127	25	0.96	0.36	7.0	0.36	0.05142857142857142	0.09	0.36	0.96
Q128	25	0.6	0.6	6.0	0.6	0.1	0.17142857142857143	0.6	0.6
Q129	25	0.64	0.24	8.0	0.24	0.03	0.05333333333333333	0.24	0.64
Q13	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q130	25	0.28	0.04	8.0	0.04	0.005	0.008888888888888889	0.04	0.28
Q131	25	0.76	0.76	5.0	0.76	0.15200000000000002	0.25333333333333335	0.76	0.76
Q132	25	0.88	0.16	7.0	0.16	0.022857142857142857	0.04	0.16	0.88
Q133	25	0.88	0.16	5.0	0.16	0.032	0.05333333333333334	0.16	0.88
Q134	25	0.96	0.2	7.0	0.2	0.028571428571428567	0.05	0.2	0.96
Q135	25	0.6	0.6	9.0	0.6	0.06666666666666667	0.11999999999999998	0.6	0.6
Q136	25	0.64	0.56	2.0	0.56	0.28	0.3733333333333333	0.56	0.64
Q137	25	1.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0
Q138	25	0.96	0.0	2.0	0.0	0.0	0.0	0.0	0.96
Q139	25	0.96	0.0	3.0	0.0	0.0	0.0	0.0	0.96
Q14	25	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
Q140	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q141	25	0.92	0.0	4.0	0.0	0.0	0.0	0.0	0.92
Q142	25	0.04	0.0	2.0	0.0	0.0	0.0	0.0	0.04
Q143	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q144	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q145	25	1.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0
Q146	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q147	25	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
Q148	25	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
Q149	25	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q15	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q150	25	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
Q151	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q152	25	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q153	25	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0
Q154	25	1.0	0.04	5.0	0.04	0.008	0.013333333333333334	0.04	1.0
Q155	25	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Q156	25	1.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0
Q157	25	1.0	0.92	4.0	0.92	0.23	0.36800000000000005	0.92	1.0
Q158	25	1.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0
Q159	25	0.6	0.44	5.0	0.44	0.08800000000000001	0.14666666666666667	0.44	0.6
Q16	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q160	25	0.88	0.56	7.0	0.56	0.08	0.14	0.56	0.88
Q161	25	0.08	0.08	7.0	0.08	0.011428571428571429	0.02	0.08	0.08
