question_id,query_n0,query_n1,edge_id,subject,subject_name,predicate,object,object_name,knowledge_level,agent_type,sources
Q10,NCBIGene:2308,NCBIGene:3479,e_1,NCBIGene:2308,FOXO1,biolink:affects,NCBIGene:3479,IGF1,not_provided,text_mining_agent,infores:automat-robokop;infores:text-mining-provider-targeted
Q10,NCBIGene:2308,NCBIGene:3479,e_2,NCBIGene:3479,IGF1,biolink:affects,NCBIGene:2308,FOXO1,not_provided,text_mining_agent,infores:automat-robokop;infores:text-mining-provider-targeted
Q10,NCBIGene:2308,NCBIGene:3479,e_3,NCBIGene:3479,IGF1,biolink:affects,NCBIGene:2308,FOXO1,not_provided,text_mining_agent,infores:automat-robokop;infores:text-mining-provider-targeted
Q10,NCBIGene:2308,NCBIGene:3479,e_4_e_6,NCBIGene:2308,FOXO1,biolink:interacts_with,NCBIGene:3479,IGF1,logical_entailment,automated_agent,infores:automat-robokop
Q10,NCBIGene:2308,NCBIGene:3479,e_5_e_6,UniProtKB:P05019-4,insulin-like growth factor I isoform 4 (human),biolink:interacts_with,NCBIGene:3479,IGF1,logical_entailment,automated_agent,infores:automat-robokop
Q1,MONDO:0018310,MONDO:0005559,uuid:2a0cf142-198e-11f0-be82-6045bdb3d4c0_e_2,MONDO:0018310,Langerhans cell histiocytosis,biolink:has_phenotype,MONDO:0005559,neurodegenerative disease,logical_entailment,automated_agent,infores:automat-robokop
Q2,MONDO:0018310,NCBIGene:673,uuid:1d88a349-198e-11f0-be82-6045bdb3d4c0_e_4,NCBIGene:673,BRAF,biolink:has_phenotype,MONDO:0018310,Langerhans cell histiocytosis,logical_entailment,automated_agent,infores:automat-robokop
Q2,MONDO:0018310,NCBIGene:673,e_2,NCBIGene:673,BRAF,biolink:genetically_associated_with,MONDO:0018310,Langerhans cell histiocytosis,not_provided,not_provided,infores:automat-robokop;infores:disgenet;infores:pharos
Q2,MONDO:0018310,NCBIGene:673,e_3,NCBIGene:673,BRAF,biolink:genetically_associated_with,MONDO:0018310,Langerhans cell histiocytosis,knowledge_assertion,manual_agent,infores:automat-robokop;infores:diseases;infores:pharos
Q3,NCBIGene:7157,MONDO:0004992,uuid:0eae13ed-198e-11f0-be82-6045bdb3d4c0_e_410,NCBIGene:7157,TP53,biolink:contributes_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:0eae1497-198e-11f0-be82-6045bdb3d4c0_e_411,NCBIGene:7157,TP53,biolink:contributes_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
Q3,NCBIGene:7157,MONDO:0004992,uuid:0ec4375b-198e-11f0-be82-6045bdb3d4c0_e_412,NCBIGene:7157,TP53,biolink:contributes_to,MONDO:0004992,cancer,logical_entailment,automated_agent,infores:automat-robokop
