prompt_version,question_id,run_id,pred_n,gold_n,tp,precision,recall,jaccard,f1
v2,Q1,1,1,2,0,0.0,0.0,0.0,0.0
v2,Q2,1,1,5,0,0.0,0.0,0.0,0.0
v2,Q3,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q4,1,0,3,0,0.0,0.0,0.0,0.0
v2,Q5,1,0,7,0,0.0,0.0,0.0,0.0
v2,Q6,1,0,1,0,0.0,0.0,0.0,0.0
v2,Q7,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q8,1,1,5,0,0.0,0.0,0.0,0.0
v2,Q9,1,1,4,0,0.0,0.0,0.0,0.0
v2,Q10,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q11,1,0,5,0,0.0,0.0,0.0,0.0
v2,Q12,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q13,1,0,1,0,0.0,0.0,0.0,0.0
v2,Q14,1,0,6,0,0.0,0.0,0.0,0.0
v2,Q15,1,1,2,0,0.0,0.0,0.0,0.0
v2,Q16,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q17,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q18,1,0,1,0,0.0,0.0,0.0,0.0
v2,Q19,1,0,1,0,0.0,0.0,0.0,0.0
v2,Q20,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q21,1,1,2,0,0.0,0.0,0.0,0.0
v2,Q22,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q23,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q24,1,0,8,0,0.0,0.0,0.0,0.0
v2,Q25,1,1,4,0,0.0,0.0,0.0,0.0
v2,Q26,1,0,4,0,0.0,0.0,0.0,0.0
v2,Q27,1,0,2,0,0.0,0.0,0.0,0.0
v2,Q28,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q29,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q30,1,1,2,0,0.0,0.0,0.0,0.0
v2,Q31,1,1,2,0,0.0,0.0,0.0,0.0
v2,Q32,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q33,1,1,5,0,0.0,0.0,0.0,0.0
v2,Q34,1,0,3,0,0.0,0.0,0.0,0.0
v2,Q35,1,0,2,0,0.0,0.0,0.0,0.0
v2,Q36,1,1,2,0,0.0,0.0,0.0,0.0
v2,Q37,1,0,2,0,0.0,0.0,0.0,0.0
v2,Q38,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q39,1,0,1,0,0.0,0.0,0.0,0.0
v2,Q40,1,1,2,0,0.0,0.0,0.0,0.0
v2,Q41,1,0,1,0,0.0,0.0,0.0,0.0
v2,Q42,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q43,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q44,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q45,1,1,2,0,0.0,0.0,0.0,0.0
v2,Q46,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q47,1,0,1,0,0.0,0.0,0.0,0.0
v2,Q48,1,1,2,0,0.0,0.0,0.0,0.0
v2,Q49,1,0,7,0,0.0,0.0,0.0,0.0
v2,Q50,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q51,1,0,1,0,0.0,0.0,0.0,0.0
v2,Q52,1,1,2,0,0.0,0.0,0.0,0.0
v2,Q53,1,0,2,0,0.0,0.0,0.0,0.0
v2,Q54,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q55,1,1,5,0,0.0,0.0,0.0,0.0
v2,Q56,1,0,9,0,0.0,0.0,0.0,0.0
v2,Q57,1,1,2,0,0.0,0.0,0.0,0.0
v2,Q58,1,0,2,0,0.0,0.0,0.0,0.0
v2,Q59,1,0,1,0,0.0,0.0,0.0,0.0
v2,Q60,1,0,8,0,0.0,0.0,0.0,0.0
v2,Q61,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q62,1,0,1,0,0.0,0.0,0.0,0.0
v2,Q63,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q64,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q65,1,0,4,0,0.0,0.0,0.0,0.0
v2,Q66,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q67,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q68,1,1,2,0,0.0,0.0,0.0,0.0
v2,Q69,1,1,2,0,0.0,0.0,0.0,0.0
v2,Q70,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q71,1,1,2,0,0.0,0.0,0.0,0.0
v2,Q72,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q73,1,0,10,0,0.0,0.0,0.0,0.0
v2,Q74,1,1,4,0,0.0,0.0,0.0,0.0
v2,Q75,1,1,3,0,0.0,0.0,0.0,0.0
v2,Q76,1,1,2,0,0.0,0.0,0.0,0.0
v2,Q77,1,1,5,0,0.0,0.0,0.0,0.0
v2,Q78,1,1,2,0,0.0,0.0,0.0,0.0
v2,Q79,1,1,3,0,0.0,0.0,0.0,0.0
v2,Q80,1,1,2,0,0.0,0.0,0.0,0.0
v2,Q81,1,1,2,0,0.0,0.0,0.0,0.0
v2,Q82,1,1,3,0,0.0,0.0,0.0,0.0
v2,Q83,1,1,3,0,0.0,0.0,0.0,0.0
v2,Q84,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q85,1,1,1,0,0.0,0.0,0.0,0.0
v2,Q86,1,0,1,0,0.0,0.0,0.0,0.0
v2,Q87,1,1,4,0,0.0,0.0,0.0,0.0
v2,Q88,1,1,3,0,0.0,0.0,0.0,0.0
v2,Q89,1,1,3,0,0.0,0.0,0.0,0.0
v2,Q90,1,1,3,0,0.0,0.0,0.0,0.0
v2,Q91,1,0,2,0,0.0,0.0,0.0,0.0
v2,Q92,1,1,4,0,0.0,0.0,0.0,0.0
v2,Q93,1,1,3,1,1.0,0.3333333333333333,0.3333333333333333,0.5
v2,Q94,1,1,2,1,1.0,0.5,0.5,0.6666666666666666
v2,Q95,1,0,5,0,0.0,0.0,0.0,0.0
v2,Q96,1,1,8,0,0.0,0.0,0.0,0.0
v2,Q97,1,0,5,0,0.0,0.0,0.0,0.0
v2,Q98,1,0,1,0,0.0,0.0,0.0,0.0
v2,Q99,1,0,5,0,0.0,0.0,0.0,0.0
v2,Q100,1,1,2,0,0.0,0.0,0.0,0.0
v2,Q101,1,0,6,0,0.0,0.0,0.0,0.0
v2,Q102,1,1,3,0,0.0,0.0,0.0,0.0
v2,Q103,1,0,6,0,0.0,0.0,0.0,0.0
v2,Q104,1,1,5,1,1.0,0.2,0.2,0.33333333333333337
v2,Q105,1,1,5,0,0.0,0.0,0.0,0.0
v2,Q106,1,1,7,0,0.0,0.0,0.0,0.0
