prompt_version,question_id,mean_f1,median_f1,p25_f1,p75_f1,mean_jaccard,median_jaccard,mean_precision,mean_recall,mean_n_pred,mean_n_ref,iqr_f1,zero_f1_rate
v2,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
v2,Q10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1.0,0.0,1.0
v2,Q100,0.12,0.0,0.0,0.0,0.08,0.0,0.24,0.08,1.0,3.0,0.0,0.76
v2,Q101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0
v2,Q102,0.05333333333333334,0.0,0.0,0.0,0.032,0.0,0.16,0.032,1.0,5.0,0.0,0.84
v2,Q103,0.05333333333333333,0.0,0.0,0.0,0.03,0.0,0.24,0.03,0.28,8.0,0.0,0.76
v2,Q104,0.2,0.25,0.25,0.25,0.11428571428571427,0.14285714285714285,0.8,0.11428571428571427,1.0,7.0,0.0,0.2
v2,Q105,0.14,0.25,0.0,0.25,0.08,0.14285714285714285,0.56,0.08,1.0,7.0,0.25,0.44
v2,Q106,0.048,0.0,0.0,0.0,0.026666666666666665,0.0,0.24,0.026666666666666665,1.0,9.0,0.0,0.76
v2,Q107,0.17,0.25,0.0,0.25,0.09714285714285714,0.14285714285714285,0.68,0.09714285714285714,1.0,7.0,0.25,0.32
v2,Q108,0.10666666666666667,0.0,0.0,0.33333333333333337,0.064,0.0,0.32,0.064,0.44,5.0,0.33333333333333337,0.68
v2,Q109,0.05,0.0,0.0,0.0,0.028571428571428567,0.0,0.2,0.028571428571428567,1.0,7.0,0.0,0.8
v2,Q11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
v2,Q110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,3.0,0.0,1.0
v2,Q111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
v2,Q112,0.16,0.25,0.0,0.25,0.09142857142857143,0.14285714285714285,0.64,0.09142857142857143,1.0,7.0,0.25,0.36
v2,Q113,0.09777777777777777,0.0,0.0,0.2222222222222222,0.055,0.0,0.44,0.055,1.0,8.0,0.2222222222222222,0.56
v2,Q114,0.13,0.25,0.0,0.25,0.07428571428571427,0.14285714285714285,0.52,0.07428571428571427,1.0,7.0,0.25,0.48
v2,Q115,0.14666666666666667,0.0,0.0,0.33333333333333337,0.08800000000000001,0.0,0.44,0.08800000000000001,0.96,5.0,0.33333333333333337,0.56
v2,Q116,0.008888888888888889,0.0,0.0,0.0,0.005,0.0,0.04,0.005,1.0,8.0,0.0,0.96
v2,Q117,0.08,0.0,0.0,0.0,0.04800000000000001,0.0,0.24,0.04800000000000001,1.0,5.0,0.0,0.76
v2,Q118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0
v2,Q119,0.09,0.0,0.0,0.25,0.05142857142857142,0.0,0.36,0.05142857142857142,0.92,7.0,0.25,0.64
v2,Q12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,1.0,0.0,1.0
v2,Q120,0.2,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.1111111111111111,0.1111111111111111,1.0,0.1111111111111111,1.0,9.0,0.0,0.0
v2,Q121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0
v2,Q122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,5.0,0.0,1.0
v2,Q123,0.05333333333333334,0.0,0.0,0.0,0.032,0.0,0.16,0.032,0.96,5.0,0.0,0.84
v2,Q124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
v2,Q125,0.17333333333333337,0.33333333333333337,0.0,0.33333333333333337,0.10400000000000001,0.2,0.52,0.10400000000000001,1.0,5.0,0.33333333333333337,0.48
v2,Q126,0.12000000000000002,0.0,0.0,0.33333333333333337,0.07200000000000001,0.0,0.36,0.07200000000000001,1.0,5.0,0.33333333333333337,0.64
v2,Q127,0.14,0.25,0.0,0.25,0.08,0.14285714285714285,0.56,0.08,1.0,7.0,0.25,0.44
