prompt_version,question_id,run_id,precision,recall,f1,jaccard,n_pred,n_ref,n_inter
v2,Q1,1,0.0,0.0,0.0,0.0,1,2,0
v2,Q1,2,0.0,0.0,0.0,0.0,1,2,0
v2,Q1,3,0.0,0.0,0.0,0.0,1,2,0
v2,Q1,4,0.0,0.0,0.0,0.0,1,2,0
v2,Q1,5,0.0,0.0,0.0,0.0,1,2,0
v2,Q1,6,0.0,0.0,0.0,0.0,1,2,0
v2,Q1,7,0.0,0.0,0.0,0.0,1,2,0
v2,Q1,8,0.0,0.0,0.0,0.0,1,2,0
v2,Q1,9,0.0,0.0,0.0,0.0,1,2,0
v2,Q1,10,0.0,0.0,0.0,0.0,1,2,0
v2,Q1,11,0.0,0.0,0.0,0.0,1,2,0
v2,Q1,12,0.0,0.0,0.0,0.0,1,2,0
v2,Q1,13,0.0,0.0,0.0,0.0,1,2,0
v2,Q1,14,0.0,0.0,0.0,0.0,1,2,0
v2,Q1,15,0.0,0.0,0.0,0.0,1,2,0
v2,Q1,16,0.0,0.0,0.0,0.0,1,2,0
v2,Q1,17,0.0,0.0,0.0,0.0,1,2,0
v2,Q1,18,0.0,0.0,0.0,0.0,1,2,0
v2,Q1,19,0.0,0.0,0.0,0.0,1,2,0
v2,Q1,20,0.0,0.0,0.0,0.0,1,2,0
v2,Q1,21,0.0,0.0,0.0,0.0,1,2,0
v2,Q1,22,0.0,0.0,0.0,0.0,1,2,0
v2,Q1,23,0.0,0.0,0.0,0.0,1,2,0
v2,Q1,24,0.0,0.0,0.0,0.0,1,2,0
v2,Q1,25,0.0,0.0,0.0,0.0,1,2,0
v2,Q10,1,0.0,0.0,0.0,0.0,1,1,0
v2,Q10,2,0.0,0.0,0.0,0.0,0,1,0
v2,Q10,3,0.0,0.0,0.0,0.0,0,1,0
v2,Q10,4,0.0,0.0,0.0,0.0,0,1,0
v2,Q10,5,0.0,0.0,0.0,0.0,0,1,0
v2,Q10,6,0.0,0.0,0.0,0.0,0,1,0
v2,Q10,7,0.0,0.0,0.0,0.0,0,1,0
v2,Q10,8,0.0,0.0,0.0,0.0,0,1,0
v2,Q10,9,0.0,0.0,0.0,0.0,0,1,0
v2,Q10,10,0.0,0.0,0.0,0.0,0,1,0
v2,Q10,11,0.0,0.0,0.0,0.0,0,1,0
v2,Q10,12,0.0,0.0,0.0,0.0,0,1,0
v2,Q10,13,0.0,0.0,0.0,0.0,0,1,0
v2,Q10,14,0.0,0.0,0.0,0.0,0,1,0
v2,Q10,15,0.0,0.0,0.0,0.0,0,1,0
v2,Q10,16,0.0,0.0,0.0,0.0,0,1,0
v2,Q10,17,0.0,0.0,0.0,0.0,0,1,0
v2,Q10,18,0.0,0.0,0.0,0.0,0,1,0
v2,Q10,19,0.0,0.0,0.0,0.0,0,1,0
v2,Q10,20,0.0,0.0,0.0,0.0,0,1,0
v2,Q10,21,0.0,0.0,0.0,0.0,0,1,0
v2,Q10,22,0.0,0.0,0.0,0.0,0,1,0
v2,Q10,23,0.0,0.0,0.0,0.0,0,1,0
v2,Q10,24,0.0,0.0,0.0,0.0,0,1,0
v2,Q10,25,0.0,0.0,0.0,0.0,0,1,0
v2,Q100,1,0.0,0.0,0.0,0.0,1,3,0
v2,Q100,2,0.0,0.0,0.0,0.0,1,3,0
v2,Q100,3,0.0,0.0,0.0,0.0,1,3,0
v2,Q100,4,0.0,0.0,0.0,0.0,1,3,0
v2,Q100,5,1.0,0.3333333333333333,0.5,0.3333333333333333,1,3,1
v2,Q100,6,1.0,0.3333333333333333,0.5,0.3333333333333333,1,3,1
v2,Q100,7,0.0,0.0,0.0,0.0,1,3,0
v2,Q100,8,0.0,0.0,0.0,0.0,1,3,0
v2,Q100,9,0.0,0.0,0.0,0.0,1,3,0
v2,Q100,10,1.0,0.3333333333333333,0.5,0.3333333333333333,1,3,1
v2,Q100,11,0.0,0.0,0.0,0.0,1,3,0
v2,Q100,12,1.0,0.3333333333333333,0.5,0.3333333333333333,1,3,1
v2,Q100,13,0.0,0.0,0.0,0.0,1,3,0
v2,Q100,14,0.0,0.0,0.0,0.0,1,3,0
v2,Q100,15,0.0,0.0,0.0,0.0,1,3,0
v2,Q100,16,1.0,0.3333333333333333,0.5,0.3333333333333333,1,3,1
v2,Q100,17,1.0,0.3333333333333333,0.5,0.3333333333333333,1,3,1
v2,Q100,18,0.0,0.0,0.0,0.0,1,3,0
v2,Q100,19,0.0,0.0,0.0,0.0,1,3,0
v2,Q100,20,0.0,0.0,0.0,0.0,1,3,0
v2,Q100,21,0.0,0.0,0.0,0.0,1,3,0
v2,Q100,22,0.0,0.0,0.0,0.0,1,3,0
v2,Q100,23,0.0,0.0,0.0,0.0,1,3,0
v2,Q100,24,0.0,0.0,0.0,0.0,1,3,0
v2,Q100,25,0.0,0.0,0.0,0.0,1,3,0
v2,Q101,1,0.0,0.0,0.0,0.0,0,8,0
v2,Q101,2,0.0,0.0,0.0,0.0,0,8,0
v2,Q101,3,0.0,0.0,0.0,0.0,0,8,0
v2,Q101,4,0.0,0.0,0.0,0.0,0,8,0
v2,Q101,5,0.0,0.0,0.0,0.0,0,8,0
v2,Q101,6,0.0,0.0,0.0,0.0,0,8,0
v2,Q101,7,0.0,0.0,0.0,0.0,0,8,0
v2,Q101,8,0.0,0.0,0.0,0.0,0,8,0
v2,Q101,9,0.0,0.0,0.0,0.0,0,8,0
v2,Q101,10,0.0,0.0,0.0,0.0,0,8,0
v2,Q101,11,0.0,0.0,0.0,0.0,0,8,0
v2,Q101,12,0.0,0.0,0.0,0.0,0,8,0
v2,Q101,13,0.0,0.0,0.0,0.0,0,8,0
v2,Q101,14,0.0,0.0,0.0,0.0,0,8,0
v2,Q101,15,0.0,0.0,0.0,0.0,0,8,0
v2,Q101,16,0.0,0.0,0.0,0.0,0,8,0
v2,Q101,17,0.0,0.0,0.0,0.0,0,8,0
