prompt_version,question_id,n_runs,mean_edges,median_edges,min_edges,max_edges,zero_edge_rate
v3,Q1,25,0.2,0.0,0,1,0.8
v3,Q10,25,0.0,0.0,0,0,1.0
v3,Q100,25,0.76,1.0,0,1,0.24
v3,Q101,25,0.0,0.0,0,0,1.0
v3,Q102,25,0.36,0.0,0,1,0.64
v3,Q103,25,0.0,0.0,0,0,1.0
v3,Q104,25,0.96,1.0,0,1,0.04
v3,Q105,25,0.64,1.0,0,1,0.36
v3,Q106,25,0.0,0.0,0,0,1.0
v3,Q107,25,0.52,1.0,0,1,0.48
v3,Q108,25,0.24,0.0,0,1,0.76
v3,Q109,25,0.08,0.0,0,1,0.92
v3,Q11,25,0.0,0.0,0,0,1.0
v3,Q110,25,0.6,1.0,0,1,0.4
v3,Q111,25,0.68,1.0,0,1,0.32
v3,Q112,25,0.0,0.0,0,0,1.0
v3,Q113,25,0.16,0.0,0,1,0.84
v3,Q114,25,0.48,0.0,0,1,0.52
v3,Q115,25,0.08,0.0,0,1,0.92
v3,Q116,25,0.36,0.0,0,1,0.64
v3,Q117,25,0.04,0.0,0,1,0.96
v3,Q118,25,0.44,0.0,0,1,0.56
v3,Q119,25,0.36,0.0,0,1,0.64
v3,Q12,25,0.0,0.0,0,0,1.0
v3,Q120,25,0.24,0.0,0,1,0.76
v3,Q121,25,0.0,0.0,0,0,1.0
v3,Q122,25,0.0,0.0,0,0,1.0
v3,Q123,25,0.08,0.0,0,1,0.92
v3,Q124,25,0.32,0.0,0,1,0.68
v3,Q125,25,0.04,0.0,0,1,0.96
v3,Q126,25,0.04,0.0,0,1,0.96
v3,Q127,25,0.08,0.0,0,1,0.92
v3,Q128,25,0.44,0.0,0,1,0.56
v3,Q129,25,0.32,0.0,0,2,0.72
v3,Q13,25,0.0,0.0,0,0,1.0
v3,Q130,25,0.08,0.0,0,1,0.92
v3,Q131,25,0.04,0.0,0,1,0.96
v3,Q132,25,0.64,1.0,0,1,0.36
v3,Q133,25,0.04,0.0,0,1,0.96
v3,Q134,25,0.76,1.0,0,1,0.24
v3,Q135,25,0.0,0.0,0,0,1.0
v3,Q136,25,0.04,0.0,0,1,0.96
v3,Q137,25,0.2,0.0,0,1,0.8
v3,Q138,25,0.0,0.0,0,0,1.0
v3,Q139,25,0.28,0.0,0,1,0.72
v3,Q14,25,0.0,0.0,0,0,1.0
v3,Q140,25,1.0,1.0,1,1,0.0
v3,Q141,25,0.0,0.0,0,0,1.0
v3,Q142,25,0.0,0.0,0,0,1.0
v3,Q143,25,0.0,0.0,0,0,1.0
v3,Q144,25,0.4,0.0,0,2,0.64
v3,Q145,25,0.64,1.0,0,1,0.36
