question_id	query_edge_key	edge_id	subject	predicate	object	subject_label	object_label	provenance
Q301	e0	e_1	MONDO:0005180	biolink:regulates	NCBIGene:6622	Parkinson disease	SNCA	infores:hetionet(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_2	MONDO:0005180	biolink:related_to	NCBIGene:6622	Parkinson disease	SNCA	infores:hetionet(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	uuid:0ec43a68-198e-11f0-be82-6045bdb3d4c0	NCBIGene:6622	biolink:causes	MONDO:0008200	SNCA	autosomal dominant Parkinson disease 1	infores:omim(primary_knowledge_source);infores:monarchinitiative(aggregator_knowledge_source);infores:medgen(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	uuid:0ea2ed68-198e-11f0-be82-6045bdb3d4c0	NCBIGene:6622	biolink:causes	MONDO:0011562	SNCA	autosomal dominant Parkinson disease 4	infores:omim(primary_knowledge_source);infores:monarchinitiative(aggregator_knowledge_source);infores:medgen(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_5	NCBIGene:6622	biolink:genetically_associated_with	MONDO:0008199	SNCA	late-onset Parkinson disease	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_6	NCBIGene:6622	biolink:genetically_associated_with	MONDO:0000828	SNCA	juvenile-onset Parkinson disease	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_7	NCBIGene:6622	biolink:genetically_associated_with	MONDO:0005180	SNCA	Parkinson disease	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_8	NCBIGene:6622	biolink:genetically_associated_with	MONDO:0008200	SNCA	autosomal dominant Parkinson disease 1	infores:ctd(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_9	NCBIGene:6622	biolink:genetically_associated_with	MONDO:0011562	SNCA	autosomal dominant Parkinson disease 4	infores:monarchinitiative(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_10	NCBIGene:6622	biolink:genetically_associated_with	MONDO:0011562	SNCA	autosomal dominant Parkinson disease 4	infores:uniprot(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_11	NCBIGene:6622	biolink:genetically_associated_with	MONDO:0008200	SNCA	autosomal dominant Parkinson disease 1	infores:monarchinitiative(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_12	NCBIGene:6622	biolink:genetically_associated_with	MONDO:0011562	SNCA	autosomal dominant Parkinson disease 4	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_13	NCBIGene:6622	biolink:genetically_associated_with	MONDO:0005180	SNCA	Parkinson disease	infores:ctd(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_14	NCBIGene:6622	biolink:genetically_associated_with	MONDO:0008200	SNCA	autosomal dominant Parkinson disease 1	infores:uniprot(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_15	NCBIGene:6622	biolink:genetically_associated_with	MONDO:0011562	SNCA	autosomal dominant Parkinson disease 4	infores:ctd(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_16	NCBIGene:6622	biolink:genetically_associated_with	MONDO:0009830	SNCA	parkinsonian-pyramidal syndrome	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_17	NCBIGene:6622	biolink:genetically_associated_with	MONDO:0005180	SNCA	Parkinson disease	infores:monarchinitiative(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_18	NCBIGene:6622	biolink:genetically_associated_with	MONDO:0008200	SNCA	autosomal dominant Parkinson disease 1	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_19	NCBIGene:6622	biolink:genetically_associated_with	MONDO:0017279	SNCA	young-onset Parkinson disease	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_20	NCBIGene:6622	biolink:genetically_associated_with	MONDO:0008199	SNCA	late-onset Parkinson disease	infores:monarchinitiative(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_21	NCBIGene:6622	biolink:genetically_associated_with	MONDO:0005180	SNCA	Parkinson disease	infores:diseases(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_22	NCBIGene:6622	biolink:genetically_associated_with	MONDO:0009830	SNCA	parkinsonian-pyramidal syndrome	infores:monarchinitiative(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_23	NCBIGene:6622	biolink:genetically_associated_with	MONDO:0010820	SNCA	autosomal recessive juvenile Parkinson disease 2	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_24	NCBIGene:6622	biolink:gene_associated_with_condition	MONDO:0011562	SNCA	autosomal dominant Parkinson disease 4	infores:ubergraph(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_25	NCBIGene:6622	biolink:gene_associated_with_condition	MONDO:0008200	SNCA	autosomal dominant Parkinson disease 1	infores:ubergraph(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_26	NCBIGene:6622	biolink:target_for	MONDO:0005180	SNCA	Parkinson disease	infores:drugcentral(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_27	MONDO:0008200	biolink:subclass_of	MONDO:0005180	autosomal dominant Parkinson disease 1	Parkinson disease	infores:ubergraph(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_28	MONDO:0011562	biolink:subclass_of	MONDO:0005180	autosomal dominant Parkinson disease 4	Parkinson disease	infores:ubergraph(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_29	MONDO:0008199	biolink:subclass_of	MONDO:0005180	late-onset Parkinson disease	Parkinson disease	infores:ubergraph(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_30	MONDO:0000828	biolink:subclass_of	MONDO:0005180	juvenile-onset Parkinson disease	Parkinson disease	infores:ubergraph(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_31	MONDO:0009830	biolink:subclass_of	MONDO:0005180	parkinsonian-pyramidal syndrome	Parkinson disease	infores:ubergraph(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_32	MONDO:0017279	biolink:subclass_of	MONDO:0005180	young-onset Parkinson disease	Parkinson disease	infores:ubergraph(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	e_33	MONDO:0010820	biolink:subclass_of	MONDO:0005180	autosomal recessive juvenile Parkinson disease 2	Parkinson disease	infores:ubergraph(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q301	e0	uuid:0ec43a68-198e-11f0-be82-6045bdb3d4c0_e_27	MONDO:0005180	biolink:causes	MONDO:0008200	Parkinson disease	autosomal dominant Parkinson disease 1	infores:automat-robokop(primary_knowledge_source)
Q301	e0	uuid:0ea2ed68-198e-11f0-be82-6045bdb3d4c0_e_28	MONDO:0005180	biolink:causes	MONDO:0011562	Parkinson disease	autosomal dominant Parkinson disease 4	infores:automat-robokop(primary_knowledge_source)
Q301	e0	e_5_e_29	MONDO:0005180	biolink:genetically_associated_with	MONDO:0008199	Parkinson disease	late-onset Parkinson disease	infores:automat-robokop(primary_knowledge_source)
Q301	e0	e_6_e_30	MONDO:0005180	biolink:genetically_associated_with	MONDO:0000828	Parkinson disease	juvenile-onset Parkinson disease	infores:automat-robokop(primary_knowledge_source)
Q301	e0	e_8_e_27	MONDO:0005180	biolink:genetically_associated_with	MONDO:0008200	Parkinson disease	autosomal dominant Parkinson disease 1	infores:automat-robokop(primary_knowledge_source)
Q301	e0	e_9_e_28	MONDO:0005180	biolink:genetically_associated_with	MONDO:0011562	Parkinson disease	autosomal dominant Parkinson disease 4	infores:automat-robokop(primary_knowledge_source)
Q301	e0	e_10_e_28	MONDO:0005180	biolink:genetically_associated_with	MONDO:0011562	Parkinson disease	autosomal dominant Parkinson disease 4	infores:automat-robokop(primary_knowledge_source)
Q301	e0	e_11_e_27	MONDO:0005180	biolink:genetically_associated_with	MONDO:0008200	Parkinson disease	autosomal dominant Parkinson disease 1	infores:automat-robokop(primary_knowledge_source)
Q301	e0	e_12_e_28	MONDO:0005180	biolink:genetically_associated_with	MONDO:0011562	Parkinson disease	autosomal dominant Parkinson disease 4	infores:automat-robokop(primary_knowledge_source)
Q301	e0	e_14_e_27	MONDO:0005180	biolink:genetically_associated_with	MONDO:0008200	Parkinson disease	autosomal dominant Parkinson disease 1	infores:automat-robokop(primary_knowledge_source)
Q301	e0	e_15_e_28	MONDO:0005180	biolink:genetically_associated_with	MONDO:0011562	Parkinson disease	autosomal dominant Parkinson disease 4	infores:automat-robokop(primary_knowledge_source)
Q301	e0	e_16_e_31	MONDO:0005180	biolink:genetically_associated_with	MONDO:0009830	Parkinson disease	parkinsonian-pyramidal syndrome	infores:automat-robokop(primary_knowledge_source)
Q301	e0	e_18_e_27	MONDO:0005180	biolink:genetically_associated_with	MONDO:0008200	Parkinson disease	autosomal dominant Parkinson disease 1	infores:automat-robokop(primary_knowledge_source)
Q301	e0	e_19_e_32	MONDO:0005180	biolink:genetically_associated_with	MONDO:0017279	Parkinson disease	young-onset Parkinson disease	infores:automat-robokop(primary_knowledge_source)
Q301	e0	e_20_e_29	MONDO:0005180	biolink:genetically_associated_with	MONDO:0008199	Parkinson disease	late-onset Parkinson disease	infores:automat-robokop(primary_knowledge_source)
Q301	e0	e_22_e_31	MONDO:0005180	biolink:genetically_associated_with	MONDO:0009830	Parkinson disease	parkinsonian-pyramidal syndrome	infores:automat-robokop(primary_knowledge_source)
Q301	e0	e_23_e_33	MONDO:0005180	biolink:genetically_associated_with	MONDO:0010820	Parkinson disease	autosomal recessive juvenile Parkinson disease 2	infores:automat-robokop(primary_knowledge_source)
Q301	e0	e_24_e_28	MONDO:0005180	biolink:gene_associated_with_condition	MONDO:0011562	Parkinson disease	autosomal dominant Parkinson disease 4	infores:automat-robokop(primary_knowledge_source)
Q301	e0	e_25_e_27	MONDO:0005180	biolink:gene_associated_with_condition	MONDO:0008200	Parkinson disease	autosomal dominant Parkinson disease 1	infores:automat-robokop(primary_knowledge_source)
Q302	e0	e_1	MONDO:0005180	biolink:related_to	NCBIGene:5071	Parkinson disease	PRKN	infores:hetionet(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q302	e0	uuid:0eae13db-198e-11f0-be82-6045bdb3d4c0	NCBIGene:5071	biolink:causes	MONDO:0010820	PRKN	autosomal recessive juvenile Parkinson disease 2	infores:omim(primary_knowledge_source);infores:monarchinitiative(aggregator_knowledge_source);infores:medgen(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q302	e0	e_3	NCBIGene:5071	biolink:genetically_associated_with	MONDO:0010820	PRKN	autosomal recessive juvenile Parkinson disease 2	infores:monarchinitiative(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q302	e0	e_4	NCBIGene:5071	biolink:genetically_associated_with	MONDO:0005180	PRKN	Parkinson disease	infores:diseases(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q302	e0	e_5	NCBIGene:5071	biolink:genetically_associated_with	MONDO:0005180	PRKN	Parkinson disease	infores:monarchinitiative(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q302	e0	e_6	NCBIGene:5071	biolink:genetically_associated_with	MONDO:0008199	PRKN	late-onset Parkinson disease	infores:uniprot(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q302	e0	e_7	NCBIGene:5071	biolink:genetically_associated_with	MONDO:0005180	PRKN	Parkinson disease	infores:ctd(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q302	e0	e_8	NCBIGene:5071	biolink:genetically_associated_with	MONDO:0008199	PRKN	late-onset Parkinson disease	infores:monarchinitiative(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q302	e0	e_9	NCBIGene:5071	biolink:genetically_associated_with	MONDO:0008199	PRKN	late-onset Parkinson disease	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q302	e0	e_10	NCBIGene:5071	biolink:genetically_associated_with	MONDO:0017279	PRKN	young-onset Parkinson disease	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q302	e0	e_11	NCBIGene:5071	biolink:genetically_associated_with	MONDO:0010820	PRKN	autosomal recessive juvenile Parkinson disease 2	infores:uniprot(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q302	e0	e_12	NCBIGene:5071	biolink:genetically_associated_with	MONDO:0000828	PRKN	juvenile-onset Parkinson disease	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q302	e0	e_13	NCBIGene:5071	biolink:genetically_associated_with	MONDO:0005180	PRKN	Parkinson disease	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q302	e0	e_14	NCBIGene:5071	biolink:genetically_associated_with	MONDO:0010820	PRKN	autosomal recessive juvenile Parkinson disease 2	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q302	e0	e_15	NCBIGene:5071	biolink:gene_associated_with_condition	MONDO:0010820	PRKN	autosomal recessive juvenile Parkinson disease 2	infores:ubergraph(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q302	e0	e_16	MONDO:0010820	biolink:subclass_of	MONDO:0005180	autosomal recessive juvenile Parkinson disease 2	Parkinson disease	infores:ubergraph(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q302	e0	e_17	MONDO:0008199	biolink:subclass_of	MONDO:0005180	late-onset Parkinson disease	Parkinson disease	infores:ubergraph(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q302	e0	e_18	MONDO:0017279	biolink:subclass_of	MONDO:0005180	young-onset Parkinson disease	Parkinson disease	infores:ubergraph(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q302	e0	e_19	MONDO:0000828	biolink:subclass_of	MONDO:0005180	juvenile-onset Parkinson disease	Parkinson disease	infores:ubergraph(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q302	e0	uuid:0eae13db-198e-11f0-be82-6045bdb3d4c0_e_16	MONDO:0005180	biolink:causes	MONDO:0010820	Parkinson disease	autosomal recessive juvenile Parkinson disease 2	infores:automat-robokop(primary_knowledge_source)
Q302	e0	e_3_e_16	MONDO:0005180	biolink:genetically_associated_with	MONDO:0010820	Parkinson disease	autosomal recessive juvenile Parkinson disease 2	infores:automat-robokop(primary_knowledge_source)
Q302	e0	e_6_e_17	MONDO:0005180	biolink:genetically_associated_with	MONDO:0008199	Parkinson disease	late-onset Parkinson disease	infores:automat-robokop(primary_knowledge_source)
Q302	e0	e_8_e_17	MONDO:0005180	biolink:genetically_associated_with	MONDO:0008199	Parkinson disease	late-onset Parkinson disease	infores:automat-robokop(primary_knowledge_source)
