edge	count_before_dedup	count_after_exact_dedup	rows_removed
NCBIGene:6934 | biolink:genetically_associated_with | MONDO:0005148	6	1	5
CHEBI:3766 | biolink:affects | NCBIGene:1813	5	1	4
CHEBI:44185 | biolink:affects | NCBIGene:7124	5	1	4
NCBIGene:6517 | biolink:genetically_associated_with | MONDO:0005148	5	1	4
MONDO:0024327 | biolink:subclass_of | MONDO:0005300	5	5	0
CHEBI:41774 | biolink:affects | NCBIGene:7157	4	1	3
CHEBI:41879 | biolink:affects | NCBIGene:7157	4	1	3
NCBIGene:3630 | biolink:genetically_associated_with | MONDO:0005148	4	1	3
NCBIGene:3952 | biolink:genetically_associated_with | MONDO:0005148	4	1	3
NCBIGene:6775 | biolink:genetically_associated_with | MONDO:0007915	4	1	3
NCBIGene:79068 | biolink:genetically_associated_with | MONDO:0005148	4	1	3
CHEBI:27899 | biolink:affects | NCBIGene:3569	3	1	2
CHEBI:41879 | biolink:affects | NCBIGene:1636	3	1	2
CHEBI:6801 | biolink:affects | NCBIGene:3630	3	1	2
NCBIGene:1813 | biolink:genetically_associated_with | MONDO:0005090	3	1	2
NCBIGene:3117 | biolink:genetically_associated_with | MONDO:0005130	3	1	2
NCBIGene:3119 | biolink:genetically_associated_with | MONDO:0005147	3	1	2
NCBIGene:3123 | biolink:genetically_associated_with | MONDO:0005301	3	1	2
NCBIGene:3553 | biolink:genetically_associated_with | MONDO:0008383	3	1	2
NCBIGene:3559 | biolink:genetically_associated_with | MONDO:0005301	3	1	2
NCBIGene:3565 | biolink:genetically_associated_with | MONDO:0004979	3	1	2
NCBIGene:3596 | biolink:genetically_associated_with | MONDO:0004979	3	1	2
NCBIGene:3663 | biolink:genetically_associated_with | MONDO:0007915	3	1	2
NCBIGene:5562 | biolink:affects | NCBIGene:2475	3	1	2
NCBIGene:5594 | biolink:affects | NCBIGene:673	3	1	2
NCBIGene:7124 | biolink:genetically_associated_with | MONDO:0004975	3	1	2
NCBIGene:7124 | biolink:genetically_associated_with | MONDO:0005083	3	1	2
NCBIGene:7157 | biolink:genetically_associated_with | MONDO:0005233	3	1	2
NCBIGene:7422 | biolink:genetically_associated_with | MONDO:0008383	3	1	2
NCBIGene:775 | biolink:genetically_associated_with | MONDO:0004985	3	1	2
CHEBI:10033 | biolink:affects | NCBIGene:3569	2	1	1
CHEBI:15365 | biolink:affects | NCBIGene:348	2	1	1
CHEBI:15365 | biolink:affects | NCBIGene:3569	2	1	1
CHEBI:15365 | biolink:affects | NCBIGene:7157	2	1	1
CHEBI:15365 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0005180	2	1	1
CHEBI:16714 | biolink:affects | NCBIGene:1565	2	1	1
CHEBI:3756 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0005180	2	1	1
CHEBI:41879 | biolink:affects | NCBIGene:7422	2	1	1
CHEBI:45783 | biolink:affects | NCBIGene:613	2	1	1
CHEBI:49668 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0005061	2	1	1
CHEBI:5855 | biolink:affects | NCBIGene:348	2	1	1
CHEBI:5855 | biolink:affects | NCBIGene:7422	2	1	1
CHEBI:5855 | biolink:contributes_to | MONDO:0004979	2	1	1
CHEBI:5855 | biolink:contributes_to | MONDO:0005300	2	1	1
CHEBI:6801 | biolink:affects | NCBIGene:672	2	1	1
CHEBI:6801 | biolink:treats | MONDO:0005148	2	1	1
CHEBI:6801 | biolink:treats_or_applied_or_studied_to_treat | MONDO:0005148	2	1	1
MONDO:0000001 | biolink:regulates | NCBIGene:1025	2	1	1
MONDO:0005083 | biolink:genetically_associated_with | MONDO:0015597	2	1	1
MONDO:0005233 | biolink:has_phenotype | MONDO:0005061	2	1	1
MONDO:0005300 | biolink:genetically_associated_with | MONDO:0005016	2	1	1
MONDO:0005301 | biolink:target_for | MONDO:0005314	2	1	1
MONDO:0007254 | biolink:genetically_associated_with | MONDO:0004989	2	1	1
NCBIGene:11315 | biolink:affects | NCBIGene:65018	2	1	1
NCBIGene:1268 | biolink:physically_interacts_with | NCBIGene:2775	2	1	1
NCBIGene:1268 | biolink:regulates | NCBIGene:2775	2	1	1
NCBIGene:1636 | biolink:affects | NCBIGene:185	2	1	1
NCBIGene:1813 | biolink:physically_interacts_with | NCBIGene:2771	2	1	1
NCBIGene:1813 | biolink:target_for | MONDO:0005090	2	1	1
NCBIGene:185 | biolink:affects | NCBIGene:1636	2	1	1
NCBIGene:1956 | biolink:genetically_associated_with | MONDO:0005061	2	1	1
NCBIGene:2034 | biolink:affects | NCBIGene:3091	2	1	1
NCBIGene:2247 | biolink:directly_physically_interacts_with | NCBIGene:2260	2	1	1
NCBIGene:2260 | biolink:affects | NCBIGene:2247	2	1	1
NCBIGene:2263 | biolink:affects | NCBIGene:10818	2	1	1
NCBIGene:2308 | biolink:affects | NCBIGene:3643	2	1	1
NCBIGene:238 | biolink:genetically_associated_with | MONDO:0005061	2	1	1
NCBIGene:2645 | biolink:interacts_with | NCBIGene:2538	2	1	1
NCBIGene:2903 | biolink:genetically_associated_with | MONDO:0005090	2	1	1
NCBIGene:3172 | biolink:affects | NCBIGene:6927	2	1	1
NCBIGene:3458 | biolink:affects | NCBIGene:3716	2	1	1
NCBIGene:3559 | biolink:target_for | MONDO:0005314	2	1	1
NCBIGene:3569 | biolink:genetically_associated_with | MONDO:0004989	2	1	1
NCBIGene:3569 | biolink:genetically_associated_with | MONDO:0005010	2	1	1
NCBIGene:3569 | biolink:genetically_associated_with | MONDO:0007254	2	1	1
NCBIGene:3572 | biolink:affects | NCBIGene:6774	2	1	1
NCBIGene:367 | biolink:interacts_with | NCBIGene:23028	2	1	1
NCBIGene:3757 | biolink:interacts_with | NCBIGene:783	2	1	1
