question_id	subject_text	subject_curie	subject_label	object_text	object_curie	object_label	notes
Q201	Chronic pancreatitis	MONDO:0005262	chronic pancreatitis	PRSS1	NCBIGene:5644	PRSS1	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q202	Acute pancreatitis	MONDO:0005261	acute pancreatitis	SPINK1	NCBIGene:6690	SPINK1	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q203	Irritable bowel syndrome	MONDO:0005266	irritable bowel syndrome	SLC6A4	NCBIGene:6532	SLC6A4	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q204	Gastroesophageal reflux disease	MONDO:0005019	GERD	IL1B	NCBIGene:3553	IL1B	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=1
Q205	Peptic ulcer disease	MONDO:0005113	peptic ulcer disease	PTGS2	NCBIGene:5743	PTGS2	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q206	Chronic obstructive pulmonary disease	MONDO:0005002	COPD	AGER	NCBIGene:177	AGER	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q207	Interstitial lung disease	MONDO:0008327	interstitial lung disease	SFTPC	NCBIGene:6440	SFTPC	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q208	Pulmonary hypertension	MONDO:0005149	pulmonary hypertension	BMPR2	NCBIGene:659	BMPR2	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q209	Chronic bronchitis	MONDO:0005138	chronic bronchitis	MUC5AC	NCBIGene:4586	MUC5AC	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q210	Lung fibrosis	MONDO:0008327	pulmonary fibrosis	MUC1	NCBIGene:4582	MUC1	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q211	Age-related macular degeneration	MONDO:0004978	age-related macular degeneration	CFH	NCBIGene:3075	CFH	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q212	Glaucoma	MONDO:0005041	glaucoma	MYOC	NCBIGene:4653	MYOC	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q213	Cataract	MONDO:0005110	cataract	CRYAA	NCBIGene:1411	CRYAA	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q214	Retinitis pigmentosa	MONDO:0005039	retinitis pigmentosa	RHO	NCBIGene:6010	RHO	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
