id	question
Q1	Is Langerhans cell histiocytosis related to neurodegenerative disease?
Q2	Is Langerhans cell histiocytosis related to BRAF mutation?
Q3	Is lung adenocarcinoma related to p53 mutations?
Q4	Is TP53 related to FOXO1 (Homo sapiens)?
Q5	Which genes are related to oxidative phosphorylation?*** too broad
Q6	Is KRAS related to liver cancer?
Q7	Is Langerhans cell histiocytosis related to biological sex? *** no answers
Q8	How is FOXO1 related to BNIP3?
Q9	How is FOXO1 related to SOD2?
Q10	How is FOXO1 related to IGF1?
