question_id	robokop_n_edges	v1_mean_edges	v1_zero_edge_rate	v1_median_edges	v1_max_edges	v2_mean_edges	v2_zero_edge_rate	v2_median_edges	v2_max_edges	v3_mean_edges	v3_zero_edge_rate	v3_median_edges	v3_max_edges	v4_mean_edges	v4_zero_edge_rate	v4_median_edges	v4_max_edges
Q1	2	1.06	0.04	1.0	2	1.0	0.0	1.0	1	0.2	0.8	0.0	1	1.0	0.0	1.0	1
Q10	1	0.0	1.0	0.0	0	0.04	0.96	0.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q100	3	1.02	0.01	1.0	2	1.0	0.0	1.0	1	0.76	0.24	1.0	1	0.28	0.72	0.0	1
Q101	4	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q102	5	1.24	0.0	1.0	4	1.0	0.0	1.0	1	0.36	0.64	0.0	1	0.76	0.24	1.0	1
Q103	4	0.03	0.97	0.0	1	0.28	0.72	0.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q104	3	1.16	0.0	1.0	2	1.0	0.0	1.0	1	0.96	0.04	1.0	1	0.52	0.48	1.0	1
Q105	7	1.16	0.0	1.0	2	1.0	0.0	1.0	1	0.64	0.36	1.0	1	1.0	0.0	1.0	1
Q106	5	1.02	0.02	1.0	2	1.0	0.0	1.0	1	0.0	1.0	0.0	0	0.52	0.48	1.0	1
Q107	3	1.19	0.0	1.0	2	1.0	0.0	1.0	1	0.52	0.48	1.0	1	0.8	0.2	1.0	1
Q108	1	1.05	0.04	1.0	2	0.44	0.56	0.0	1	0.24	0.76	0.0	1	0.08	0.92	0.0	1
Q109	3	1.07	0.0	1.0	2	1.0	0.0	1.0	1	0.08	0.92	0.0	1	0.2	0.8	0.0	1
Q11	2	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q110	0	1.14	0.02	1.0	2	0.96	0.04	1.0	1	0.6	0.4	1.0	1	0.2	0.8	0.0	1
Q111	1	1.14	0.05	1.0	2	1.0	0.0	1.0	1	0.68	0.32	1.0	1	1.0	0.0	1.0	1
Q112	3	1.26	0.0	1.0	3	1.0	0.0	1.0	1	0.0	1.0	0.0	0	0.92	0.08	1.0	1
Q113	4	1.22	0.0	1.0	5	1.0	0.0	1.0	1	0.16	0.84	0.0	1	0.8	0.2	1.0	1
Q114	3	1.17	0.0	1.0	2	1.0	0.0	1.0	1	0.48	0.52	0.0	1	1.0	0.0	1.0	1
Q115	1	1.25	0.0	1.0	2	0.96	0.04	1.0	1	0.08	0.92	0.0	1	0.52	0.48	1.0	1
Q116	4	1.27	0.0	1.0	2	1.0	0.0	1.0	1	0.36	0.64	0.0	1	1.0	0.0	1.0	1
Q117	1	1.1	0.0	1.0	2	1.0	0.0	1.0	1	0.04	0.96	0.0	1	0.56	0.44	1.0	1
Q118	3	1.16	0.0	1.0	2	1.0	0.0	1.0	1	0.44	0.56	0.0	1	0.28	0.72	0.0	1
Q119	3	1.11	0.07	1.0	2	0.92	0.08	1.0	1	0.36	0.64	0.0	1	0.0	1.0	0.0	0
Q12	1	0.05	0.95	0.0	1	0.76	0.24	1.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q120	9	1.03	0.03	1.0	2	1.0	0.0	1.0	1	0.24	0.76	0.0	1	0.68	0.32	1.0	1
Q121	9	0.07	0.93	0.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q122	1	0.31	0.69	0.0	1	0.44	0.56	0.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q123	1	0.74	0.28	1.0	2	0.96	0.04	1.0	1	0.08	0.92	0.0	1	1.0	0.0	1.0	1
Q124	1	1.17	0.0	1.0	2	1.0	0.0	1.0	1	0.32	0.68	0.0	1	0.28	0.72	0.0	1
Q125	1	1.28	0.01	1.0	4	1.0	0.0	1.0	1	0.04	0.96	0.0	1	0.72	0.28	1.0	1
Q126	1	1.25	0.0	1.0	3	1.0	0.0	1.0	1	0.04	0.96	0.0	1	0.88	0.12	1.0	1
Q127	3	1.25	0.0	1.0	3	1.0	0.0	1.0	1	0.08	0.92	0.0	1	0.96	0.04	1.0	1
Q128	6	1.34	0.02	1.0	3	1.0	0.0	1.0	1	0.44	0.56	0.0	1	0.6	0.4	1.0	1
Q129	4	1.3	0.01	1.0	3	1.0	0.0	1.0	1	0.32	0.72	0.0	2	0.64	0.36	1.0	1
Q13	1	0.0	1.0	0.0	0	0.08	0.92	0.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q130	4	1.25	0.0	1.0	2	1.0	0.0	1.0	1	0.08	0.92	0.0	1	0.28	0.72	0.0	1
Q131	1	1.26	0.1	1.0	3	1.0	0.0	1.0	1	0.04	0.96	0.0	1	0.76	0.24	1.0	1
Q132	3	1.14	0.0	1.0	2	1.0	0.0	1.0	1	0.64	0.36	1.0	1	0.88	0.12	1.0	1
Q133	1	1.09	0.0	1.0	2	0.32	0.68	0.0	1	0.04	0.96	0.0	1	0.88	0.12	1.0	1
Q134	3	1.2	0.0	1.0	3	1.0	0.0	1.0	1	0.76	0.24	1.0	1	0.96	0.04	1.0	1
Q135	5	0.93	0.09	1.0	2	0.48	0.52	0.0	1	0.0	1.0	0.0	0	0.6	0.4	1.0	1
Q136	2	0.82	0.29	1.0	2	1.0	0.0	1.0	1	0.04	0.96	0.0	1	0.64	0.36	1.0	1
Q137	2	1.26	0.0	1.0	2	1.0	0.0	1.0	1	0.2	0.8	0.0	1	1.0	0.0	1.0	1
Q138	2	1.05	0.04	1.0	2	1.0	0.0	1.0	1	0.0	1.0	0.0	0	0.96	0.04	1.0	1
Q139	3	1.22	0.0	1.0	2	1.0	0.0	1.0	1	0.28	0.72	0.0	1	0.96	0.04	1.0	1
Q14	3	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q140	2	1.2	0.0	1.0	2	1.0	0.0	1.0	1	1.0	0.0	1.0	1	1.0	0.0	1.0	1
Q141	4	1.12	0.0	1.0	2	1.0	0.0	1.0	1	0.0	1.0	0.0	0	0.92	0.08	1.0	1
Q142	2	0.21	0.79	0.0	1	0.88	0.12	1.0	1	0.0	1.0	0.0	0	0.04	0.96	0.0	1
Q143	1	1.19	0.0	1.0	2	1.0	0.0	1.0	1	0.0	1.0	0.0	0	1.0	0.0	1.0	1
Q144	2	1.06	0.06	1.0	2	1.0	0.0	1.0	1	0.4	0.64	0.0	2	1.0	0.0	1.0	1
Q145	2	1.11	0.0	1.0	2	1.0	0.0	1.0	1	0.64	0.36	1.0	1	1.0	0.0	1.0	1
Q146	2	1.16	0.0	1.0	2	1.0	0.0	1.0	1	0.44	0.56	0.0	1	1.0	0.0	1.0	1
Q147	3	0.04	0.98	0.0	3	0.68	0.32	1.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q148	1	0.07	0.94	0.0	2	0.96	0.04	1.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q149	2	0.0	1.0	0.0	0	0.36	0.64	0.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q15	2	1.23	0.0	1.0	2	1.0	0.0	1.0	1	0.84	0.16	1.0	1	1.0	0.0	1.0	1
Q150	5	0.01	0.99	0.0	1	0.8	0.2	1.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q151	1	0.0	1.0	0.0	0	0.16	0.84	0.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q152	2	0.03	0.97	0.0	1	0.88	0.12	1.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q153	6	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q154	5	1.07	0.02	1.0	2	1.0	0.0	1.0	1	0.24	0.76	0.0	1	1.0	0.0	1.0	1
Q155	4	1.46	0.0	1.0	3	1.0	0.0	1.0	1	0.28	0.72	0.0	1	0.0	1.0	0.0	0
Q156	5	0.91	0.11	1.0	2	1.0	0.0	1.0	1	0.48	0.52	0.0	1	1.0	0.0	1.0	1
Q157	4	1.19	0.0	1.0	3	1.0	0.0	1.0	1	0.28	0.72	0.0	1	1.0	0.0	1.0	1
Q158	4	1.18	0.0	1.0	2	1.0	0.0	1.0	1	0.32	0.68	0.0	1	1.0	0.0	1.0	1
Q159	1	1.01	0.07	1.0	3	1.0	0.0	1.0	1	0.0	1.0	0.0	0	0.6	0.4	1.0	1
Q16	1	0.35	0.67	0.0	2	1.0	0.0	1.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q160	3	0.93	0.11	1.0	2	0.96	0.04	1.0	1	0.04	0.96	0.0	1	0.88	0.12	1.0	1
Q161	3	0.9	0.18	1.0	3	0.64	0.36	1.0	1	0.0	1.0	0.0	0	0.08	0.92	0.0	1
Q162	6	1.12	0.03	1.0	2	1.0	0.0	1.0	1	0.2	0.8	0.0	1	0.44	0.56	0.0	1
Q163	3	1.34	0.0	1.0	3	1.0	0.0	1.0	1	0.28	0.72	0.0	1	0.28	0.72	0.0	1
Q17	1	0.1	0.9	0.0	1	1.0	0.0	1.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q18	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0	0.0	1.0	0.0	0
Q19	1	0.01	0.99	0.0	1	0.04	0.96	0.0	1	0.0	1.0	0.0	0	0.0	1.0	0.0	0
