prompt_version,question_id,n_runs,mean_precision,mean_recall,mean_jaccard,mean_f1,mean_pred_n,gold_n
v2,Q1,25,0.0,0.0,0.0,0.0,1.0,2
v2,Q10,25,0.0,0.0,0.0,0.0,0.04,1
v2,Q100,25,0.24,0.12,0.12,0.16,1.0,2
v2,Q101,25,0.0,0.0,0.0,0.0,0.0,6
v2,Q102,25,0.16,0.05333333333333333,0.05333333333333333,0.08,1.0,3
v2,Q103,25,0.24,0.04,0.04,0.06857142857142856,0.28,6
v2,Q104,25,0.8,0.16,0.16,0.2666666666666667,1.0,5
v2,Q105,25,0.56,0.11200000000000002,0.11200000000000002,0.18666666666666668,1.0,5
v2,Q106,25,0.48,0.06857142857142856,0.06857142857142856,0.12,1.0,7
v2,Q107,25,0.68,0.11333333333333333,0.11333333333333333,0.19428571428571428,1.0,6
v2,Q108,25,0.32,0.08,0.08,0.128,0.44,4
v2,Q109,25,0.2,0.04,0.04,0.06666666666666668,1.0,5
v2,Q11,25,0.0,0.0,0.0,0.0,0.0,5
v2,Q110,25,0.0,0.0,0.0,0.0,0.96,3
v2,Q111,25,0.0,0.0,0.0,0.0,1.0,1
v2,Q112,25,0.64,0.10666666666666666,0.10666666666666666,0.18285714285714286,1.0,6
v2,Q113,25,0.44,0.07333333333333333,0.07333333333333333,0.12571428571428572,1.0,6
v2,Q114,25,0.52,0.10400000000000001,0.10400000000000001,0.17333333333333337,1.0,5
v2,Q115,25,0.44,0.11,0.11,0.17600000000000002,0.96,4
v2,Q116,25,0.04,0.005714285714285714,0.005714285714285714,0.01,1.0,7
v2,Q117,25,0.24,0.06,0.06,0.09600000000000002,1.0,4
v2,Q118,25,0.0,0.0,0.0,0.0,1.0,2
v2,Q119,25,0.36,0.07200000000000001,0.07200000000000001,0.12000000000000002,0.92,5
v2,Q12,25,0.0,0.0,0.0,0.0,0.76,1
v2,Q120,25,1.0,0.16666666666666663,0.16666666666666663,0.2857142857142857,1.0,6
v2,Q121,25,0.0,0.0,0.0,0.0,0.0,5
