question_id	query_edge_key	edge_id	subject	predicate	object	subject_label	object_label	provenance	key_exact
Q101	e0	e_3	NCBIGene:11315	biolink:affects	NCBIGene:65018	PARK7	PINK1	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q101||NCBIGene:11315||biolink:affects||NCBIGene:65018
Q101	e0	e_4	NCBIGene:11315	biolink:affects	NCBIGene:65018	PARK7	PINK1	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q101||NCBIGene:11315||biolink:affects||NCBIGene:65018
Q101	e0	e_1	NCBIGene:65018	biolink:affects	NCBIGene:11315	PINK1	PARK7	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q101||NCBIGene:65018||biolink:affects||NCBIGene:11315
Q101	e0	e_2	NCBIGene:65018	biolink:affects	NCBIGene:11315	PINK1	PARK7	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q101||NCBIGene:65018||biolink:affects||NCBIGene:11315
Q102	e0	e_4	NCBIGene:2247	biolink:directly_physically_interacts_with	NCBIGene:2260	FGF2	FGFR1	infores:intact(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q102||NCBIGene:2247||biolink:directly_physically_interacts_with||NCBIGene:2260
Q102	e0	e_5	NCBIGene:2247	biolink:directly_physically_interacts_with	NCBIGene:2260	FGF2	FGFR1	infores:ccidb(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q102||NCBIGene:2247||biolink:directly_physically_interacts_with||NCBIGene:2260
Q102	e0	e_2	NCBIGene:2260	biolink:affects	NCBIGene:2247	FGFR1	FGF2	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q102||NCBIGene:2260||biolink:affects||NCBIGene:2247
Q102	e0	e_3	NCBIGene:2260	biolink:affects	NCBIGene:2247	FGFR1	FGF2	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q102||NCBIGene:2260||biolink:affects||NCBIGene:2247
Q103	e0	e_4_e_6_e_7	NCBIGene:367	biolink:interacts_with	NCBIGene:23028	AR	KDM1A	infores:automat-robokop(primary_knowledge_source)	Q103||NCBIGene:367||biolink:interacts_with||NCBIGene:23028
Q103	e0	e_5_e_6_e_7	NCBIGene:367	biolink:interacts_with	NCBIGene:23028	AR	KDM1A	infores:automat-robokop(primary_knowledge_source)	Q103||NCBIGene:367||biolink:interacts_with||NCBIGene:23028
Q104	e0	e_2	NCBIGene:2034	biolink:affects	NCBIGene:3091	EPAS1	HIF1A	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q104||NCBIGene:2034||biolink:affects||NCBIGene:3091
Q104	e0	e_3	NCBIGene:2034	biolink:affects	NCBIGene:3091	EPAS1	HIF1A	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q104||NCBIGene:2034||biolink:affects||NCBIGene:3091
Q105	e0	e_3	NCBIGene:4615	biolink:affects	NCBIGene:7099	MYD88	TLR4	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q105||NCBIGene:4615||biolink:affects||NCBIGene:7099
Q105	e0	e_4	NCBIGene:4615	biolink:affects	NCBIGene:7099	MYD88	TLR4	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q105||NCBIGene:4615||biolink:affects||NCBIGene:7099
Q105	e0	e_1	NCBIGene:7099	biolink:affects	NCBIGene:4615	TLR4	MYD88	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q105||NCBIGene:7099||biolink:affects||NCBIGene:4615
Q105	e0	e_2	NCBIGene:7099	biolink:affects	NCBIGene:4615	TLR4	MYD88	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q105||NCBIGene:7099||biolink:affects||NCBIGene:4615
Q107	e0	e_1	NCBIGene:5562	biolink:affects	NCBIGene:2475	PRKAA1	MTOR	infores:iptmnet(primary_knowledge_source);infores:kinace(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q107||NCBIGene:5562||biolink:affects||NCBIGene:2475
Q107	e0	e_2	NCBIGene:5562	biolink:affects	NCBIGene:2475	PRKAA1	MTOR	infores:text-mining-provider-targeted(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)	Q107||NCBIGene:5562||biolink:affects||NCBIGene:2475
