predicate,count,fraction
biolink:affects,145,0.193850
biolink:genetically_associated_with,123,0.164439
biolink:interacts_with,116,0.155080
biolink:subclass_of,80,0.106952
biolink:treats_or_applied_or_studied_to_treat,57,0.076203
biolink:related_to,52,0.069519
biolink:physically_interacts_with,40,0.053476
biolink:regulates,25,0.033422
biolink:directly_physically_interacts_with,25,0.033422
biolink:genetically_interacts_with,18,0.024064
biolink:has_phenotype,15,0.020053
biolink:has_adverse_event,13,0.017380
biolink:contributes_to,13,0.017380
biolink:target_for,11,0.014706
biolink:affects_response_to,5,0.006684
biolink:causes,3,0.004011
biolink:decreases_response_to,2,0.002674
biolink:contraindicated_in,2,0.002674
biolink:treats,2,0.002674
biolink:ameliorates_condition,1,0.001337
