predicate,count,fraction
biolink:gene_associated_with_condition,4506,0.408856
biolink:interacts_with,3869,0.351057
biolink:physically_interacts_with,864,0.078396
biolink:genetically_associated_with,699,0.063424
biolink:directly_physically_interacts_with,357,0.032393
biolink:related_to,279,0.025315
biolink:genetically_interacts_with,109,0.009890
biolink:disease_has_basis_in,100,0.009074
biolink:target_for,56,0.005081
biolink:regulates,51,0.004628
biolink:associated_with,49,0.004446
biolink:predisposes_to_condition,22,0.001996
biolink:treats,22,0.001996
biolink:treats_or_applied_or_studied_to_treat,13,0.001180
biolink:affects,12,0.001089
biolink:homologous_to,5,0.000454
biolink:coexpressed_with,4,0.000363
biolink:contraindicated_in,2,0.000181
biolink:has_adverse_event,1,0.000091
biolink:affects_response_to,1,0.000091
