question_id	query_edge_key	edge_id	subject	predicate	object	subject_label	object_label	provenance
Q205	e0	e_1	NCBIGene:5743	biolink:target_for	MONDO:0006052	PTGS2	pulmonary tuberculosis	infores:drugcentral(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q205	e0	e_2	MONDO:0006052	biolink:subclass_of	MONDO:0005113	pulmonary tuberculosis	bacterial infectious disease	infores:ubergraph(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q205	e0	e_1_e_2	MONDO:0005113	biolink:target_for	MONDO:0006052	bacterial infectious disease	pulmonary tuberculosis	infores:automat-robokop(primary_knowledge_source)
Q208	e0	uuid:0ea2ee5e-198e-11f0-be82-6045bdb3d4c0	NCBIGene:659	biolink:causes	MONDO:0024533	BMPR2	pulmonary hypertension, primary, 1	infores:omim(primary_knowledge_source);infores:monarchinitiative(aggregator_knowledge_source);infores:medgen(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q208	e0	uuid:153042da-198e-11f0-be82-6045bdb3d4c0	NCBIGene:659	biolink:has_phenotype	MONDO:0005149	BMPR2	pulmonary hypertension	infores:hpo-annotations(primary_knowledge_source);infores:monarchinitiative(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q208	e0	uuid:1b2629df-198e-11f0-be82-6045bdb3d4c0	NCBIGene:659	biolink:has_phenotype	MONDO:0005149	BMPR2	pulmonary hypertension	infores:hpo-annotations(primary_knowledge_source);infores:monarchinitiative(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q208	e0	e_4	NCBIGene:659	biolink:genetically_associated_with	MONDO:0005149	BMPR2	pulmonary hypertension	infores:ctd(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q208	e0	e_5	NCBIGene:659	biolink:genetically_associated_with	MONDO:0005149	BMPR2	pulmonary hypertension	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q208	e0	e_6	NCBIGene:659	biolink:genetically_associated_with	MONDO:0017148	BMPR2	heritable pulmonary arterial hypertension	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q208	e0	e_7	NCBIGene:659	biolink:genetically_associated_with	MONDO:0024533	BMPR2	pulmonary hypertension, primary, 1	infores:monarchinitiative(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q208	e0	e_8	NCBIGene:659	biolink:genetically_associated_with	MONDO:0017149	BMPR2	drug- or toxin-induced pulmonary arterial hypertension	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q208	e0	e_9	NCBIGene:659	biolink:genetically_associated_with	MONDO:0017147	BMPR2	idiopathic pulmonary arterial hypertension	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q208	e0	e_10	NCBIGene:659	biolink:genetically_associated_with	MONDO:0024533	BMPR2	pulmonary hypertension, primary, 1	infores:uniprot(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q208	e0	e_11	NCBIGene:659	biolink:genetically_associated_with	MONDO:0024533	BMPR2	pulmonary hypertension, primary, 1	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q208	e0	e_12	NCBIGene:659	biolink:genetically_associated_with	MONDO:0017148	BMPR2	heritable pulmonary arterial hypertension	infores:ctd(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q208	e0	e_13	NCBIGene:659	biolink:gene_associated_with_condition	MONDO:0024533	BMPR2	pulmonary hypertension, primary, 1	infores:ubergraph(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q208	e0	e_14	MONDO:0024533	biolink:subclass_of	MONDO:0005149	pulmonary hypertension, primary, 1	pulmonary hypertension	infores:ubergraph(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q208	e0	e_15	MONDO:0017148	biolink:subclass_of	MONDO:0005149	heritable pulmonary arterial hypertension	pulmonary hypertension	infores:ubergraph(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q208	e0	e_16	MONDO:0017149	biolink:subclass_of	MONDO:0005149	drug- or toxin-induced pulmonary arterial hypertension	pulmonary hypertension	infores:ubergraph(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q208	e0	e_17	MONDO:0017147	biolink:subclass_of	MONDO:0005149	idiopathic pulmonary arterial hypertension	pulmonary hypertension	infores:ubergraph(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q208	e0	uuid:0ea2ee5e-198e-11f0-be82-6045bdb3d4c0_e_14	MONDO:0005149	biolink:causes	MONDO:0024533	pulmonary hypertension	pulmonary hypertension, primary, 1	infores:automat-robokop(primary_knowledge_source)
Q208	e0	e_6_e_15	MONDO:0005149	biolink:genetically_associated_with	MONDO:0017148	pulmonary hypertension	heritable pulmonary arterial hypertension	infores:automat-robokop(primary_knowledge_source)
Q208	e0	e_7_e_14	MONDO:0005149	biolink:genetically_associated_with	MONDO:0024533	pulmonary hypertension	pulmonary hypertension, primary, 1	infores:automat-robokop(primary_knowledge_source)
Q208	e0	e_8_e_16	MONDO:0005149	biolink:genetically_associated_with	MONDO:0017149	pulmonary hypertension	drug- or toxin-induced pulmonary arterial hypertension	infores:automat-robokop(primary_knowledge_source)
Q208	e0	e_9_e_17	MONDO:0005149	biolink:genetically_associated_with	MONDO:0017147	pulmonary hypertension	idiopathic pulmonary arterial hypertension	infores:automat-robokop(primary_knowledge_source)
Q208	e0	e_10_e_14	MONDO:0005149	biolink:genetically_associated_with	MONDO:0024533	pulmonary hypertension	pulmonary hypertension, primary, 1	infores:automat-robokop(primary_knowledge_source)
Q208	e0	e_11_e_14	MONDO:0005149	biolink:genetically_associated_with	MONDO:0024533	pulmonary hypertension	pulmonary hypertension, primary, 1	infores:automat-robokop(primary_knowledge_source)
Q208	e0	e_12_e_15	MONDO:0005149	biolink:genetically_associated_with	MONDO:0017148	pulmonary hypertension	heritable pulmonary arterial hypertension	infores:automat-robokop(primary_knowledge_source)
Q208	e0	e_13_e_14	MONDO:0005149	biolink:gene_associated_with_condition	MONDO:0024533	pulmonary hypertension	pulmonary hypertension, primary, 1	infores:automat-robokop(primary_knowledge_source)
Q212	e0	e_1	MONDO:0005041	biolink:related_to	NCBIGene:4653	glaucoma	MYOC	infores:hetionet(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q212	e0	uuid:0ec43d56-198e-11f0-be82-6045bdb3d4c0	NCBIGene:4653	biolink:causes	MONDO:0007664	MYOC	glaucoma 1, open angle, A	infores:omim(primary_knowledge_source);infores:monarchinitiative(aggregator_knowledge_source);infores:medgen(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q212	e0	uuid:1530585e-198e-11f0-be82-6045bdb3d4c0	NCBIGene:4653	biolink:has_phenotype	MONDO:0100553	MYOC	OPTN-related open angle glaucoma	infores:hpo-annotations(primary_knowledge_source);infores:monarchinitiative(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q212	e0	uuid:1feaf7aa-198e-11f0-be82-6045bdb3d4c0	NCBIGene:4653	biolink:has_phenotype	MONDO:0005041	MYOC	glaucoma	infores:hpo-annotations(primary_knowledge_source);infores:monarchinitiative(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q212	e0	uuid:1d886b1a-198e-11f0-be82-6045bdb3d4c0	NCBIGene:4653	biolink:has_phenotype	MONDO:0009277	MYOC	glaucoma 3A	infores:hpo-annotations(primary_knowledge_source);infores:monarchinitiative(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q212	e0	uuid:1b263752-198e-11f0-be82-6045bdb3d4c0	NCBIGene:4653	biolink:has_phenotype	MONDO:0005041	MYOC	glaucoma	infores:hpo-annotations(primary_knowledge_source);infores:monarchinitiative(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q212	e0	e_7	NCBIGene:4653	biolink:genetically_associated_with	MONDO:0005041	MYOC	glaucoma	infores:diseases(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q212	e0	e_8	NCBIGene:4653	biolink:genetically_associated_with	MONDO:0020366	MYOC	hydrophthalmos	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q212	e0	e_9	NCBIGene:4653	biolink:genetically_associated_with	MONDO:0020367	MYOC	juvenile open angle glaucoma	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q212	e0	e_10	NCBIGene:4653	biolink:genetically_associated_with	MONDO:0005338	MYOC	open-angle glaucoma	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
