question_id,mean_f1,median_f1,p25_f1,p75_f1,iqr_f1,mean_jaccard,median_jaccard,zero_f1_rate,zero_jaccard_rate,mean_precision,mean_recall,rank_median_f1
Q136,0.61333337,1.0,0.0,1.0,1.0,0.595,1.0,0.35,0.35,0.595,0.65,1
Q100,0.64166698,0.666667,0.666667,0.666667,0.0,0.47999999000000004,0.5,0.03,0.03,0.955,0.485,2
Q157,0.52900022,0.666667,0.5,0.666667,0.166667,0.38916660999999997,0.5,0.16,0.16,0.7483333299999999,0.42,3
Q94,0.39000018,0.666667,0.0,0.666667,0.666667,0.28999998,0.5,0.4,0.4,0.57,0.3,4
Q128,0.485,0.5,0.475,0.5,0.025000000000000022,0.35283324,0.333333,0.15,0.15,0.795,0.36333320999999996,5
Q93,0.45633333,0.5,0.475,0.5,0.025000000000000022,0.30366643,0.333333,0.06,0.06,0.84333333,0.3199997,6
Q115,0.35933325000000005,0.4,0.333333,0.4,0.06666700000000003,0.2225,0.25,0.06,0.06,0.815,0.235,7
Q125,0.34173802000000003,0.4,0.333333,0.4,0.06666700000000003,0.21142858,0.25,0.1,0.1,0.77249999,0.225,8
Q117,0.3293333,0.4,0.333333,0.4,0.06666700000000003,0.205,0.25,0.16,0.16,0.79,0.21,9
Q108,0.32599997000000003,0.4,0.333333,0.4,0.06666700000000003,0.203,0.25,0.17,0.17,0.785,0.2075,10
Q87,0.3213333,0.4,0.333333,0.4,0.06666700000000003,0.2,0.25,0.18,0.18,0.77,0.205,11
Q159,0.31885712,0.4,0.333333,0.4,0.06666700000000003,0.19866667,0.25,0.19,0.19,0.7733333299999999,0.2025,12
Q123,0.26266666,0.4,0.0,0.4,0.4,0.16399999999999998,0.25,0.34,0.34,0.65,0.165,13
Q104,0.29571399,0.333333,0.32142824999999997,0.333333,0.01190475000000002,0.17666672000000003,0.2,0.09,0.09,0.83,0.182,14
Q109,0.27666639,0.333333,0.333333,0.333333,0.0,0.16566669,0.2,0.16,0.16,0.805,0.168,15
Q126,0.26752373,0.333333,0.0,0.4,0.4,0.16516667000000002,0.2,0.29,0.29,0.58833333,0.1775,16
Q119,0.26476164,0.333333,0.285714,0.333333,0.04761899999999997,0.15800006000000003,0.2,0.18,0.18,0.73,0.16400000000000003,17
Q163,0.26416640999999996,0.333333,0.285714,0.333333,0.04761899999999997,0.15695247,0.2,0.16,0.16,0.67999999,0.168,18
Q131,0.25714276,0.333333,0.0,0.4,0.4,0.15800002000000002,0.2,0.3,0.3,0.5399999799999999,0.175,19
Q161,0.19630932999999998,0.333333,0.0,0.333333,0.333333,0.11742859000000001,0.2,0.4,0.4,0.5633333300000001,0.12,20
Q120,0.28999974,0.285714,0.285714,0.285714,0.0,0.17166695,0.166667,0.03,0.03,0.97,0.17166695,21
Q113,0.24896084000000002,0.285714,0.25,0.285714,0.035714000000000024,0.1460002,0.166667,0.13,0.13,0.792,0.15000027000000002,22
Q160,0.2410712,0.285714,0.285714,0.285714,0.0,0.14095264,0.166667,0.16,0.16,0.825,0.14166694000000002,23
Q112,0.23515856000000002,0.285714,0.25,0.285714,0.035714000000000024,0.13821444000000002,0.166667,0.18,0.18,0.71666666,0.14333358000000002,24
Q129,0.24955548,0.25,0.2430555,0.25,0.006944499999999992,0.14436496000000001,0.142857,0.03,0.03,0.85666666,0.14857128,25
Q116,0.22611104,0.25,0.222222,0.25,0.027777999999999997,0.13071418,0.142857,0.12,0.12,0.78,0.13428558000000002,26
Q106,0.18888888,0.25,0.222222,0.25,0.027777999999999997,0.10785704000000002,0.142857,0.24,0.24,0.74,0.10857132,27
Q135,0.20155536000000002,0.222222,0.222222,0.222222,0.0,0.11361110999999999,0.125,0.1,0.1,0.895,0.11375,28
Q127,0.13496024,0.0,0.0,0.285714,0.285714,0.07952385000000001,0.0,0.53,0.53,0.36833334,0.08500013000000001,29
Q92,0.13199996,0.0,0.0,0.333333,0.333333,0.0815,0.0,0.65,0.65,0.29,0.0875,30
