predicate	inverse_predicate
biolink:active_in	biolink:has_active_entity
biolink:actively_involved_in	biolink:has_active_involvement_of
biolink:acts_upstream_of	biolink:has_upstream_actor
biolink:acts_upstream_of_negative_effect	biolink:has_upstream_negative_effect_actor
biolink:acts_upstream_of_or_within_negative_effect	biolink:has_upstream_or_within_negative_effect_actor
biolink:acts_upstream_of_or_within_positive_effect	biolink:has_upstream_or_within_positive_effect_actor
biolink:acts_upstream_of_positive_effect	biolink:has_upstream_positive_effect_actor
biolink:affects	biolink:affected_by
biolink:affects_response_to	biolink:response_affected_by
biolink:ameliorates_condition	biolink:condition_ameliorated_by
biolink:applied_to_treat	biolink:treated_by_application_of
biolink:associated_with	biolink:associated_with
biolink:capable_of	biolink:capability_of
biolink:catalyzes	biolink:catalyzed_by
biolink:causes	biolink:caused_by
biolink:chemically_similar_to	biolink:chemically_similar_to
biolink:coexists_with	biolink:coexists_with
biolink:coexpressed_with	biolink:coexpressed_with
biolink:colocalizes_with	biolink:colocalizes_with
biolink:composed_primarily_of	biolink:primary_component_of
biolink:contraindicated_in	biolink:has_contraindication
biolink:contributes_to	biolink:has_contributor
biolink:correlated_with	biolink:correlated_with
biolink:decreases_response_to	biolink:response_decreased_by
biolink:derives_from	biolink:source_of
biolink:develops_from	biolink:develops_into
biolink:diagnoses	biolink:diagnosed_by
biolink:directly_physically_interacts_with	biolink:directly_physically_interacts_with
biolink:disease_has_basis_in	biolink:basis_for_disease
biolink:disrupts	biolink:disrupted_by
biolink:enables	biolink:enabled_by
biolink:expressed_in	biolink:expresses
biolink:gene_associated_with_condition	biolink:condition_associated_with_gene
biolink:gene_product_of	biolink:has_gene_product
biolink:genetically_associated_with	biolink:genetically_associated_with
biolink:genetically_interacts_with	biolink:genetically_interacts_with
biolink:has_active_ingredient	biolink:active_ingredient_of
biolink:has_adverse_event	biolink:adverse_event_of
biolink:has_input	biolink:input_of
biolink:has_metabolite	biolink:metabolite_of
biolink:has_output	biolink:output_of
biolink:has_part	biolink:part_of
biolink:has_participant	biolink:participant_in
biolink:has_phenotype	biolink:phenotype_of
biolink:homologous_to	biolink:homologous_to
biolink:in_complex_with	biolink:in_complex_with
biolink:in_taxon	biolink:has_member
biolink:increases_response_to	biolink:response_increased_by
biolink:interacts_with	biolink:interacts_with
biolink:is_frameshift_variant_of	biolink:has_frameshift_variant
biolink:is_missense_variant_of	biolink:has_missense_variant
biolink:is_nearby_variant_of	biolink:has_nearby_variant
biolink:is_non_coding_variant_of	biolink:has_non_coding_variant
biolink:is_nonsense_variant_of	biolink:has_nonsense_variant
biolink:is_splice_site_variant_of	biolink:has_splice_site_variant
biolink:is_synonymous_variant_of	biolink:has_synonymous_variant
biolink:located_in	biolink:location_of
biolink:manifestation_of	biolink:has_manifestation
biolink:negatively_correlated_with	biolink:negatively_correlated_with
biolink:occurs_in	biolink:occurrence_of
biolink:overlaps	biolink:overlaps
biolink:physically_interacts_with	biolink:physically_interacts_with
biolink:positively_correlated_with	biolink:positively_correlated_with
biolink:precedes	biolink:preceded_by
biolink:predisposes_to_condition	biolink:condition_predisposed_by
biolink:preventative_for_condition	biolink:condition_prevented_by
biolink:produces	biolink:produced_by
biolink:regulates	biolink:regulated_by
biolink:related_to	biolink:related_to
biolink:similar_to	biolink:similar_to
biolink:subclass_of	biolink:superclass_of
biolink:target_for	biolink:has_target
biolink:temporally_related_to	biolink:temporally_related_to
biolink:treats	biolink:treated_by
biolink:treats_or_applied_or_studied_to_treat	biolink:treated_or_applied_or_studied_by

