question_id	run_id	gpt_edges	kg_edges	matched_edges	tp	fp	fn	precision	recall	f1
Q1	1	1	2	0	0	1	2	0.0	0.0	0.0
Q1	2	1	2	0	0	1	2	0.0	0.0	0.0
Q1	3	1	2	0	0	1	2	0.0	0.0	0.0
Q1	4	1	2	0	0	1	2	0.0	0.0	0.0
Q1	6	1	2	0	0	1	2	0.0	0.0	0.0
Q1	7	1	2	0	0	1	2	0.0	0.0	0.0
Q1	8	1	2	0	0	1	2	0.0	0.0	0.0
Q1	9	1	2	0	0	1	2	0.0	0.0	0.0
Q1	10	2	2	0	0	2	2	0.0	0.0	0.0
Q1	11	1	2	0	0	1	2	0.0	0.0	0.0
Q1	12	1	2	0	0	1	2	0.0	0.0	0.0
Q1	13	1	2	0	0	1	2	0.0	0.0	0.0
Q1	14	1	2	0	0	1	2	0.0	0.0	0.0
Q1	15	1	2	0	0	1	2	0.0	0.0	0.0
Q1	16	1	2	0	0	1	2	0.0	0.0	0.0
Q1	17	1	2	0	0	1	2	0.0	0.0	0.0
Q1	18	1	2	0	0	1	2	0.0	0.0	0.0
Q1	19	1	2	0	0	1	2	0.0	0.0	0.0
Q1	20	1	2	0	0	1	2	0.0	0.0	0.0
Q1	21	1	2	0	0	1	2	0.0	0.0	0.0
Q1	22	1	2	0	0	1	2	0.0	0.0	0.0
Q1	23	1	2	0	0	1	2	0.0	0.0	0.0
Q1	24	1	2	0	0	1	2	0.0	0.0	0.0
Q1	25	1	2	0	0	1	2	0.0	0.0	0.0
Q1	26	1	2	0	0	1	2	0.0	0.0	0.0
Q1	27	1	2	0	0	1	2	0.0	0.0	0.0
Q1	28	1	2	0	0	1	2	0.0	0.0	0.0
Q1	29	2	2	0	0	2	2	0.0	0.0	0.0
Q1	30	1	2	0	0	1	2	0.0	0.0	0.0
Q1	31	1	2	0	0	1	2	0.0	0.0	0.0
Q1	32	1	2	0	0	1	2	0.0	0.0	0.0
Q1	33	2	2	0	0	2	2	0.0	0.0	0.0
Q1	34	1	2	0	0	1	2	0.0	0.0	0.0
Q1	35	1	2	0	0	1	2	0.0	0.0	0.0
Q1	36	1	2	0	0	1	2	0.0	0.0	0.0
Q1	37	1	2	0	0	1	2	0.0	0.0	0.0
Q1	38	2	2	0	0	2	2	0.0	0.0	0.0
Q1	39	1	2	0	0	1	2	0.0	0.0	0.0
Q1	40	1	2	0	0	1	2	0.0	0.0	0.0
Q1	41	1	2	0	0	1	2	0.0	0.0	0.0
Q1	42	1	2	0	0	1	2	0.0	0.0	0.0
Q1	43	1	2	0	0	1	2	0.0	0.0	0.0
Q1	44	1	2	0	0	1	2	0.0	0.0	0.0
Q1	45	1	2	0	0	1	2	0.0	0.0	0.0
Q1	46	1	2	0	0	1	2	0.0	0.0	0.0
Q1	47	1	2	0	0	1	2	0.0	0.0	0.0
Q1	48	1	2	0	0	1	2	0.0	0.0	0.0
Q1	49	1	2	0	0	1	2	0.0	0.0	0.0
Q1	50	1	2	0	0	1	2	0.0	0.0	0.0
Q1	52	2	2	0	0	2	2	0.0	0.0	0.0
Q1	53	1	2	0	0	1	2	0.0	0.0	0.0
Q1	54	2	2	0	0	2	2	0.0	0.0	0.0
Q1	55	1	2	0	0	1	2	0.0	0.0	0.0
Q1	56	1	2	0	0	1	2	0.0	0.0	0.0
Q1	57	1	2	0	0	1	2	0.0	0.0	0.0
Q1	58	1	2	0	0	1	2	0.0	0.0	0.0
Q1	59	1	2	0	0	1	2	0.0	0.0	0.0
Q1	60	1	2	0	0	1	2	0.0	0.0	0.0
Q1	61	1	2	0	0	1	2	0.0	0.0	0.0
Q1	62	1	2	0	0	1	2	0.0	0.0	0.0
Q1	63	1	2	0	0	1	2	0.0	0.0	0.0
Q1	64	1	2	0	0	1	2	0.0	0.0	0.0
Q1	65	2	2	0	0	2	2	0.0	0.0	0.0
Q1	67	1	2	0	0	1	2	0.0	0.0	0.0
Q1	68	1	2	0	0	1	2	0.0	0.0	0.0
Q1	69	1	2	0	0	1	2	0.0	0.0	0.0
