question_id,robokop_n_edges
Q1,2
Q10,1
Q100,3
Q101,4
Q102,5
Q103,4
Q104,3
Q105,7
Q106,5
Q107,3
Q108,1
Q109,3
Q11,2
Q110,0
Q111,1
Q112,3
Q113,4
Q114,3
Q115,1
Q116,4
Q117,1
Q118,3
Q119,3
Q12,1
Q120,9
Q121,9
Q122,1
Q123,1
Q124,1
Q125,1
Q126,1
Q127,3
Q128,6
Q129,4
Q13,1
Q130,4
Q131,1
Q132,3
Q133,1
Q134,3
Q135,5
Q136,2
Q137,2
Q138,2
Q139,3
Q14,3
Q140,2
Q141,4
Q142,2
Q143,1
Q144,2
Q145,2
Q146,2
Q147,3
Q148,1
Q149,2
Q15,2
Q150,5
Q151,1
Q152,2
Q153,6
Q154,5
Q155,4
Q156,5
Q157,4
Q158,4
Q159,1
Q16,1
Q160,3
Q161,3
Q162,6
Q163,3
Q17,1
Q18,1
Q19,1
Q2,2
Q20,1
Q21,2
Q22,1
Q23,1
Q24,2
Q25,1
Q26,1
Q27,2
Q28,1
Q29,1
Q3,1
Q30,2
Q31,2
Q32,1
Q33,2
Q34,3
Q35,2
Q36,2
Q37,2
Q38,1
Q39,1
Q4,3
Q40,2
Q41,1
Q42,1
Q43,1
Q44,1
Q45,2
Q46,1
Q47,1
Q48,2
Q49,1
Q5,1
Q50,1
Q51,1
Q52,2
Q53,2
Q54,1
Q55,2
Q56,3
Q57,2
Q58,2
Q59,1
Q6,1
Q60,3
Q61,1
Q62,1
Q63,1
Q64,1
Q65,1
Q66,1
Q67,1
Q68,2
Q69,2
Q7,1
Q70,1
Q71,2
Q72,1
Q73,1
Q74,1
Q75,0
Q76,2
Q77,2
Q78,2
Q79,3
Q8,2
Q80,2
Q81,2
Q82,3
Q83,3
Q84,1
Q85,1
Q86,1
Q87,1
Q88,0
Q89,3
Q9,1
Q90,3
Q91,2
Q92,5
Q93,5
Q94,3
Q95,3
Q96,2
Q97,2
Q98,1
Q99,1
