question_id	n_runs	mean_gpt_edges	mean_matched_edges	kg_edges	mean_precision	mean_recall	mean_f1	match_rate	gpt_edge_rate
Q1	100	1.06	0.0	2.0	0.0	0.0	0.0	0.0	0.96
Q10	100	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q100	100	1.02	0.97	3.0	0.955	0.3233333333333333	0.48200000000000004	0.97	0.99
Q101	100	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
Q102	100	1.24	0.18	5.0	0.13083333333333333	0.036000000000000004	0.054722222222222235	0.18	1.0
Q103	100	0.03	0.0	8.0	0.0	0.0	0.0	0.0	0.03
Q104	100	1.16	0.0	7.0	0.0	0.0	0.0	0.0	1.0
Q105	100	1.16	0.06	7.0	0.045	0.00857142857142857	0.014166666666666668	0.06	1.0
Q106	100	1.02	0.02	9.0	0.02	0.0022222222222222222	0.004	0.02	0.98
Q107	100	1.19	0.05	7.0	0.025	0.007142857142857142	0.011111111111111112	0.05	1.0
Q108	100	1.05	0.0	5.0	0.0	0.0	0.0	0.0	0.96
Q109	100	1.07	0.84	7.0	0.805	0.12	0.20805555555555558	0.84	1.0
Q11	100	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
Q110	100	1.14	0.0	3.0	0.0	0.0	0.0	0.0	0.98
Q111	100	1.14	0.0	1.0	0.0	0.0	0.0	0.0	0.95
Q112	100	1.26	0.04	7.0	0.02	0.005714285714285714	0.008888888888888889	0.04	1.0
Q113	100	1.22	0.03	8.0	0.015	0.00375	0.006000000000000001	0.03	1.0
Q114	100	1.17	0.2	7.0	0.135	0.028571428571428567	0.046388888888888896	0.2	1.0
Q115	100	1.25	0.0	5.0	0.0	0.0	0.0	0.0	1.0
Q116	100	1.27	0.0	8.0	0.0	0.0	0.0	0.0	1.0
Q117	100	1.1	0.0	5.0	0.0	0.0	0.0	0.0	1.0
Q118	100	1.16	0.02	3.0	0.01	0.006666666666666666	0.008	0.02	1.0
Q119	100	1.11	0.0	7.0	0.0	0.0	0.0	0.0	0.93
Q12	100	0.05	0.0	1.0	0.0	0.0	0.0	0.0	0.05
Q120	100	1.03	1.0	9.0	0.94	0.1111111111111111	0.1978181818181818	0.94	0.97
Q121	100	0.07	0.03	9.0	0.03	0.003333333333333333	0.006	0.03	0.07
Q122	100	0.31	0.0	5.0	0.0	0.0	0.0	0.0	0.31
Q123	100	0.74	0.66	5.0	0.65	0.132	0.21904761904761907	0.66	0.72
Q124	100	1.17	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q125	100	1.28	0.0	5.0	0.0	0.0	0.0	0.0	0.99
Q126	100	1.25	0.71	5.0	0.5883333333333334	0.14200000000000002	0.2248809523809524	0.71	1.0
Q127	100	1.25	0.51	7.0	0.36833333333333335	0.07285714285714286	0.11911111111111111	0.47	1.0
Q128	100	1.34	1.09	6.0	0.795	0.18166666666666664	0.28988095238095235	0.85	0.98
Q129	100	1.3	0.03	8.0	0.015	0.00375	0.006000000000000001	0.03	0.99
Q13	100	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q130	100	1.25	0.3	8.0	0.19	0.0375	0.06177777777777778	0.3	1.0
Q131	100	1.26	0.0	5.0	0.0	0.0	0.0	0.0	0.9
Q132	100	1.14	0.18	7.0	0.135	0.02571428571428571	0.0425	0.18	1.0
Q133	100	1.09	0.08	5.0	0.055	0.016	0.02428571428571429	0.08	1.0
Q134	100	1.2	0.21	7.0	0.13166666666666665	0.03	0.04788888888888889	0.2	1.0
Q135	100	0.93	0.0	9.0	0.0	0.0	0.0	0.0	0.91
Q136	100	0.82	0.65	2.0	0.595	0.325	0.415	0.65	0.71
Q137	100	1.26	0.0	5.0	0.0	0.0	0.0	0.0	1.0
Q138	100	1.05	0.0	2.0	0.0	0.0	0.0	0.0	0.96
Q139	100	1.22	0.0	3.0	0.0	0.0	0.0	0.0	1.0
Q14	100	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
Q140	100	1.2	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q141	100	1.12	0.0	4.0	0.0	0.0	0.0	0.0	1.0
Q142	100	0.21	0.0	2.0	0.0	0.0	0.0	0.0	0.21
Q143	100	1.19	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q144	100	1.06	0.0	2.0	0.0	0.0	0.0	0.0	0.94
Q145	100	1.11	0.0	5.0	0.0	0.0	0.0	0.0	1.0
Q146	100	1.16	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q147	100	0.04	0.03	6.0	0.016666666666666666	0.005	0.007301587301587301	0.02	0.02
Q148	100	0.07	0.02	7.0	0.015	0.002857142857142857	0.004722222222222222	0.02	0.06
Q149	100	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q15	100	1.23	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q150	100	0.01	0.01	5.0	0.01	0.002	0.0033333333333333335	0.01	0.01
Q151	100	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q152	100	0.03	0.0	2.0	0.0	0.0	0.0	0.0	0.03
Q153	100	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0
Q154	100	1.07	0.16	5.0	0.115	0.032	0.04904761904761905	0.16	0.98
Q155	100	1.46	0.3	4.0	0.1716666666666667	0.075	0.10085714285714285	0.3	1.0
Q156	100	0.91	0.01	5.0	0.005	0.002	0.0028571428571428576	0.01	0.89
Q157	100	1.19	0.84	4.0	0.7483333333333333	0.21	0.32352380952380955	0.84	1.0
Q158	100	1.18	0.05	4.0	0.035	0.0125	0.018000000000000002	0.05	1.0
Q159	100	1.01	0.81	5.0	0.7733333333333333	0.162	0.26630952380952383	0.81	0.93
Q16	100	0.35	0.01	1.0	0.01	0.01	0.01	0.01	0.33
Q160	100	0.93	0.0	7.0	0.0	0.0	0.0	0.0	0.89
Q161	100	0.9	0.6	7.0	0.5633333333333334	0.08571428571428572	0.14783333333333334	0.6	0.82
Q162	100	1.12	0.07	10.0	0.045	0.007000000000000001	0.01196969696969697	0.07	0.97
Q163	100	1.34	0.84	7.0	0.68	0.12	0.20072222222222222	0.84	1.0
Q17	100	0.1	0.0	1.0	0.0	0.0	0.0	0.0	0.1
Q18	100	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q19	100	0.01	0.01	1.0	0.01	0.01	0.01	0.01	0.01
Q2	100	1.18	0.0	5.0	0.0	0.0	0.0	0.0	0.95
Q20	100	0.05	0.0	1.0	0.0	0.0	0.0	0.0	0.03
Q21	100	1.16	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q22	100	1.18	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q23	100	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q24	100	0.17	0.08	8.0	0.08	0.01	0.017777777777777778	0.08	0.17
Q25	100	1.23	0.0	4.0	0.0	0.0	0.0	0.0	1.0
Q26	100	0.08	0.0	4.0	0.0	0.0	0.0	0.0	0.08
Q27	100	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q28	100	0.15	0.01	1.0	0.01	0.01	0.01	0.01	0.12
Q29	100	1.16	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q3	100	0.1	0.0	1.0	0.0	0.0	0.0	0.0	0.1
Q30	100	1.11	0.0	2.0	0.0	0.0	0.0	0.0	0.92
Q31	100	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q32	100	1.19	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q33	100	1.16	0.0	5.0	0.0	0.0	0.0	0.0	1.0
Q34	100	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
Q35	100	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q36	100	1.14	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q37	100	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q38	100	0.08	0.0	1.0	0.0	0.0	0.0	0.0	0.08
Q39	100	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q4	100	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
Q40	100	1.14	0.0	2.0	0.0	0.0	0.0	0.0	0.99
Q41	100	0.01	0.0	1.0	0.0	0.0	0.0	0.0	0.01
Q42	100	0.11	0.0	1.0	0.0	0.0	0.0	0.0	0.1
Q43	100	0.09	0.0	1.0	0.0	0.0	0.0	0.0	0.06
Q44	100	1.15	0.0	1.0	0.0	0.0	0.0	0.0	0.99
Q45	100	0.01	0.0	2.0	0.0	0.0	0.0	0.0	0.01
Q46	100	0.13	0.0	1.0	0.0	0.0	0.0	0.0	0.13
Q47	100	0.01	0.0	1.0	0.0	0.0	0.0	0.0	0.01
Q48	100	1.06	0.13	2.0	0.095	0.065	0.075	0.13	0.85
Q49	100	0.01	0.0	7.0	0.0	0.0	0.0	0.0	0.01
Q5	100	0.01	0.0	7.0	0.0	0.0	0.0	0.0	0.01
Q50	100	1.24	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q51	100	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q52	100	1.1	0.0	2.0	0.0	0.0	0.0	0.0	0.99
