question_id,run_id,subject_curie_in,object_curie_in,answer,predicate,notes,_valid,_invalid_reason,raw_file
Q1,1,MONDO:0018310,MONDO:0005559,NO,,Langerhans cell histiocytosis can involve CNS but is not plausibly related as a neurodegenerative disease category; no clear direct relation.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q1_run01.txt
Q1,2,MONDO:0018310,MONDO:0005559,NO,,Langerhans cell histiocytosis can involve CNS but is not a neurodegenerative disease class; no clear causal/associative relation to the broad category.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q1_run02.txt
Q1,3,MONDO:0018310,MONDO:0005559,NO,,Langerhans cell histiocytosis can affect CNS but is not plausibly related to the broad class 'neurodegenerative disease' as a general association.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q1_run03.txt
Q1,4,MONDO:0018310,MONDO:0005559,NO,,Langerhans cell histiocytosis is a histiocytic neoplasm/inflammatory disorder; not plausibly related as a class to neurodegenerative disease category.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q1_run04.txt
Q1,5,MONDO:0018310,MONDO:0005559,NO,,Langerhans cell histiocytosis can involve CNS but is not plausibly related to the broad class 'neurodegenerative disease' as a general relation.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q1_run05.txt
Q1,6,MONDO:0018310,MONDO:0005559,NO,,Langerhans cell histiocytosis can involve CNS but is not plausibly related to the broad class 'neurodegenerative disease' as a general association.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q1_run06.txt
Q1,7,MONDO:0018310,MONDO:0005559,NO,,Langerhans cell histiocytosis can have CNS involvement but is not plausibly related to the broad category 'neurodegenerative disease' as a general association.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q1_run07.txt
Q1,8,MONDO:0018310,MONDO:0005559,NO,,"Langerhans cell histiocytosis can involve CNS, but no clear general relation to the disease class 'neurodegenerative disease' as a whole.",True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q1_run08.txt
Q1,9,MONDO:0018310,MONDO:0005559,NO,,Langerhans cell histiocytosis can involve CNS but is not clearly related to the broad category 'neurodegenerative disease'; no specific plausible direct relation.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q1_run09.txt
Q1,10,MONDO:0018310,MONDO:0005559,NO,,Langerhans cell histiocytosis can involve CNS but is not plausibly related to the broad class 'neurodegenerative disease' as a general association.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q1_run10.txt
Q1,11,MONDO:0018310,MONDO:0005559,NO,,Langerhans cell histiocytosis can involve CNS but is not a neurodegenerative disease class nor clearly associated as such.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q1_run11.txt
Q1,12,MONDO:0018310,MONDO:0005559,NO,,Langerhans cell histiocytosis can involve CNS but is not plausibly related as a type/cause of the broad category 'neurodegenerative disease'.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q1_run12.txt
Q1,13,MONDO:0018310,MONDO:0005559,NO,,Langerhans cell histiocytosis can involve CNS but is not a neurodegenerative disease category; no clear direct relation to the class MONDO:0005559.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q1_run13.txt
Q1,14,MONDO:0018310,MONDO:0005559,NO,,Langerhans cell histiocytosis can involve CNS but is not a neurodegenerative disease category; no clear direct relation to the class 'neurodegenerative disease'.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q1_run14.txt
Q1,15,MONDO:0018310,MONDO:0005559,NO,,Langerhans cell histiocytosis can involve CNS but is not plausibly related as a class to neurodegenerative disease (distinct category).,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q1_run15.txt
Q1,16,MONDO:0018310,MONDO:0005559,NO,,Langerhans cell histiocytosis can involve CNS but is not a neurodegenerative disease class; no clear direct relation to broad neurodegenerative disease category.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q1_run16.txt
Q1,17,MONDO:0018310,MONDO:0005559,NO,,Langerhans cell histiocytosis can involve CNS but is not plausibly related as a type/cause of the broad class 'neurodegenerative disease'.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q1_run17.txt
Q1,18,MONDO:0018310,MONDO:0005559,NO,,Langerhans cell histiocytosis can involve CNS but is not plausibly related as a type of neurodegenerative disease; no clear direct relation.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q1_run18.txt
Q1,19,MONDO:0018310,MONDO:0005559,NO,,Langerhans cell histiocytosis can involve CNS but is not plausibly related as a neurodegenerative disease category; no clear direct relation.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q1_run19.txt
Q1,20,MONDO:0018310,MONDO:0005559,NO,,Langerhans cell histiocytosis can involve CNS but is not generally a neurodegenerative disease nor clearly associated at class level.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q1_run20.txt
Q2,1,MONDO:0018310,NCBIGene:673,YES,biolink:disease_has_basis_in,"Langerhans cell histiocytosis frequently harbors activating BRAF mutations (e.g., V600E), supporting genetic basis/association via BRAF.",True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q2_run01.txt
Q2,2,MONDO:0018310,NCBIGene:673,YES,biolink:disease_has_basis_in,"Langerhans cell histiocytosis frequently harbors activating BRAF mutations (e.g., V600E), supporting a genetic basis involving BRAF.",True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q2_run02.txt
Q2,3,MONDO:0018310,NCBIGene:673,YES,biolink:disease_has_basis_in,"Langerhans cell histiocytosis commonly harbors activating BRAF (e.g., V600E) mutations; disease has genetic basis in BRAF.",True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q2_run03.txt
Q2,4,MONDO:0018310,NCBIGene:673,YES,biolink:associated_with,"Langerhans cell histiocytosis frequently harbors activating BRAF mutations (e.g., V600E), indicating a strong disease–BRAF association.",True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q2_run04.txt
Q2,5,MONDO:0018310,NCBIGene:673,YES,biolink:associated_with,"Langerhans cell histiocytosis frequently harbors activating BRAF mutations (e.g., V600E); disease is associated with BRAF.",True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q2_run05.txt
Q2,6,MONDO:0018310,NCBIGene:673,YES,biolink:associated_with,"Langerhans cell histiocytosis frequently harbors activating BRAF mutations (e.g., V600E), indicating a genetic association with BRAF.",True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q2_run06.txt
Q2,7,MONDO:0018310,NCBIGene:673,YES,biolink:associated_with,"Langerhans cell histiocytosis commonly harbors activating BRAF alterations (e.g., V600E), so the disease is associated with BRAF (variant proxied to gene).",True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q2_run07.txt
Q2,8,MONDO:0018310,NCBIGene:673,YES,biolink:associated_with,"Langerhans cell histiocytosis frequently harbors activating BRAF mutations (e.g., V600E), so the disease is associated with BRAF.",True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q2_run08.txt
Q2,9,MONDO:0018310,NCBIGene:673,YES,biolink:associated_with,"Langerhans cell histiocytosis frequently harbors activating BRAF mutations (e.g., V600E); disease is associated with BRAF.",True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q2_run09.txt
Q2,10,MONDO:0018310,NCBIGene:673,YES,biolink:associated_with,"Langerhans cell histiocytosis frequently harbors activating BRAF (e.g., V600E) mutations; disease is associated with BRAF alterations.",True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q2_run10.txt
Q2,11,MONDO:0018310,NCBIGene:673,YES,biolink:disease_has_basis_in,"Langerhans cell histiocytosis frequently harbors activating BRAF (e.g., V600E) mutations, supporting a genetic basis in BRAF.",True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q2_run11.txt
Q2,12,MONDO:0018310,NCBIGene:673,YES,biolink:associated_with,"Langerhans cell histiocytosis frequently harbors activating BRAF mutations (e.g., V600E), so disease is associated with BRAF.",True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q2_run12.txt
Q2,13,MONDO:0018310,NCBIGene:673,YES,biolink:associated_with,"Langerhans cell histiocytosis frequently harbors activating BRAF (e.g., V600E) mutations; thus disease is associated with BRAF.",True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q2_run13.txt
Q2,14,MONDO:0018310,NCBIGene:673,YES,biolink:associated_with,"Langerhans cell histiocytosis frequently harbors activating BRAF mutations (e.g., V600E), so the disease is associated with BRAF.",True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q2_run14.txt
Q2,15,MONDO:0018310,NCBIGene:673,YES,biolink:disease_has_basis_in,"Langerhans cell histiocytosis frequently harbors activating BRAF (e.g., V600E) mutations, indicating genetic basis/association with BRAF.",True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q2_run15.txt
Q2,16,MONDO:0018310,NCBIGene:673,YES,biolink:disease_has_basis_in,"Langerhans cell histiocytosis frequently harbors activating BRAF (e.g., V600E) mutations; thus disease has genetic basis in BRAF.",True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q2_run16.txt
Q2,17,MONDO:0018310,NCBIGene:673,YES,biolink:disease_has_basis_in,"Langerhans cell histiocytosis commonly harbors activating BRAF mutations (e.g., V600E), indicating molecular basis in BRAF alteration.",True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q2_run17.txt
Q2,18,MONDO:0018310,NCBIGene:673,YES,biolink:disease_has_basis_in,"Langerhans cell histiocytosis frequently harbors activating BRAF (e.g., V600E) mutations, supporting a genetic basis in BRAF alterations.",True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q2_run18.txt
Q2,19,MONDO:0018310,NCBIGene:673,YES,biolink:associated_with,"Langerhans cell histiocytosis frequently harbors activating BRAF mutations (e.g., V600E), so disease is associated with BRAF gene alteration.",True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q2_run19.txt
Q2,20,MONDO:0018310,NCBIGene:673,YES,biolink:associated_with,"Langerhans cell histiocytosis frequently harbors activating BRAF mutations (e.g., V600E), so the disease is associated with BRAF.",True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q2_run20.txt
Q3,1,MONDO:0005061,NCBIGene:7157,YES,biolink:associated_with,TP53 (p53) mutations are frequent in lung adenocarcinoma and are commonly reported as associated with this cancer type.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q3_run01.txt
Q3,2,MONDO:0005061,NCBIGene:7157,YES,biolink:genetically_associated_with,TP53 (p53) mutations are common in lung adenocarcinoma and associated with disease biology; variant proxied to TP53 gene.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q3_run02.txt
Q3,3,MONDO:0005061,NCBIGene:7157,YES,biolink:gene_associated_with_condition,TP53 mutations are common in lung adenocarcinoma; TP53 gene is associated with the condition (variant proxied to gene).,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q3_run03.txt
Q3,4,MONDO:0005061,NCBIGene:7157,YES,biolink:gene_associated_with_condition,TP53 (p53) mutations are common in lung adenocarcinoma and are associated with the disease; variant proxied to gene supports gene-condition association.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q3_run04.txt
Q3,5,MONDO:0005061,NCBIGene:7157,YES,biolink:gene_associated_with_condition,"TP53 is frequently mutated in lung adenocarcinoma; p53 mutation proxy maps to TP53, supporting a gene-condition association.",True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q3_run05.txt
Q3,6,MONDO:0005061,NCBIGene:7157,YES,biolink:gene_associated_with_condition,TP53 (p53) mutations are common in lung adenocarcinoma; TP53 is a well-known gene associated with this cancer.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q3_run06.txt
Q3,7,MONDO:0005061,NCBIGene:7157,YES,biolink:gene_associated_with_condition,TP53 (p53) mutations are frequent in lung adenocarcinoma; TP53 gene is associated with this condition.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q3_run07.txt
Q3,8,MONDO:0005061,NCBIGene:7157,YES,biolink:disease_has_basis_in,TP53 (p53) mutations are common drivers in lung adenocarcinoma; disease can have genetic basis in TP53 alterations.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q3_run08.txt
Q3,9,MONDO:0005061,NCBIGene:7157,YES,biolink:gene_associated_with_condition,TP53 mutations are frequent in lung adenocarcinoma; TP53 gene is associated with this cancer condition.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q3_run09.txt
Q3,10,MONDO:0005061,NCBIGene:7157,YES,biolink:gene_associated_with_condition,TP53 (p53) mutations are common in lung adenocarcinoma; gene is associated with the condition.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q3_run10.txt
Q3,11,MONDO:0005061,NCBIGene:7157,YES,biolink:gene_associated_with_condition,TP53 (p53) mutations are common in lung adenocarcinoma; TP53 is a well-known gene associated with this cancer.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q3_run11.txt
Q3,12,MONDO:0005061,NCBIGene:7157,YES,biolink:associated_with,TP53 (p53) mutations are common in lung adenocarcinoma and are associated with disease occurrence and tumor behavior.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q3_run12.txt
Q3,13,MONDO:0005061,NCBIGene:7157,YES,biolink:associated_with,TP53 (p53) mutations are common in lung adenocarcinoma; disease is genetically associated with TP53 alterations.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q3_run13.txt
Q3,14,MONDO:0005061,NCBIGene:7157,YES,biolink:associated_with,TP53 (p53) mutations are common in lung adenocarcinoma; disease is genetically associated with TP53 alterations.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q3_run14.txt
Q3,15,MONDO:0005061,NCBIGene:7157,YES,biolink:associated_with,TP53 (p53) mutations are common in lung adenocarcinoma; using gene as proxy for variant supports disease-gene association.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q3_run15.txt
Q3,16,MONDO:0005061,NCBIGene:7157,YES,biolink:genetically_associated_with,TP53 (p53) mutations are common in lung adenocarcinoma; gene is genetically associated with the condition.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q3_run16.txt
Q3,17,MONDO:0005061,NCBIGene:7157,YES,biolink:gene_associated_with_condition,TP53 mutations are common in lung adenocarcinoma; TP53 is a well-known tumor suppressor gene associated with this cancer.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q3_run17.txt
Q3,18,MONDO:0005061,NCBIGene:7157,YES,biolink:gene_associated_with_condition,TP53 (p53) mutations are common in lung adenocarcinoma; TP53 is a well-known gene associated with this cancer.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q3_run18.txt
Q3,19,MONDO:0005061,NCBIGene:7157,YES,biolink:gene_associated_with_condition,TP53 (p53) mutations are common in lung adenocarcinoma and are associated with the condition; variant proxied to gene.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q3_run19.txt
Q3,20,MONDO:0005061,NCBIGene:7157,YES,biolink:gene_associated_with_condition,TP53 (p53) mutations are common in lung adenocarcinoma; TP53 is a well-known cancer gene associated with this condition.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q3_run20.txt
Q4,1,NCBIGene:7157,NCBIGene:2308,YES,biolink:interacts_with,TP53 and FOXO1 are linked in stress/apoptosis pathways and reported to functionally/physically interact (p53-FOXO crosstalk).,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q4_run01.txt
Q4,2,NCBIGene:7157,NCBIGene:2308,YES,biolink:interacts_with,TP53 and FOXO1 are transcription factors with reported functional/physical interaction in stress/apoptosis pathways; plausible gene-gene interaction.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q4_run02.txt
Q4,3,NCBIGene:7157,NCBIGene:2308,YES,biolink:interacts_with,TP53 and FOXO1 are both transcription factors with reported functional/physical interactions in stress/apoptosis pathways; plausible gene-gene interaction.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q4_run03.txt
Q4,4,NCBIGene:7157,NCBIGene:2308,YES,biolink:interacts_with,TP53 and FOXO1 are transcription factors with reported functional/physical interactions in stress/apoptosis pathways; plausible gene-gene interaction.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q4_run04.txt
Q4,5,NCBIGene:7157,NCBIGene:2308,YES,biolink:regulates,TP53 and FOXO1 are transcription factors with reported cross-talk; TP53 can regulate FOXO1 expression/activity in stress/apoptosis contexts.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q4_run05.txt
Q4,6,NCBIGene:7157,NCBIGene:2308,YES,biolink:interacts_with,TP53 and FOXO1 are transcription factors with reported functional/physical interactions in stress/apoptosis pathways; plausible gene-gene interaction.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q4_run06.txt
Q4,7,NCBIGene:7157,NCBIGene:2308,YES,biolink:interacts_with,TP53 and FOXO1 are functionally linked in stress/apoptosis pathways and reported to interact/regulate shared targets; plausible gene-gene interaction.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q4_run07.txt
Q4,8,NCBIGene:7157,NCBIGene:2308,YES,biolink:regulates,TP53 and FOXO1 are functionally linked in stress/apoptosis pathways; TP53 can influence FOXO1 activity/expression via shared regulatory networks.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q4_run08.txt
Q4,9,NCBIGene:7157,NCBIGene:2308,YES,biolink:interacts_with,TP53 and FOXO1 are transcription factors with reported functional/physical interactions via shared pathways and co-regulation; plausible gene-gene interaction.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q4_run09.txt
Q4,10,NCBIGene:7157,NCBIGene:2308,YES,biolink:interacts_with,TP53 and FOXO1 are functionally connected transcription factors with reported interaction/crosstalk in stress/apoptosis pathways; plausible gene-gene interaction.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q4_run10.txt
Q4,11,NCBIGene:7157,NCBIGene:2308,YES,biolink:regulates,TP53 can transcriptionally regulate FOXO1 in stress/apoptosis pathways; plausible gene-gene regulatory relation.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q4_run11.txt
Q4,12,NCBIGene:7157,NCBIGene:2308,YES,biolink:regulates,TP53 can transcriptionally regulate FOXO1 in stress/apoptosis contexts; plausible gene-gene regulatory relationship.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q4_run12.txt
Q4,13,NCBIGene:7157,NCBIGene:2308,YES,biolink:interacts_with,TP53 and FOXO1 are functionally linked transcription factors with reported interaction/crosstalk in stress/apoptosis pathways; plausible gene-gene interaction.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q4_run13.txt
Q4,14,NCBIGene:7157,NCBIGene:2308,YES,biolink:interacts_with,TP53 and FOXO1 are both transcription factors with reported functional/physical interactions and shared regulatory pathways; plausible gene-gene interaction.,True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q4_run14.txt
Q4,15,NCBIGene:7157,NCBIGene:2308,YES,biolink:regulates,"TP53 and FOXO1 are linked in stress/apoptosis pathways; p53 can influence FOXO1 activity/expression via shared regulatory networks, so a regulation relation is plausible.",True,,/home/azuziz/gpt/6_gpt/step2_gpt/gpt_raw/Q4_run15.txt
