question_id	n_rows_total	n_unique_exact	n_unique_directionless	n_unique_directionless_inv	dup_rows_exact	dup_rows_directionless	dup_rows_directionless_inv
Q141	9	4	4	4	5	5	5
Q137	9	5	5	5	4	4	4
Q145	9	5	5	5	4	4	4
Q150	9	5	5	5	4	4	4
Q156	9	5	4	4	4	5	5
Q25	8	4	4	4	4	4	4
Q140	6	2	2	2	4	4	4
Q149	6	2	1	1	4	5	5
Q8	8	5	5	5	3	3	3
Q79	6	3	3	3	3	3	3
Q82	6	3	3	3	3	3	3
Q142	5	2	2	2	3	3	3
Q68	5	2	2	2	3	3	3
Q76	5	2	2	2	3	3	3
Q81	5	2	2	2	3	3	3
Q38	4	1	1	1	3	3	3
Q101	10	8	6	6	2	4	4
Q96	10	8	8	8	2	2	2
Q105	9	7	5	5	2	4	4
Q107	9	7	6	6	2	3	3
Q112	9	7	6	6	2	3	3
Q119	9	7	5	5	2	4	4
Q132	9	7	6	6	2	3	3
Q163	9	7	5	5	2	4	4
Q147	8	6	6	6	2	2	2
Q102	7	5	3	3	2	4	4
Q55	7	5	5	5	2	2	2
Q9	6	4	4	4	2	2	2
Q118	5	3	2	2	2	3	3
Q139	5	3	3	3	2	2	2
Q83	5	3	3	3	2	2	2
Q89	5	3	3	3	2	2	2
Q138	4	2	2	2	2	2	2
Q146	4	2	2	2	2	2	2
Q21	4	2	2	2	2	2	2
Q69	4	2	2	2	2	2	2
Q78	4	2	2	2	2	2	2
Q80	4	2	2	2	2	2	2
Q62	3	1	1	1	2	2	2
Q86	3	1	1	1	2	2	2
Q135	10	9	8	8	1	2	2
Q103	9	8	6	6	1	3	3
Q113	9	8	6	6	1	3	3
Q116	9	8	7	7	1	2	2
Q130	9	8	6	6	1	3	3
Q60	9	8	8	8	1	1	1
Q104	8	7	5	5	1	3	3
Q109	8	7	5	5	1	3	3
Q114	8	7	5	5	1	3	3
Q148	8	7	7	7	1	1	1
Q161	8	7	5	5	1	3	3
Q11	6	5	5	5	1	1	1
Q115	6	5	4	4	1	2	2
Q122	6	5	5	5	1	1	1
Q125	6	5	4	4	1	2	2
Q126	6	5	4	4	1	2	2
Q131	6	5	4	4	1	2	2
Q77	6	5	5	5	1	1	1
Q92	6	5	4	4	1	2	2
Q93	6	5	3	3	1	3	3
Q157	5	4	2	2	1	3	3
Q158	5	4	3	3	1	2	2
Q74	5	4	4	4	1	1	1
Q4	4	3	3	3	1	1	1
Q144	3	2	2	2	1	1	1
Q15	3	2	2	2	1	1	1
Q31	3	2	2	2	1	1	1
Q36	3	2	2	2	1	1	1
Q40	3	2	2	2	1	1	1
Q48	3	2	2	2	1	1	1
Q57	3	2	2	2	1	1	1
Q71	3	2	2	2	1	1	1
Q91	3	2	2	2	1	1	1
Q111	2	1	1	1	1	1	1
Q143	2	1	1	1	1	1	1
Q42	2	1	1	1	1	1	1
Q51	2	1	1	1	1	1	1
Q54	2	1	1	1	1	1	1
Q63	2	1	1	1	1	1	1
Q67	2	1	1	1	1	1	1
