question_id,run_id,n_gpt,n_robokop,n_intersection,jaccard,precision_like,recall_like,f1
Q1,1,8,1,0,0.000000,0.000000,0.000000,0.000000
Q1,2,4,1,0,0.000000,0.000000,0.000000,0.000000
Q1,3,4,1,0,0.000000,0.000000,0.000000,0.000000
Q1,4,5,1,0,0.000000,0.000000,0.000000,0.000000
Q1,5,6,1,0,0.000000,0.000000,0.000000,0.000000
Q1,6,9,1,0,0.000000,0.000000,0.000000,0.000000
Q1,7,5,1,0,0.000000,0.000000,0.000000,0.000000
Q1,8,9,1,0,0.000000,0.000000,0.000000,0.000000
Q1,9,6,1,0,0.000000,0.000000,0.000000,0.000000
Q1,10,5,1,0,0.000000,0.000000,0.000000,0.000000
Q1,11,8,1,0,0.000000,0.000000,0.000000,0.000000
Q1,12,4,1,0,0.000000,0.000000,0.000000,0.000000
Q1,13,7,1,0,0.000000,0.000000,0.000000,0.000000
Q1,14,5,1,0,0.000000,0.000000,0.000000,0.000000
Q1,15,4,1,0,0.000000,0.000000,0.000000,0.000000
Q1,16,5,1,0,0.000000,0.000000,0.000000,0.000000
Q1,17,6,1,0,0.000000,0.000000,0.000000,0.000000
Q1,18,5,1,0,0.000000,0.000000,0.000000,0.000000
Q1,19,3,1,0,0.000000,0.000000,0.000000,0.000000
Q1,20,5,1,0,0.000000,0.000000,0.000000,0.000000
Q2,1,7,2,1,0.125000,0.142857,0.500000,0.222222
Q2,2,6,2,1,0.142857,0.166667,0.500000,0.250000
Q2,3,4,2,1,0.200000,0.250000,0.500000,0.333333
Q2,4,6,2,1,0.142857,0.166667,0.500000,0.250000
Q2,5,6,2,1,0.142857,0.166667,0.500000,0.250000
Q2,6,5,2,1,0.166667,0.200000,0.500000,0.285714
Q2,7,7,2,1,0.125000,0.142857,0.500000,0.222222
Q2,8,3,2,0,0.000000,0.000000,0.000000,0.000000
Q2,9,7,2,1,0.125000,0.142857,0.500000,0.222222
Q2,10,5,2,1,0.166667,0.200000,0.500000,0.285714
Q2,11,6,2,1,0.142857,0.166667,0.500000,0.250000
Q2,12,6,2,1,0.142857,0.166667,0.500000,0.250000
Q2,13,3,2,1,0.250000,0.333333,0.500000,0.400000
Q2,14,4,2,1,0.200000,0.250000,0.500000,0.333333
Q2,15,4,2,1,0.200000,0.250000,0.500000,0.333333
Q2,16,6,2,1,0.142857,0.166667,0.500000,0.250000
Q2,17,3,2,0,0.000000,0.000000,0.000000,0.000000
Q2,18,4,2,1,0.200000,0.250000,0.500000,0.333333
Q2,19,4,2,1,0.200000,0.250000,0.500000,0.333333
Q2,20,4,2,1,0.200000,0.250000,0.500000,0.333333
Q3,1,6,1,0,0.000000,0.000000,0.000000,0.000000
Q3,2,5,1,0,0.000000,0.000000,0.000000,0.000000
Q3,3,5,1,0,0.000000,0.000000,0.000000,0.000000
Q3,4,6,1,0,0.000000,0.000000,0.000000,0.000000
Q3,5,5,1,0,0.000000,0.000000,0.000000,0.000000
Q3,6,5,1,0,0.000000,0.000000,0.000000,0.000000
Q3,7,7,1,0,0.000000,0.000000,0.000000,0.000000
Q3,8,7,1,0,0.000000,0.000000,0.000000,0.000000
