predicate	count	fraction
biolink:gene_associated_with_condition	4506	0.4086704153818248
biolink:interacts_with	3869	0.35089787774351533
biolink:physically_interacts_with	864	0.07836023943406493
biolink:genetically_associated_with	699	0.06339561037547614
biolink:directly_physically_interacts_with	357	0.03237801559949211
biolink:related_to	279	0.025303827317250137
biolink:genetically_interacts_with	109	0.009885724650825323
biolink:disease_has_basis_in	100	0.009069472156720479
biolink:target_for	56	0.005078904407763468
biolink:regulates	51	0.004625430799927444
biolink:associated_with	49	0.0044440413567930345
biolink:predisposes_to_condition	22	0.0019952838744785053
biolink:treats	22	0.0019952838744785053
biolink:treats_or_applied_or_studied_to_treat	13	0.0011790313803736623
biolink:affects	12	0.0010883366588064574
biolink:homologous_to	5	0.00045347360783602395
biolink:coexpressed_with	4	0.00036277888626881915
biolink:contraindicated_in	2	0.00018138944313440957
biolink:has_adverse_event	1	9.069472156720479e-05
biolink:affects_response_to	1	9.069472156720479e-05
biolink:acts_upstream_of_or_within_negative_effect	1	9.069472156720479e-05
biolink:acts_upstream_of_or_within_positive_effect	1	9.069472156720479e-05
biolink:positively_correlated_with	1	9.069472156720479e-05
biolink:in_complex_with	1	9.069472156720479e-05
biolink:ameliorates_condition	1	9.069472156720479e-05
