predicate	count	fraction
biolink:gene_associated_with_condition	4506	0.408670
biolink:interacts_with	3869	0.350898
biolink:physically_interacts_with	864	0.078360
biolink:genetically_associated_with	699	0.063396
biolink:directly_physically_interacts_with	357	0.032378
biolink:related_to	279	0.025304
biolink:genetically_interacts_with	109	0.009886
biolink:disease_has_basis_in	100	0.009069
biolink:target_for	56	0.005079
biolink:regulates	51	0.004625
biolink:associated_with	49	0.004444
biolink:predisposes_to_condition	22	0.001995
biolink:treats	22	0.001995
biolink:treats_or_applied_or_studied_to_treat	13	0.001179
biolink:affects	12	0.001088
biolink:homologous_to	5	0.000453
biolink:coexpressed_with	4	0.000363
biolink:contraindicated_in	2	0.000181
biolink:has_adverse_event	1	0.000091
biolink:affects_response_to	1	0.000091
biolink:acts_upstream_of_or_within_negative_effect	1	0.000091
biolink:acts_upstream_of_or_within_positive_effect	1	0.000091
biolink:positively_correlated_with	1	0.000091
biolink:in_complex_with	1	0.000091
biolink:ameliorates_condition	1	0.000091
