question_id	subject_text	subject_curie	subject_label	object_text	object_curie	object_label	notes
Q1	Parkinson disease	MONDO:0005180	Parkinson disease	APOE	NCBIGene:348	APOE	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q11	Tamoxifen	CHEBI:41774	Tamoxifen	TNF	NCBIGene:7124	TNF	SUBJ:DRUG_CHEBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=1
Q15	Warfarin	CHEBI:10033	Warfarin	type 2 diabetes mellitus	MONDO:0005148	type 2 diabetes mellitus	SUBJ:DRUG_CHEBI|OBJ:DISEASE_MONDO|ROBOKOP_EDGES=2
Q18	Ibuprofen	CHEBI:5855	Ibuprofen	VEGFA	NCBIGene:7422	VEGFA	SUBJ:DRUG_CHEBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q19	Clonazepam	CHEBI:3756	Clonazepam	TNF	NCBIGene:7124	TNF	SUBJ:DRUG_CHEBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=1
Q20	type 2 diabetes mellitus	MONDO:0005148	type 2 diabetes mellitus	ACE	NCBIGene:1636	ACE	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=1
Q22	asthma	MONDO:0004979	asthma	EGFR	NCBIGene:1956	EGFR	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=1
Q23	Warfarin	CHEBI:10033	Warfarin	IL6	NCBIGene:3569	IL6	SUBJ:DRUG_CHEBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q24	Tamoxifen	CHEBI:41774	Tamoxifen	APOE	NCBIGene:348	APOE	SUBJ:DRUG_CHEBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q27	Metformin	CHEBI:6801	Metformin	BRCA1	NCBIGene:672	BRCA1	SUBJ:DRUG_CHEBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q30	Aspirin	CHEBI:15365	Aspirin	BRCA2	NCBIGene:675	BRCA2	SUBJ:DRUG_CHEBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=1
Q31	Dexamethasone	CHEBI:41879	Dexamethasone	ACE	NCBIGene:1636	ACE	SUBJ:DRUG_CHEBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q34	Metformin	CHEBI:6801	Metformin	BRCA2	NCBIGene:675	BRCA2	SUBJ:DRUG_CHEBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=1
Q35	Aspirin	CHEBI:15365	Aspirin	IL6	NCBIGene:3569	IL6	SUBJ:DRUG_CHEBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q36	Tamoxifen	CHEBI:41774	Tamoxifen	TP53	NCBIGene:7157	TP53	SUBJ:DRUG_CHEBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q38	Dexamethasone	CHEBI:41879	Dexamethasone	BRCA1	NCBIGene:672	BRCA1	SUBJ:DRUG_CHEBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=1
Q39	Parkinson disease	MONDO:0005180	Parkinson disease	TNF	NCBIGene:7124	TNF	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q40	rheumatoid arthritis	MONDO:0008383	rheumatoid arthritis	EGFR	NCBIGene:1956	EGFR	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=1
Q44	Codeine	CHEBI:16714	Codeine	CYP2D6	NCBIGene:1565	CYP2D6	SUBJ:DRUG_CHEBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q45	CTNNB1	NCBIGene:1499	CTNNB1	WNT1	NCBIGene:7471	WNT1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q46	ATF4	NCBIGene:468	ATF4	EIF2AK3	NCBIGene:9451	EIF2AK3	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q50	influenza	MONDO:0005812	influenza	TLR7	NCBIGene:51284	TLR7	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=1
Q52	APOE	NCBIGene:348	APOE	LPL	NCBIGene:4023	LPL	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q54	FGF2	NCBIGene:2247	FGF2	FGFR1	NCBIGene:2260	FGFR1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=7
Q57	MYD88	NCBIGene:4615	MYD88	TLR4	NCBIGene:7099	TLR4	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=9
Q63	pulmonary hypertension	MONDO:0005149	pulmonary hypertension	NOS3	NCBIGene:4846	NOS3	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q70	HNF4A	NCBIGene:3172	HNF4A	HNF1A	NCBIGene:6927	HNF1A	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q72	E2F1	NCBIGene:1869	E2F1	RB1	NCBIGene:5925	RB1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=9
Q73	SIN3A	NCBIGene:25942	SIN3A	HDAC1	NCBIGene:3065	HDAC1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=9
Q76	RYR2	NCBIGene:6262	RYR2	CALM1	NCBIGene:801	CALM1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=1
Q80	VAMP2	NCBIGene:6844	VAMP2	SYT1	NCBIGene:6857	SYT1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q88	DVL2	NCBIGene:1856	DVL2	FZD7	NCBIGene:8324	FZD7	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q90	rheumatoid arthritis	MONDO:0008383	rheumatoid arthritis	IL1B	NCBIGene:3553	IL1B	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q91	asthma	MONDO:0004979	asthma	IL13	NCBIGene:3596	IL13	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q92	type 2 diabetes mellitus	MONDO:0005148	type 2 diabetes mellitus	SLC2A4	NCBIGene:6517	SLC2A4	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q93	type 2 diabetes mellitus	MONDO:0005148	type 2 diabetes mellitus	TCF7L2	NCBIGene:6934	TCF7L2	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=9
Q94	type 2 diabetes mellitus	MONDO:0005148	type 2 diabetes mellitus	FTO	NCBIGene:79068	FTO	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q95	lung adenocarcinoma	MONDO:0005061	lung adenocarcinoma	ALK	NCBIGene:238	ALK	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q96	schizophrenia	MONDO:0005090	schizophrenia	GRIN2A	NCBIGene:2903	GRIN2A	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q98	EXCESS LMW-DNA	MONDO:0007915	EXCESS LMW-DNA	IRF5	NCBIGene:3663	IRF5	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q101	Methotrexate	CHEBI:44185	Methotrexate	TNF	NCBIGene:7124	TNF	SUBJ:DRUG_CHEBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=6
Q102	Clozapine	CHEBI:3766	Clozapine	DRD2	NCBIGene:1813	DRD2	SUBJ:DRUG_CHEBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=9
Q103	Valproic acid	CHEBI:39867	Valproic acid	SCN1A	NCBIGene:6323	SCN1A	SUBJ:DRUG_CHEBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=1
Q104	Carbamazepine	CHEBI:3387	Carbamazepine	SCN1A	NCBIGene:6323	SCN1A	SUBJ:DRUG_CHEBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q106	MTOR	NCBIGene:2475	MTOR	PIK3CA	NCBIGene:5290	PIK3CA	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q107	KRAS	NCBIGene:3845	KRAS	BRAF	NCBIGene:673	BRAF	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q108	MAPK1	NCBIGene:5594	MAPK1	BRAF	NCBIGene:673	BRAF	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=9
Q109	IFNG	NCBIGene:3458	IFNG	JAK1	NCBIGene:3716	JAK1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q110	HIF1A	NCBIGene:3091	HIF1A	VEGFA	NCBIGene:7422	VEGFA	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
