question_id	n_runs_x	edge_count_mean	edge_count_var	edge_count_std	abstention_rate	predicate_set_stability	triple_set_stability	n_runs_y	mean_gpt_edges	mean_matched_edges	kg_edges	mean_precision	mean_recall	mean_f1	match_rate	gpt_edge_rate
Q1	100	1.06	0.1364	0.36932370625238775	0.04	0.8327272727272731	0.8327272727272731	100	1.06	0.0	2.0	0.0	0.0	0.0	0.0	0.96
Q10	100	0.0	0.0	0.0	1.0	1.0	1.0	100	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q100	100	1.02	0.039599999999999996	0.19899748742132398	0.01	0.9120538720538719	0.9120538720538719	100	1.02	0.97	3.0	0.955	0.3233333333333333	0.482	0.97	0.99
Q101	100	0.0	0.0	0.0	1.0	1.0	1.0	100	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
Q102	100	1.24	0.26239999999999997	0.5122499389946279	0.0	0.35095286195286224	0.35095286195286224	100	1.24	0.18	5.0	0.1308333333333333	0.036	0.0547222222222222	0.18	1.0
Q103	100	0.03	0.029099999999999997	0.1705872210923198	0.97	0.9408080808080808	0.9408080808080808	100	0.03	0.0	8.0	0.0	0.0	0.0	0.0	0.03
Q104	100	1.16	0.1344	0.3666060555964672	0.0	0.7145454545454551	0.7145454545454551	100	1.16	0.0	7.0	0.0	0.0	0.0	0.0	1.0
Q105	100	1.16	0.1344	0.3666060555964672	0.0	0.6373063973063976	0.6373063973063976	100	1.16	0.06	7.0	0.045	0.0085714285714285	0.0141666666666666	0.06	1.0
Q106	100	1.02	0.0596	0.24413111231467405	0.02	0.5582828282828283	0.5582828282828283	100	1.02	0.02	9.0	0.02	0.0022222222222222	0.004	0.02	0.98
Q107	100	1.19	0.1539	0.39230090491866065	0.0	0.7464309764309771	0.7464309764309771	100	1.19	0.05	7.0	0.025	0.0071428571428571	0.0111111111111111	0.05	1.0
Q108	100	1.05	0.1275	0.3570714214271425	0.04	0.6280808080808082	0.6280808080808082	100	1.05	0.0	5.0	0.0	0.0	0.0	0.0	0.96
Q109	100	1.07	0.06509999999999999	0.25514701644346144	0.0	0.6577104377104379	0.6577104377104379	100	1.07	0.84	7.0	0.805	0.12	0.2080555555555555	0.84	1.0
Q11	100	0.0	0.0	0.0	1.0	1.0	1.0	100	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
