question_id	subject_text	subject_curie	subject_label	object_text	object_curie	object_label	notes
Q1	Parkinson disease	MONDO:0005180	Parkinson disease	APOE	NCBIGene:348	APOE	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q2	Type 2 diabetes mellitus	MONDO:0005148	Type 2 diabetes mellitus	INS	NCBIGene:3630	INS	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q3	Chronic kidney disease	MONDO:0005300	chronic kidney disease	VEGFA	NCBIGene:7422	VEGFA	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=1
Q4	Chronic kidney disease	MONDO:0005300	chronic kidney disease	ibuprofen	CHEBI:5855	ibuprofen	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=3
Q5	Chronic kidney disease	MONDO:0005300	chronic kidney disease	IL6	NCBIGene:3569	IL6	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q6	Systemic lupus erythematosus	MONDO:0007915	systemic lupus erythematosus	STAT4	NCBIGene:6775	STAT4	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q7	Asthma	MONDO:0004979	Asthma	warfarin	CHEBI:10033	warfarin	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=3
Q8	Obesity	MONDO:0005148	obesity	LEP	NCBIGene:3952	LEP	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q9	Schizophrenia	MONDO:0005090	schizophrenia	DRD2	NCBIGene:1813	DRD2	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q10	Type 1 diabetes mellitus	MONDO:0005147	type 1 diabetes mellitus	HLA-DQB1	NCBIGene:3119	HLA-DQB1	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
