prompt_version,question_id,mean_f1,median_f1,p25_f1,p75_f1,mean_jaccard,median_jaccard,mean_precision,mean_recall,mean_n_pred,mean_n_ref,iqr_f1,zero_f1_rate
v2,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0
v2,Q10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,2.0,0.0,1.0
v2,Q100,0.16,0.0,0.0,0.0,0.12,0.0,0.24,0.12,2.0,4.0,0.0,0.76
v2,Q101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0
v2,Q102,0.064,0.0,0.0,0.0,0.04,0.0,0.16,0.04,2.0,8.0,0.0,0.84
v2,Q103,0.06857142857142856,0.0,0.0,0.0,0.04,0.0,0.24,0.04,0.56,12.0,0.0,0.76
v2,Q104,0.22857142857142854,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.13333333333333333,0.16666666666666666,0.8,0.13333333333333333,2.0,12.0,0.0,0.2
v2,Q105,0.16,0.2857142857142857,0.0,0.2857142857142857,0.09333333333333332,0.16666666666666666,0.56,0.09333333333333332,2.0,12.0,0.2857142857142857,0.44
v2,Q106,0.10666666666666666,0.0,0.0,0.2222222222222222,0.06,0.0,0.48,0.06,2.0,16.0,0.2222222222222222,0.52
v2,Q107,0.19428571428571428,0.2857142857142857,0.0,0.2857142857142857,0.11333333333333333,0.16666666666666666,0.68,0.11333333333333333,2.0,12.0,0.2857142857142857,0.32
v2,Q108,0.128,0.0,0.0,0.4,0.08,0.0,0.32,0.08,0.88,8.0,0.4,0.68
v2,Q109,0.057142857142857134,0.0,0.0,0.0,0.03333333333333333,0.0,0.2,0.03333333333333333,2.0,12.0,0.0,0.8
v2,Q11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0
v2,Q110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,6.0,0.0,1.0
v2,Q111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0
v2,Q112,0.18285714285714286,0.2857142857142857,0.0,0.2857142857142857,0.10666666666666666,0.16666666666666666,0.64,0.10666666666666666,2.0,12.0,0.2857142857142857,0.36
v2,Q113,0.11,0.0,0.0,0.25,0.06285714285714286,0.0,0.44,0.06285714285714286,2.0,14.0,0.25,0.56
v2,Q114,0.14857142857142855,0.2857142857142857,0.0,0.2857142857142857,0.08666666666666666,0.16666666666666666,0.52,0.08666666666666666,2.0,12.0,0.2857142857142857,0.48
v2,Q115,0.17600000000000002,0.0,0.0,0.4,0.11,0.0,0.44,0.11,1.92,8.0,0.4,0.56
v2,Q116,0.01,0.0,0.0,0.0,0.005714285714285714,0.0,0.04,0.005714285714285714,2.0,14.0,0.0,0.96
v2,Q117,0.09600000000000002,0.0,0.0,0.0,0.06,0.0,0.24,0.06,2.0,8.0,0.0,0.76
v2,Q118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0
v2,Q119,0.10285714285714284,0.0,0.0,0.2857142857142857,0.06,0.0,0.36,0.06,1.84,12.0,0.2857142857142857,0.64
v2,Q12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,2.0,0.0,1.0
v2,Q120,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.16666666666666663,0.16666666666666666,1.0,0.16666666666666663,2.0,12.0,0.0,0.0
v2,Q121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0
v2,Q122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,10.0,0.0,1.0
v2,Q123,0.064,0.0,0.0,0.0,0.04,0.0,0.16,0.04,1.92,8.0,0.0,0.84
v2,Q124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0
v2,Q125,0.20800000000000002,0.4,0.0,0.4,0.13,0.25,0.52,0.13,2.0,8.0,0.4,0.48
v2,Q126,0.14400000000000002,0.0,0.0,0.4,0.09,0.0,0.36,0.09,2.0,8.0,0.4,0.64
v2,Q127,0.16,0.2857142857142857,0.0,0.2857142857142857,0.09333333333333332,0.16666666666666666,0.56,0.09333333333333332,2.0,12.0,0.2857142857142857,0.44
v2,Q128,0.256,0.4,0.0,0.4,0.16,0.25,0.64,0.16,2.0,8.0,0.4,0.36
v2,Q129,0.09,0.0,0.0,0.25,0.05142857142857142,0.0,0.36,0.05142857142857142,2.0,14.0,0.25,0.64
v2,Q13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.0,0.0,1.0
v2,Q130,0.2,0.25,0.25,0.25,0.11428571428571427,0.14285714285714285,0.8,0.11428571428571427,2.0,14.0,0.0,0.2
v2,Q131,0.28800000000000003,0.4,0.0,0.4,0.18,0.25,0.72,0.18,2.0,8.0,0.4,0.28
v2,Q132,0.12571428571428572,0.0,0.0,0.2857142857142857,0.07333333333333333,0.0,0.44,0.07333333333333333,2.0,12.0,0.2857142857142857,0.56
v2,Q133,0.032,0.0,0.0,0.0,0.02,0.0,0.08,0.02,0.64,8.0,0.0,0.92
v2,Q134,0.09142857142857143,0.0,0.0,0.2857142857142857,0.05333333333333333,0.0,0.32,0.05333333333333333,2.0,12.0,0.2857142857142857,0.68
v2,Q135,0.08888888888888889,0.0,0.0,0.2222222222222222,0.05,0.0,0.4,0.05,0.96,16.0,0.2222222222222222,0.6
v2,Q136,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.2,2.0,2.0,0.0,0.8
v2,Q137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,1.0
v2,Q138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0
v2,Q139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0
v2,Q14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0
v2,Q140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0
v2,Q141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,1.0
v2,Q142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,4.0,0.0,1.0
v2,Q143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0
v2,Q144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0
v2,Q145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,1.0
v2,Q146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0
v2,Q147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,12.0,0.0,1.0
v2,Q148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,14.0,0.0,1.0
v2,Q149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,4.0,0.0,1.0
v2,Q15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0
v2,Q150,0.12000000000000002,0.0,0.0,0.33333333333333337,0.07200000000000001,0.0,0.36,0.07200000000000001,1.6,10.0,0.33333333333333337,0.64
v2,Q151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,2.0,0.0,1.0
v2,Q152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,4.0,0.0,1.0
v2,Q153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0
v2,Q154,0.14400000000000002,0.0,0.0,0.4,0.09,0.0,0.36,0.09,2.0,8.0,0.4,0.64
v2,Q155,0.22,0.0,0.0,0.5,0.14666666666666667,0.0,0.44,0.14666666666666667,2.0,6.0,0.5,0.56
v2,Q156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,1.0
v2,Q157,0.16,0.0,0.0,0.5,0.10666666666666666,0.0,0.32,0.10666666666666666,2.0,6.0,0.5,0.68
v2,Q158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,1.0
v2,Q159,0.016,0.0,0.0,0.0,0.01,0.0,0.04,0.01,2.0,8.0,0.0,0.96
v2,Q16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0
v2,Q160,0.18285714285714286,0.2857142857142857,0.0,0.2857142857142857,0.10666666666666666,0.16666666666666666,0.64,0.10666666666666666,1.92,12.0,0.2857142857142857,0.36
v2,Q161,0.09142857142857143,0.0,0.0,0.2857142857142857,0.05333333333333333,0.0,0.32,0.05333333333333333,1.28,12.0,0.2857142857142857,0.68
v2,Q162,0.044444444444444446,0.0,0.0,0.0,0.025,0.0,0.2,0.025,2.0,16.0,0.0,0.8
v2,Q163,0.08,0.0,0.0,0.2857142857142857,0.04666666666666666,0.0,0.28,0.04666666666666666,2.0,12.0,0.2857142857142857,0.72
v2,Q17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0
v2,Q18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
v2,Q19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,2.0,0.0,1.0
v2,Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,1.0
v2,Q20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0
v2,Q21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0
v2,Q22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0
v2,Q23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.0,0.0,1.0
v2,Q24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,16.0,0.0,1.0
v2,Q25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,1.0
v2,Q26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,8.0,0.0,1.0
v2,Q27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
v2,Q28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0
v2,Q29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0
v2,Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.0,0.0,1.0
v2,Q30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0
v2,Q31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,4.0,0.0,1.0
v2,Q32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0
v2,Q33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,1.0
v2,Q34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,6.0,0.0,1.0
v2,Q35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
v2,Q36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0
v2,Q37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
v2,Q38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0
v2,Q39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,2.0,0.0,1.0
v2,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0
v2,Q40,0.026666666666666665,0.0,0.0,0.0,0.02,0.0,0.04,0.02,2.0,4.0,0.0,0.96
v2,Q41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,2.0,0.0,1.0
v2,Q42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0
v2,Q43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0
v2,Q44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0
v2,Q45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,4.0,0.0,1.0
v2,Q46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0
v2,Q47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,2.0,0.0,1.0
v2,Q48,0.026666666666666665,0.0,0.0,0.0,0.02,0.0,0.04,0.02,2.0,4.0,0.0,0.96
v2,Q49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,14.0,0.0,1.0
